Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5 (dynamic),6,0,0.0060,5.8,972
HGS-M5 (dynamic),6,1,0.0060,5.8,962
HGS-M5 (dynamic),6,2,0.0053,5.2,978
HGS-M5 (dynamic),6,3,0.0052,5.3,1038
HGS-M5 (dynamic),6,4,0.0072,6.9,959
HGS-M5 (dynamic),6,5,0.0070,7.2,1029
HGS-M5 (dynamic),6,6,0.0070,6.8,964
HGS-M5 (dynamic),6,7,0.0060,5.9,976
HGS-M5 (dynamic),6,8,0.0061,5.8,958
HGS-M5 (dynamic),6,9,0.0053,5.1,954
HGS-M5 fixed λ=3,6,0,0.0083,6.6,797
HGS-M5 fixed λ=3,6,1,0.0090,2.5,274
HGS-M5 fixed λ=3,6,2,0.0082,7.0,857
HGS-M5 fixed λ=3,6,3,0.0089,6.8,761
HGS-M5 fixed λ=3,6,4,0.0085,6.7,796
HGS-M5 fixed λ=3,6,5,0.0093,7.2,769
HGS-M5 fixed λ=3,6,6,0.0105,7.7,734
HGS-M5 fixed λ=3,6,7,0.0083,7.2,861
HGS-M5 fixed λ=3,6,8,0.0076,2.8,371
HGS-M5 fixed λ=3,6,9,0.0097,7.7,787
HGS-M5 fixed λ=4,6,0,0.0060,1.6,261
HGS-M5 fixed λ=4,6,1,0.0083,6.8,818
HGS-M5 fixed λ=4,6,2,0.0075,7.2,949
HGS-M5 fixed λ=4,6,3,0.0084,7.7,924
HGS-M5 fixed λ=4,6,4,0.0081,7.6,945
HGS-M5 fixed λ=4,6,5,0.0076,7.5,985
HGS-M5 fixed λ=4,6,6,0.0083,6.2,753
HGS-M5 fixed λ=4,6,7,0.0070,7.1,1015
HGS-M5 fixed λ=4,6,8,0.0078,7.0,907
HGS-M5 fixed λ=4,6,9,0.0074,5.7,770
HGS-M5 fixed λ=5,6,0,0.0070,7.0,999
HGS-M5 fixed λ=5,6,1,0.0072,6.4,897
HGS-M5 fixed λ=5,6,2,0.0076,7.7,1006
HGS-M5 fixed λ=5,6,3,0.0066,5.4,811
HGS-M5 fixed λ=5,6,4,0.0065,6.3,974
HGS-M5 fixed λ=5,6,5,0.0070,7.0,995
HGS-M5 fixed λ=5,6,6,0.0060,1.5,258
HGS-M5 fixed λ=5,6,7,0.0062,6.3,1016
HGS-M5 fixed λ=5,6,8,0.0078,6.9,878
HGS-M5 fixed λ=5,6,9,0.0070,6.1,859
HGS-M5 fixed λ=9,6,0,0.0048,4.6,967
HGS-M5 fixed λ=9,6,1,0.0051,5.0,971
HGS-M5 fixed λ=9,6,2,0.0053,5.6,1045
HGS-M5 fixed λ=9,6,3,0.0058,5.9,1018
HGS-M5 fixed λ=9,6,4,0.0051,5.1,1002
HGS-M5 fixed λ=9,6,5,0.0049,4.9,996
HGS-M5 fixed λ=9,6,6,0.0053,5.3,1005
HGS-M5 fixed λ=9,6,7,0.0046,4.5,969
HGS-M5 fixed λ=9,6,8,0.0051,5.1,1013
HGS-M5 fixed λ=9,6,9,0.0050,5.0,991
HGS-M5 fixed λ=14,6,0,0.0045,4.3,951
HGS-M5 fixed λ=14,6,1,0.0041,4.0,957
HGS-M5 fixed λ=14,6,2,0.0044,4.3,967
HGS-M5 fixed λ=14,6,3,0.0045,4.4,974
HGS-M5 fixed λ=14,6,4,0.0046,4.5,962
HGS-M5 fixed λ=14,6,5,0.0047,4.6,969
HGS-M5 fixed λ=14,6,6,0.0045,4.3,948
HGS-M5 fixed λ=14,6,7,0.0042,4.0,952
HGS-M5 fixed λ=14,6,8,0.0045,4.3,959
HGS-M5 fixed λ=14,6,9,0.0045,4.3,948
HGS-M5 fixed λ=18,6,0,0.0044,4.1,946
HGS-M5 fixed λ=18,6,1,0.0044,4.0,921
HGS-M5 fixed λ=18,6,2,0.0044,4.4,988
HGS-M5 fixed λ=18,6,3,0.0044,4.1,940
HGS-M5 fixed λ=18,6,4,0.0045,4.3,948
HGS-M5 fixed λ=18,6,5,0.0045,4.3,942
HGS-M5 fixed λ=18,6,6,0.0044,4.1,936
HGS-M5 fixed λ=18,6,7,0.0044,4.2,953
HGS-M5 fixed λ=18,6,8,0.0044,4.1,945
HGS-M5 fixed λ=18,6,9,0.0043,4.0,935
HGS-M5 fixed λ=22,6,0,0.0041,3.9,946
HGS-M5 fixed λ=22,6,1,0.0044,4.2,944
HGS-M5 fixed λ=22,6,2,0.0042,4.1,968
HGS-M5 fixed λ=22,6,3,0.0042,4.0,942
HGS-M5 fixed λ=22,6,4,0.0044,4.2,950
HGS-M5 fixed λ=22,6,5,0.0043,4.0,944
HGS-M5 fixed λ=22,6,6,0.0041,3.9,937
HGS-M5 fixed λ=22,6,7,0.0043,4.0,944
HGS-M5 fixed λ=22,6,8,0.0042,4.0,961
HGS-M5 fixed λ=22,6,9,0.0042,3.9,932
HGS-M5 (dynamic),10,0,0.0084,8.7,1037
HGS-M5 (dynamic),10,1,0.0074,6.9,922
HGS-M5 (dynamic),10,2,0.0052,5.2,986
HGS-M5 (dynamic),10,3,0.0046,4.3,932
HGS-M5 (dynamic),10,4,0.0062,5.9,957
HGS-M5 (dynamic),10,5,0.0037,3.5,952
HGS-M5 (dynamic),10,6,0.0059,5.5,931
HGS-M5 (dynamic),10,7,0.0064,6.0,942
HGS-M5 (dynamic),10,8,0.0071,6.9,968
HGS-M5 (dynamic),10,9,0.0055,5.3,966
HGS-M5 fixed λ=3,10,0,0.0092,7.1,765
HGS-M5 fixed λ=3,10,1,0.0091,7.6,843
HGS-M5 fixed λ=3,10,2,0.0090,8.9,981
HGS-M5 fixed λ=3,10,3,0.0085,6.9,814
HGS-M5 fixed λ=3,10,4,0.0088,9.3,1051
HGS-M5 fixed λ=3,10,5,0.0098,4.5,462
HGS-M5 fixed λ=3,10,6,0.0089,7.1,794
HGS-M5 fixed λ=3,10,7,0.0082,6.9,833
HGS-M5 fixed λ=3,10,8,0.0086,3.1,359
HGS-M5 fixed λ=3,10,9,0.0076,2.2,286
HGS-M5 fixed λ=4,10,0,0.0060,1.6,266
HGS-M5 fixed λ=4,10,1,0.0082,7.7,936
HGS-M5 fixed λ=4,10,2,0.0077,6.1,787
HGS-M5 fixed λ=4,10,3,0.0075,5.7,766
HGS-M5 fixed λ=4,10,4,0.0082,7.8,943
HGS-M5 fixed λ=4,10,5,0.0079,6.0,759
HGS-M5 fixed λ=4,10,6,0.0071,5.5,774
HGS-M5 fixed λ=4,10,7,0.0072,7.3,1013
HGS-M5 fixed λ=4,10,8,0.0077,5.8,761
HGS-M5 fixed λ=4,10,9,0.0058,1.6,270
HGS-M5 fixed λ=5,10,0,0.0081,7.0,872
HGS-M5 fixed λ=5,10,1,0.0077,7.3,953
HGS-M5 fixed λ=5,10,2,0.0071,5.3,752
HGS-M5 fixed λ=5,10,3,0.0072,6.7,934
HGS-M5 fixed λ=5,10,4,0.0070,7.0,1004
HGS-M5 fixed λ=5,10,5,0.0080,6.2,777
HGS-M5 fixed λ=5,10,6,0.0050,1.3,250
HGS-M5 fixed λ=5,10,7,0.0069,7.0,1014
HGS-M5 fixed λ=5,10,8,0.0068,6.9,1016
HGS-M5 fixed λ=5,10,9,0.0070,6.9,989
HGS-M5 fixed λ=9,10,0,0.0060,6.0,993
HGS-M5 fixed λ=9,10,1,0.0056,5.7,1003
HGS-M5 fixed λ=9,10,2,0.0056,5.9,1058
HGS-M5 fixed λ=9,10,3,0.0054,5.4,1007
HGS-M5 fixed λ=9,10,4,0.0056,5.7,1014
HGS-M5 fixed λ=9,10,5,0.0058,5.8,1001
HGS-M5 fixed λ=9,10,6,0.0058,5.1,877
HGS-M5 fixed λ=9,10,7,0.0049,4.8,981
HGS-M5 fixed λ=9,10,8,0.0056,5.7,1025
HGS-M5 fixed λ=9,10,9,0.0058,5.9,1005
HGS-M5 fixed λ=14,10,0,0.0044,4.2,959
HGS-M5 fixed λ=14,10,1,0.0045,4.2,936
