decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
0,0,1,100,2,87,0,10,10,24,0.5,0.01,98,12,58,12,10,12,-996.12,1.4733731,0,15,0,12,0
1,30.3999999999999,1,98,1,79,2,4,10,10,0.5,0.01,61,1,32,1,4,3,-398.03,0.345079,0,15,3,0,22
2,39.7777777777777,1,96,1,80,3,5,10,10,0.5,0.01,88,1,46,1,5,4,-600.04,0.2459195,0,15,4,0,48
3,49.8666666666665,1,96,1,80,3,5,10,10,0.5,0.01,87,2,45,0,5,4,-570.04,0.2282064,0,15,4,0,44
4,52.4888888888887,1,98,1,80,2,5,10,11.4285714285714,0.5,0.01,69,1,38,1,5,2,-479.877142857143,0.4719797,0,15,2,0,19
5,62.5777777777776,1,98,1,81,2,5,10,11.3333333333333,0.5,0.01,68,1,37,1,5,2,-467.353333333333,0.4026452,0,15,2,0,17
6,72.6222222222234,1,98,1,81,2,5,10,11.25,0.5,0.01,67,1,36,0,5,2,-449.52,0.4203113,0,15,2,0,15
7,89.9555555555594,1,98,1,82,3,5,10,11.875,0.5,0.01,85,2,46,1,5,3,-599.0925,0.2246208,0,15,3,0,42
8,102.666666666672,1,100,1,84,2,5,10,12.3529411764706,0.5,0.01,66,1,34,1,5,1,-443.186470588235,0.5166529,0,15,1,0,15
9,122.71111111112,1,100,1,84,2,5,10,12.2222222222222,0.5,0.01,65,1,33,1,5,2,-414.797777777778,0.6111029,0,15,2,0,14
10,142.755555555568,1,100,1,85,2,6,10,12.1052631578947,0.5,0.01,71,1,35,1,6,2,-461.914736842105,0.6887136,0,15,2,0,12
11,150.000000000013,1,99,1,85,2,6,10,12,0.5,0.01,82,1,46,0,6,3,-593.03,0.3475915,0,15,3,0,31
12,160.044444444459,1,99,1,85,2,6,10,12.5,0.5,0.01,81,1,46,1,6,2,-585.77,0.3366169,0,15,2,0,28
13,162.800000000015,1,100,1,85,2,6,10,12.3809523809524,0.5,0.01,74,1,37,1,6,1,-460.248095238095,0.6253334,0,15,1,0,10
14,172.844444444461,1,100,1,86,1,6,10,12.2727272727273,0.5,0.01,74,1,36,0,6,2,-475.929090909091,0.5632668,0,15,2,0,9
15,182.888888888907,1,100,1,86,1,7,10,12.7272727272727,0.5,0.01,78,1,42,0,7,1,-501.282727272727,0.5254085,0,15,1,0,7
16,190.088888888908,1,100,1,86,2,7,10,13.1818181818182,0.5,0.01,87,1,50,1,7,2,-638.156363636364,0.3320334,0,15,2,0,28
17,192.933333333353,1,100,1,86,1,7,10,13.0434782608696,0.5,0.01,78,1,43,0,7,1,-514.444782608696,0.6417348,0,15,1,0,6
18,210.133333333356,1,100,1,86,2,7,10,13.4782608695652,0.5,0.01,85,1,50,0,7,2,-628.97652173913,0.9047394,0,15,2,0,26
19,212.977777777801,1,100,1,86,1,7,10,13.9130434782609,0.5,0.01,77,1,44,0,7,1,-535.096956521739,0.6932025,0,15,1,0,5
20,230.177777777804,1,100,1,87,2,7,10,14.3478260869565,0.5,0.01,87,1,50,0,7,2,-644.715652173913,0.5950244,0,15,2,0,24
21,233.022222222248,1,100,1,87,1,7,10,14.7826086956522,0.5,0.01,76,1,44,0,7,1,-549.227391304348,0.7261577,0,15,1,0,4
22,243.066666666694,1,100,1,87,1,7,10,15.2173913043478,0.5,0.01,75,1,44,0,7,1,-553.792608695652,0.8816666,0,15,1,0,3
23,250.222222222251,1,100,1,85,2,7,10,15.6521739130435,0.5,0.01,85,2,50,1,7,2,-671.150438943695,0.5531476,0,15,2,0,22
24,263.155555555582,1,100,1,85,1,7,10,15.8333333333333,0.5,0.01,71,1,46,0,7,1,-559.176666666667,0.7347767,0,15,1,0,2
25,270.355555555578,1,100,1,84,2,7,10,16.25,0.5,0.01,81,1,50,1,7,1,-663.385,0.6622282,0,15,1,0,20
26,273.244444444466,1,100,1,84,1,7,10,16,0.5,0.01,74,1,42,0,7,1,-562.01,0.7014341,0,15,1,0,1
27,283.33333333335,1,100,1,83,1,7,10,16.4,0.5,0.01,73,0,42,0,7,0,-545.4,0.64005,0,15,0,0,0
28,290.488888888902,1,100,2,83,2,7,10,16.4,0.5,0.01,80,1,46,1,7,2,-658.42,1.6945922,0,15,2,0,15
29,290.533333333346,1,100,1,83,1,7,10,16.1538461538462,0.5,0.01,74,0,45,0,7,0,-539.461538461538,0.6736861,0,15,0,0,0
30,291.77777777779,1,100,1,83,1,7,10,16.1538461538462,0.5,0.01,74,0,45,0,7,0,-539.461538461538,0.4565054,0,15,0,0,0
31,293.422222222234,1,100,1,84,1,8,10,16.1538461538462,0.5,0.01,80,0,48,0,8,0,-586.692307692308,0.7802671,0,15,0,0,0
32,300.577777777786,1,100,2,84,2,8,10,16.1538461538462,0.5,0.01,84,1,50,1,8,2,-680.943076923077,0.8705478,0,15,2,0,13
