#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;65;0;0;0;0;0;0;0;0;0
600;0.74;68;0;0;0;0;0;0;0;0;0
1199.96;0.7;68;0;0;0;0;0;0;0;0;0
1799.96;0.69;69;0;0;0;0;0;0;0;0;0
2400;0.66;69;0;0;0;0;0;0;0;0;0
3000;0.7;71;0;0;0;0;0;0;0;0;0
3600;0.69;73;0;0;0;0;0;0;0;0;0
4200;0.66;73;0;0;0;0;0;0;0;0;0
4800;0.75;74;0;0;0;0;0;0;0;0;0
5400;0.71;75;0;0;0;0;0;0;0;0;0
5999.96;0.68;77;0;0;0;0;0;0;0;0;0
6599.96;0.7;78;0;0;0;0;0;0;0;0;0
7199.96;0.73;81;0;0;0;0;0;0;0;0;0
7799.96;0.72;81;0;0;0;0;0;0;0;0;0
8399.96;0.66;81;0;0;0;0;0;0;0;0;0
8999.96;0.75;82;0;0;0;0;0;0;0;0;0
9600;0.72;82;0;0;0;0;0;0;0;0;0
10200;0.7;84;0;0;0;0;0;0;0;0;0
10800;0.67;84;0;0;0;0;0;0;0;0;0
11400;0.73;84;0;0;0;0;0;0;0;0;0
12000;0.7;84;0;0;0;0;0;0;0;0;0
12600;0.66;84;0;0;0;0;0;0;0;0;0
13200;0.74;86;0;0;0;0;0;0;0;0;0
13800;0.7;86;0;0;0;0;0;0;0;0;0
14400;0.69;86;0;0;0;0;0;0;0;0;0
