decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec
0,0,100,2,87,2,0,12,22,0.0784888
1,52.2222222222221,100,1,84,0,0,1,1,0.0009999
2,55.4666666666665,100,1,84,0,0,1,1,0.0020297
3,62.3111111111109,100,1,85,0,0,1,1,0.0009995
4,75.5111111111127,100,1,86,0,0,1,2,0.0009978
5,82.3555555555582,100,1,86,1,0,1,1,0.0029697
6,95.5555555555603,94,1,87,1,0,1,3,0.0020002
7,112.400000000007,100,1,87,0,0,1,2,0.0009951
8,115.600000000008,95,1,87,0,0,1,1,0.0009997
9,122.444444444453,100,1,87,0,0,1,3,0.0010019
10,125.644444444454,96,1,87,0,0,1,2,0.001001
11,142.488888888901,100,1,87,0,0,1,1,0
12,145.688888888901,97,1,87,0,0,1,5,0.0020006
13,152.533333333347,100,1,87,0,0,1,2,0.001
14,155.733333333347,98,1,87,0,0,1,1,0.0010019
15,162.577777777793,100,1,86,0,0,1,1,0
16,172.622222222239,100,1,87,0,0,1,1,0
17,175.777777777795,100,1,88,0,0,1,2,0.0009994
18,192.666666666687,100,1,87,1,0,1,1,0.0020299
19,222.711111111136,100,1,89,0,0,1,2,0.0015044
20,232.755555555582,100,1,90,0,0,1,1,0.0020013
21,245.82222222225,99,1,90,0,0,1,1,0.0010001
22,252.800000000029,100,1,90,0,0,1,1,0
23,255.866666666696,99,1,89,0,0,1,1,0
24,262.888888888915,100,1,90,0,0,1,1,0
25,272.977777777799,100,1,89,0,0,1,1,0.0010004
26,276.00000000002,99,1,90,0,0,1,2,0
27,283.066666666683,100,1,90,0,0,1,1,0
28,286.088888888904,100,1,90,1,0,1,2,0.0029996
29,296.177777777788,100,1,90,0,0,1,1,0
30,303.200000000007,100,1,89,0,0,1,2,0.0020027
31,313.288888888891,100,1,89,1,0,1,2,0.002001
32,316.311111111112,100,1,89,0,0,1,1,0
33,323.377777777775,100,1,89,0,0,1,1,0.001
34,326.399999999996,100,1,89,0,0,1,1,0.0009987
35,333.466666666659,100,1,89,0,0,1,2,0
36,336.48888888888,100,1,89,0,0,1,2,0.0009997
37,343.555555555543,100,1,90,0,0,1,2,0.0010002
38,353.644444444427,100,1,90,0,0,1,3,0.0009996
39,356.622222222203,100,1,90,0,0,1,1,0
40,373.777777777751,100,1,91,0,0,1,1,0.0009995
41,376.755555555527,100,1,90,0,0,1,1,0
42,386.844444444411,100,1,90,0,0,1,1,0
43,396.933333333295,100,1,90,1,0,1,1,0.0030306
44,403.955555555514,100,1,89,0,0,1,1,0.0010009
45,407.022222222179,100,1,91,0,0,1,1,0.001029
46,414.044444444398,100,1,90,0,0,1,1,0.0010004
47,424.133333333282,100,1,90,1,0,1,3,0.0029995
48,427.155555555503,100,1,90,0,0,1,2,0.0019979
49,437.244444444387,100,1,91,0,0,1,2,0.0009982
50,444.266666666605,100,1,91,0,0,1,2,0.0010287
51,447.333333333271,100,1,91,0,0,1,1,0.0009965
52,457.422222222155,100,1,91,0,0,1,1,0.0020011
53,464.399999999929,100,1,91,0,0,1,2,0.0010013
54,477.555555555478,100,1,91,0,0,1,1,0.0009993
55,484.533333333253,100,1,92,0,0,1,4,0
56,487.644444444362,100,1,91,1,0,1,2,0.0020005
57,494.622222222137,99,1,91,0,0,1,2,0.001
58,504.711111111021,99,1,91,0,0,1,1,0
59,507.777777777686,100,1,91,0,0,1,2,0.0010005
60,517.822222222133,100,1,91,0,0,1,2,0
61,527.866666666585,100,1,92,0,0,1,1,0.0010004
62,534.799999999924,100,1,91,0,0,1,2,0
63,537.911111111038,100,1,92,0,0,1,4,0
64,547.95555555549,100,1,92,0,1,0,2,0.0065657
65,554.844444444385,101,1,91,1,0,1,1,0.002
66,574.888888888845,101,1,91,0,0,1,2,0.0009978
67,587.999999999967,101,1,90,1,0,1,2,0.0010005
68,608.044444444427,101,1,91,0,0,1,1,0.0010002
69,614.933333333321,101,1,92,0,0,1,2,0.0010297
70,628.088888888887,101,1,92,0,0,1,5,0.0009706
71,634.977777777782,101,1,92,0,0,1,1,0.0009998
72,645.022222222234,101,1,93,0,1,0,3,0.0010032
73,648.133333333348,102,1,92,0,0,1,1,0
74,658.1777777778,102,1,92,0,1,0,3,0.0010019
75,665.066666666695,103,1,92,0,1,0,2,0.0010301
76,678.222222222261,104,1,92,0,1,0,2,0.0009927
77,695.111111111163,105,1,91,1,1,0,1,0.0040008
78,698.266666666721,104,1,91,1,0,1,2,0.0020021
79,705.155555555615,104,1,91,0,0,1,1,0.0009727
80,708.311111111173,104,1,91,0,0,1,2,0.001001
81,715.200000000068,104,1,91,0,0,1,3,0.0010004
82,735.244444444528,104,1,91,0,0,1,2,0.0009991
83,745.288888888981,104,1,91,0,0,1,2,0.0010014
84,758.355555555658,104,1,91,0,1,0,2,0.001002
85,768.40000000011,103,1,91,0,0,1,2,0.0009998
86,775.333333333449,103,1,90,1,0,1,4,0.0010028
87,785.377777777901,103,1,91,0,0,1,2,0.0009993
88,795.422222222354,103,1,91,0,0,1,2,0.0010024
89,798.444444444578,103,1,91,0,0,1,1,0.0009936
90,818.488888889039,103,1,91,0,0,1,2,0.002004
91,825.466666666822,103,1,91,0,1,0,3,0.0009984
92,845.511111111283,104,1,91,0,1,0,2,0.002
93,848.533333333507,105,1,90,0,0,1,1,0
94,865.555555555743,105,1,91,0,1,0,2,0.000999
95,868.577777777968,106,1,90,1,0,1,1,0.0020313
96,885.600000000203,104,1,90,0,1,0,1,0.0010003
97,888.622222222428,107,1,90,0,0,1,2,0.0009697
98,898.66666666688,107,1,90,0,0,1,1,0
99,905.644444444664,106,1,89,1,0,1,2,0.0029997
100,908.711111111333,106,1,89,0,0,1,2,0
101,928.755555555793,106,1,90,0,0,1,2,0.0009727
102,938.800000000246,106,1,89,0,0,1,2,0.001027
103,945.68888888914,107,1,90,0,1,0,1,0.0009977
104,948.844444444698,105,1,90,1,0,1,1,0.002005
105,965.733333333601,106,1,90,0,0,1,4,0.0009705
106,968.888888889159,105,1,90,0,0,1,1,0.0010002
107,978.933333333611,105,1,90,0,0,1,1,0.0010303
108,985.777777778061,106,1,90,0,0,1,1,0.001
109,998.977777778071,105,1,90,0,0,1,2,0.0009934
110,1015.82222222253,106,1,90,0,0,1,1,0.0010014
111,1019.02222222253,105,1,89,0,0,1,2,0.0010067
112,1025.86666666698,106,1,88,0,0,1,1,0.0010036
113,1039.06666666699,106,1,89,0,0,1,1,0.0009995
114,1045.91111111144,106,1,88,1,0,1,1,0.002997
115,1055.95555555589,106,1,89,0,0,1,3,0.0020009
116,1059.11111111145,105,1,88,1,0,1,5,0.001997
117,1069.15555555591,105,1,89,0,0,1,1,0.0010004
118,1079.20000000036,105,1,89,0,0,1,2,0.0009976
119,1089.24444444481,105,1,89,0,0,1,2,0.0020012
120,1096.00000000037,106,1,89,0,0,1,1,0.0009983
121,1106.04444444482,106,1,89,0,0,1,1,0.0010021
122,1109.28888888927,105,1,89,0,0,1,1,0.0010009
123,1116.08888888928,106,1,89,0,0,1,2,0.0009994
124,1119.33333333372,105,1,90,0,0,1,1,0.0010014
125,1126.13333333373,106,1,91,0,0,1,2,0.0020018
126,1146.17777777819,106,1,91,0,0,1,3,0.0010004
127,1166.22222222265,106,1,90,1,0,1,1,0.0020017
128,1169.37777777821,106,1,89,1,1,0,2,0.0050003
129,1176.2666666671,105,1,90,0,0,1,2,0.0009991
130,1189.42222222267,105,1,91,0,0,1,1,0.0020033
131,1196.31111111156,105,1,91,0,0,1,2,0.0010007
132,1199.46666666712,105,1,91,0,0,1,3,0.0010021
133,1206.35555555601,105,1,88,0,0,1,2,0.00201
134,1209.51111111157,105,1,88,0,0,1,1,0.0029993
135,1226.40000000047,105,1,88,0,0,1,1,0.0010008
136,1229.55555555603,105,1,88,0,0,1,4,0.0020013
137,1239.60000000049,105,1,89,0,0,1,1,0.0019975
138,1256.44444444494,105,1,90,0,1,0,3,0.0020011
139,1286.48888888941,106,1,93,1,0,1,1,0.0050431
140,1296.53333333386,106,1,94,0,0,1,2,0.0009991
141,1299.64444444498,106,1,93,0,0,1,2,0.0010049
142,1309.68888888943,106,1,93,1,0,1,5,0.0030014
143,1316.57777777832,106,1,94,0,0,1,2,0.002997
