#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
31.69;0;98;0;31.69;31.64
41.73;0;98;0;41.73;41.69
43.11;2;5;1;43.11;43.07
53.16;2;5;1;53.16;53.11
56;9;71;0;56;55.96
63.2;2;5;1;63.2;63.16
70.18;6;43;0;70.18;70.13
73.2;2;5;1;73.2;73.16
87.38;8;70;1;87.38;87.33
97.38;8;70;1;97.38;97.33
107.38;8;70;1;107.38;107.33
132.98;2;44;1;132.98;132.93
142.98;2;44;1;142.98;142.93
172.36;8;87;1;172.36;172.31
182.36;8;87;1;182.36;182.31
205.07;2;89;1;205.07;205.02
215.07;2;89;1;215.07;215.02
219.69;9;19;0;219.69;95.6
248.71;8;3;1;248.71;248.67
282.71;2;41;1;282.71;282.67
296.98;8;63;1;296.98;296.93
341.07;6;22;0;341.07;96.58
482.31;2;47;1;482.31;80
628.18;6;66;0;628.18;51.82
1227.24;9;92;0;1227.24;27.2
1236.93;2;11;1;1236.93;36.89
1242.09;6;64;0;1242.09;42.04
1246.93;2;11;1;1246.93;46.89
1252.09;6;64;0;1252.09;52.04
1261.11;8;33;1;1261.11;61.07
1262.09;6;64;0;1262.09;62.04
1271.11;8;33;1;1271.11;71.07
1276.27;0;78;0;1276.27;76.22
1303.64;2;88;1;1303.64;103.6
1313.64;2;88;1;1313.64;113.6
1332.8;8;1;1;1332.8;132.76
1366.44;2;13;1;1366.44;166.4
1414.09;8;39;1;1414.09;214.04
1430.22;2;67;1;1430.22;230.18
2239.96;8;17;1;32.62;32.53
2242.62;0;23;0;35.29;35.2
2250;8;17;1;42.67;42.58
2252.67;0;23;0;45.33;45.24
2264.89;2;27;1;57.56;57.47
2267.56;9;32;0;60.22;60.13
2274.93;2;27;1;67.6;67.51
2281.82;6;76;0;74.49;74.4
2284.98;2;27;1;77.64;77.56
2321.24;0;28;0;113.91;113.82
2321.64;8;96;1;114.31;114.22
2331.69;8;96;1;124.36;124.27
2335.51;9;70;0;128.18;128.09
2346.31;2;36;1;138.98;138.89
2349.82;6;51;0;142.49;128.98
2356.36;2;36;1;149.02;148.93
2392.98;0;82;0;185.64;51.33
2402.67;8;58;1;195.33;195.24
2403.02;0;82;0;195.69;61.38
2412.71;8;58;1;205.38;205.29
2428.84;2;0;1;221.51;221.42
2466.8;8;21;1;259.47;259.38
2491.33;2;5;1;284;283.91
2507.87;0;42;0;300.53;75.56
2527.73;8;95;1;320.4;68.8
2558.8;2;86;1;351.47;351.38
2591.11;8;8;1;383.78;383.69
2621.87;2;45;1;414.53;62.27
2643.96;8;39;1;436.62;436.53
2678.84;2;10;1;471.51;471.42
2712;8;55;1;504.67;504.58
2748.49;2;2;1;541.16;541.07
2785.16;8;38;1;577.82;577.73
2812.13;2;49;1;604.8;604.71
2854.13;8;7;1;646.8;646.71
3432.67;6;11;0;1225.33;25.2
3438.36;8;30;1;1231.02;30.89
3448.4;8;30;1;1241.07;40.93
3455.69;9;69;0;1248.36;48.22
3462.67;2;31;1;1255.33;55.2
3469.96;0;68;0;1262.62;62.49
3495.02;6;24;0;1287.69;87.56
3506.4;8;65;1;1299.07;91.42
3520.67;2;19;1;1313.33;113.2
3603.91;9;38;0;1396.58;74.44
3670.4;2;54;1;1463.07;262.93
3790.98;2;59;1;1583.64;63.69
4295.82;9;15;0;32.13;32.04
4298.09;8;39;1;34.4;34.31
4305.82;9;15;0;42.13;42.04
4308.09;8;39;1;44.4;44.31
4318.09;8;39;1;54.4;54.31
4320;0;25;0;56.31;56.22
4330;0;25;0;66.31;66.22
4332.8;2;88;1;69.11;69.02
4342.8;2;88;1;79.11;79.02
4344.53;6;86;0;80.84;80.76
4354.53;6;86;0;90.84;90.76
