#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;39;100;0;0;0;0;0;0.55
60;19;100;59.96;51.03;60;60;0.46;0.56
119.96;18;100;108.67;65.67;119.96;119.96;0.47;0.58
179.96;17;100;147.64;40.03;179.96;175.33;0.35;0.51
239.96;17;100;203.48;77.47;239.96;229.04;0.42;0.67
299.96;17;100;299.91;44.71;299.96;212.94;0.5;0.72
360;16;100;53.69;35.95;360;339.59;0.09;0.71
420;16;100;0;50.61;0;334.76;0;0.63
480;16;100;0;50.15;0;341.27;0;0.56
540;16;100;0;41.34;0;351.53;0;0.47
600;16;100;0;68.69;0;389.11;0;0.61
659.96;16;100;0;57.63;0;312.9;0;0.64
719.96;16;100;0;65.02;0;362.37;0;0.55
779.96;15;100;11.51;74.9;779.96;433.33;0.43;0.44
839.96;15;100;0;53.04;0;487.69;0;0.67
899.96;15;100;0;69.62;0;502.4;0;0.59
959.96;15;100;0;70.33;0;711.72;0;0.49
1019.96;15;100;0;69.38;0;607.89;0;0.4
1079.96;15;100;0;67.59;0;566.71;0;0.54
1139.96;15;100;0;46.57;0;408.8;0;0.8
1199.96;15;100;0;41.39;0;528.12;0;0.58
1259.96;0;100;59.91;60.44;1259.96;479.7;0.51;0.57
1319.96;0;100;119.91;82.02;1319.96;507.83;0.53;0.71
1379.96;0;100;179.91;69.39;1379.96;423.53;0.81;0.66
1439.96;0;100;0;68.42;0;436.53;0;0.7
1499.96;0;100;0;87.5;0;630.97;0;0.55
1559.96;0;100;0;59.84;0;701.5;0;0.43
1619.96;0;100;0;55.54;0;489.02;0;0.48
1679.96;0;100;0;52.04;0;482.91;0;0.46
1739.96;0;100;0;58.57;0;341.36;0;0.54
1799.96;0;100;0;66.77;0;557.36;0;0.65
1859.96;0;100;0;72.26;0;1024.12;0;0.54
1919.96;0;100;0;47;0;1012.53;0;0.54
1979.96;0;100;0;54.83;0;923.01;0;0.5
2039.96;0;100;0;59.81;0;1014.83;0;0.35
2099.96;0;100;0;44.49;0;980.68;0;0.28
2159.96;0;100;0;55.56;0;1369.61;0;0.37
2219.96;18;100;40.44;46.27;40.53;1168.69;0.57;0.45
2279.96;17;100;95.92;50.25;100.53;517;0.52;0.59
2340;17;100;153.52;59.09;160.58;1112.99;0.57;0.61
2400;16;100;202.87;73.7;220.58;1248.44;0.6;0.55
2460;16;100;258.95;57.28;280.58;901.73;0.6;0.6
2520;15;100;301.17;72.19;340.58;906.93;0.59;0.48
2580;15;100;348.06;57.55;400.58;1032;0.55;0.58
2640;15;100;460.49;79.08;460.58;1011.15;0.52;0.69
2700;14;100;351.88;53.12;520.58;914.26;0.58;0.67
2760;14;100;74.67;86.29;580.58;890.03;0.52;0.62
2820;14;100;0;73.95;0;777.63;0;0.56
2880;14;100;0;108.46;0;603.4;0;0.5
2940;14;100;0;55.6;0;701.43;0;0.4
3000;14;100;0;41.22;0;717.13;0;0.37
3060;14;100;0;51.92;0;816.23;0;0.57
3120;14;100;0;47.64;0;1095.46;0;0.63
3180;14;100;0;77.95;0;1034.57;0;0.69
3240;14;100;0;86.72;0;825.54;0;0.71
3300;13;100;53.64;63.66;1120.58;503.13;0.43;0.75
3360;13;100;0;41.85;0;444.02;0;0.52
3420;0;100;40.39;56.36;1240.58;1223.91;0.49;0.44
3480;0;100;100.34;56.69;1300.58;1854.74;0.52;0.39
3540;0;100;160.44;58.62;1360.58;862.57;0.61;0.54
3600;0;100;220.44;48.11;1420.58;488.61;0.58;0.65
3660;0;100;280.44;47.58;1480.58;496.76;1;0.47
3720;0;100;0;56.22;0;498.37;0;0.41
3780;0;100;0;44.7;0;569;0;0.64
3840;0;100;0;47.63;0;853.87;0;0.56
3900;0;100;0;72.37;0;1007.8;0;0.45
3960;0;100;0;48.48;0;667.64;0;0.53
4020;0;100;0;41.34;0;813.22;0;0.55
4080;0;100;0;65.25;0;348.19;0;0.62
4140;0;100;0;95.09;0;277.33;0;0.66
4200;0;100;0;76.39;0;410.64;0;0.58
4260;0;100;0;98.79;0;719.01;0;0.56
4320;0;100;0;66.96;0;670.79;0;0.47
4380;21;100;55.09;84.37;57.47;522.58;0.41;0.44
4440;21;100;113.95;71.73;117.47;502.35;0.38;0.45
4500;21;100;172.04;84.98;177.47;907.19;0.38;0.44
4560;21;100;230.51;54.8;237.47;976.47;0.33;0.5
4620;21;100;287.77;78.88;297.47;537.25;0.27;0.5
4680;21;100;345.37;72.91;357.47;852.41;0.32;0.53
4740;20;100;278.49;106.2;417.47;945.03;0.52;0.53
4800;20;100;269.04;71.05;477.47;1254.83;0.52;0.52
4860;19;100;58.58;92.65;537.47;1290.59;0.11;0.58
4920;19;100;0;65.82;0;531.94;0;0.65
4980;17;100;32.24;87.42;657.47;572.91;0.09;0.65
5040;17;100;86.18;89.83;717.47;627.45;0.15;0.62
5100;17;100;0;76.38;0;1601.39;0;0.48
5160;17;100;0;103.83;0;1931.74;0;0.39
