#TimeStamp;Bot;Pod;OutputStation
32.09;14;19;0
35.33;4;7;1
42.13;14;19;0
45.38;4;7;1
52.22;14;19;0
55.47;4;7;1
62.31;14;19;0
65.47;4;7;1
72.31;14;19;0
75.51;4;7;1
82.36;14;19;0
85.51;4;7;1
92.36;14;19;0
95.56;4;7;1
102.36;14;19;0
105.56;4;7;1
112.4;14;19;0
115.6;4;7;1
122.44;14;19;0
125.64;4;7;1
132.44;14;19;0
135.64;4;7;1
142.49;14;19;0
145.69;4;7;1
152.53;14;19;0
155.73;4;7;1
162.58;13;31;0
165.73;4;7;1
172.62;13;31;0
175.78;4;7;1
182.62;13;31;0
185.78;4;7;1
192.67;13;31;0
195.78;4;7;1
202.67;13;31;0
205.78;4;7;1
212.67;13;31;0
215.78;3;51;1
222.71;13;31;0
225.78;3;51;1
232.76;13;31;0
235.78;3;51;1
242.76;13;31;0
245.82;3;51;1
252.8;13;31;0
255.87;3;51;1
262.89;13;31;0
265.91;3;51;1
272.98;5;30;0
276;3;51;1
283.07;5;30;0
286.09;3;51;1
293.11;5;30;0
296.18;3;51;1
303.2;5;30;0
306.22;3;51;1
313.29;5;30;0
316.31;3;51;1
323.38;5;30;0
326.4;3;51;1
333.47;5;30;0
336.49;3;51;1
343.56;5;30;0
346.53;3;51;1
353.64;5;30;0
356.62;3;51;1
363.69;5;30;0
366.67;12;36;1
373.78;5;30;0
376.76;12;36;1
383.82;5;30;0
386.84;12;36;1
393.87;5;30;0
396.93;12;36;1
403.96;14;66;0
407.02;12;36;1
414.04;14;66;0
417.07;12;36;1
424.13;14;66;0
427.16;12;36;1
434.18;14;66;0
437.24;12;36;1
444.27;14;66;0
447.33;12;36;1
454.31;14;66;0
457.42;12;36;1
464.4;14;66;0
467.47;11;47;1
474.44;14;66;0
477.56;11;47;1
484.53;14;66;0
487.64;11;47;1
494.62;14;66;0
497.69;11;47;1
504.71;14;66;0
507.78;11;47;1
514.76;13;2;0
517.82;11;47;1
524.76;13;2;0
527.87;11;47;1
534.8;13;2;0
537.91;11;47;1
544.8;13;2;0
547.96;11;47;1
554.84;13;2;0
557.96;11;47;1
564.84;13;2;0
567.96;5;0;1
574.89;13;2;0
577.96;5;0;1
584.89;13;2;0
588;5;0;1
594.89;13;2;0
598;5;0;1
604.89;13;2;0
608.04;5;0;1
614.93;13;2;0
618.04;5;0;1
624.93;13;2;0
628.09;5;0;1
634.98;13;2;0
638.13;5;0;1
645.02;13;2;0
648.13;5;0;1
655.02;13;2;0
658.18;5;0;1
665.07;13;2;0
668.18;12;30;1
675.07;13;2;0
678.22;12;30;1
685.07;3;54;0
688.27;12;30;1
695.11;3;54;0
698.27;12;30;1
705.16;3;54;0
708.27;12;30;1
715.16;3;54;0
718.27;12;30;1
725.2;3;54;0
728.27;12;30;1
735.24;3;54;0
738.31;12;30;1
745.29;10;5;0
748.36;12;30;1
755.29;10;5;0
758.36;12;30;1
765.33;10;5;0
768.36;12;30;1
775.33;10;5;0
778.36;12;30;1
785.33;10;5;0
788.36;4;7;1
795.38;10;5;0
798.4;4;7;1
805.42;10;5;0
808.44;4;7;1
815.47;14;73;0
818.49;4;7;1
825.51;14;73;0
828.49;4;7;1
835.56;14;73;0
838.49;4;7;1
845.56;14;73;0
848.53;4;7;1
855.6;14;73;0
858.53;4;7;1
865.6;14;73;0
868.58;4;7;1
875.6;14;73;0
878.58;4;7;1
885.6;14;73;0
888.62;4;7;1
895.6;14;73;0
898.62;4;7;1
905.64;7;69;0
908.62;5;44;1
915.64;7;69;0
918.67;5;44;1
925.69;7;69;0
928.67;5;44;1
935.69;7;69;0
938.71;5;44;1
945.73;7;69;0
