#TimeStamp;TripTime;Type
27;16;O
28;14;I
30;15;I
30;19;O
43;28;I
46;25;I
66;50;I
104;10;O
124;16;I
133;22;O
173;21;I
188;10;I
199;16;I
222;18;O
248;26;I
274;20;I
318;25;I
319;20;O
336;14;I
338;17;O
398;14;I
430;23;O
457;24;O
520;22;O
575;18;O
586;18;O
672;20;O
681;24;O
758;16;O
812;6;O
816;12;I
829;18;O
908;28;O
939;21;O
1063;24;O
1070;20;O
1132;19;O
1184;23;O
1189;14;O
1227;17;I
1228;11;O
1229;11;I
1233;12;I
1236;20;I
1242;32;I
1292;25;I
1321;20;I
1324;24;O
1363;19;I
1375;21;O
1399;24;I
1423;21;I
1447;15;O
1497;22;O
1616;14;O
1633;11;O
1649;5;O
1683;15;O
1713;25;O
1760;26;O
1786;23;O
1797;15;O
1821;12;O
1849;9;O
1906;18;O
1909;13;O
1939;21;O
2050;11;O
2060;22;O
2092;16;O
2105;25;O
2157;20;O
2186;24;O
2201;12;I
2209;15;I
2219;22;I
2220;21;I
2228;26;O
2231;31;I
2270;20;I
2285;21;O
2292;18;I
2295;8;I
2302;25;I
2309;26;O
2317;22;I
2357;25;O
2363;21;I
2373;28;I
2382;18;I
2393;16;O
2444;14;I
2445;27;O
2452;10;I
2492;8;I
2516;15;O
2525;21;O
2529;15;I
2539;10;I
2586;15;I
2610;15;O
2616;19;I
2620;22;O
2653;24;I
2682;11;I
2707;14;O
2724;17;O
2724;20;I
2747;21;I
2781;15;I
2786;13;O
2807;9;O
2944;17;O
2975;26;O
3040;31;O
3054;23;O
3091;20;O
3114;16;O
3183;17;O
3302;19;I
3307;21;O
3310;23;O
3346;11;O
3384;23;O
3415;24;I
3422;25;I
3427;34;I
3431;28;O
3442;45;I
3447;48;I
3473;21;O
3480;8;I
3502;16;I
3530;9;I
3583;26;I
3586;13;I
3591;25;O
3639;15;I
3645;30;O
3664;20;O
3676;29;I
3720;22;O
3764;18;O
3792;20;O
3809;13;O
3814;30;O
3859;16;O
3897;23;O
3927;16;O
3960;26;O
3979;10;O
3981;22;O
3996;15;O
4039;24;O
4075;20;O
4124;19;O
4176;18;O
4187;21;O
4253;29;O
4302;19;O
4347;16;I
4350;19;I
4352;11;I
4353;30;O
4354;25;O
4381;8;O
4381;30;I
4385;36;I
4420;11;I
4425;26;I
4431;10;I
4449;20;O
4450;26;O
4450;15;I
4476;23;O
4509;12;O
4524;24;I
4529;23;I
4552;10;O
4564;11;O
4569;9;O
4579;13;I
4590;12;I
4628;32;O
4636;9;O
4661;16;I
4665;21;I
4671;14;O
4684;15;O
4719;16;I
4743;26;I
4775;10;O
4800;20;I
4806;13;I
4844;16;O
4897;11;I
4900;17;O
4918;18;O
4925;12;O
4973;16;O
5010;11;I
5023;10;O
5035;15;I
5067;12;O
5090;19;O
5109;22;O
5109;7;O
5207;11;O
5227;21;O
5280;11;O
5282;10;O
5322;17;O
5355;9;O
5452;24;I
5461;5;O
5480;28;O
5507;13;O
5542;10;I
5547;14;I
5556;23;I
5557;14;I
5563;19;I
5599;24;O
5607;33;O
5616;41;O
5631;12;I
5642;20;I
5678;23;O
5684;28;O
5692;15;I
5703;16;I
5709;19;I
5726;8;O
5754;15;I
5765;11;I
5788;13;O
5797;19;O
5833;25;I
5845;13;O
5848;13;O
5872;13;I
5901;18;O
5985;4;O
5999;20;O
5999;15;O
6012;16;O
6075;25;O
6103;13;O
6169;12;O
6219;13;O
6224;18;O
6265;13;O
6309;18;O
6309;10;O
6383;15;O
6457;21;O
6460;24;O
6472;33;O
6490;20;I
6496;16;I
6498;27;I
6502;8;O
6502;31;I
6512;37;I
6520;20;O
6559;23;I
6566;15;O
6586;19;I
6589;30;I
6598;22;I
6615;19;I
6619;32;I
6646;18;I
6667;16;O
6670;19;I
6670;28;I
6673;22;O
6675;21;O
6692;22;I
6700;28;I
6704;18;I
6728;18;I
6749;19;I
6756;14;I
6759;18;O
6761;19;O
6768;19;I
6815;15;I
6831;36;O
6844;26;I
6915;15;I
6936;16;O
6939;19;O
7013;20;O
7022;26;O
7057;19;O
7067;26;O
7068;14;O
7118;13;O
7119;12;I
7125;14;O
7218;22;O
7221;28;O
7237;11;I
7269;10;O
7275;18;O
7391;27;O
7449;19;O
7460;25;O
7473;36;O
7517;13;O
7525;20;O
7535;21;O
7557;11;O
7644;20;O
7645;26;O
7646;20;O
7672;23;I
7682;12;I
7694;21;I
7696;7;O
7699;10;O
7699;22;I
7733;17;I
7761;21;O
7762;21;O
7763;27;O
7774;21;I
7805;22;I
7830;15;O
7832;13;O
7833;8;O
7845;29;I
7849;33;O
7858;15;O
7871;21;I
7891;24;O
7897;11;I
7905;22;I
7931;24;I
7998;10;O
8004;12;O
8016;26;O
8016;36;O
8022;30;O
8116;15;O
8140;13;O
8182;18;O
8183;17;O
8193;20;O
8236;23;O
8277;13;I
8320;19;I
8322;17;O
8336;19;O
8349;40;O
8375;4;O
8389;10;O
8469;16;O
8479;20;O
8556;31;O
8570;24;O
8598;9;I
8607;15;I
8610;14;I
8610;22;I
8624;29;I
8629;14;O
8667;11;I
8668;20;I
8696;21;I
8714;28;I
8732;22;I
8742;18;O
8750;25;O
8753;31;I
8759;38;I
8770;13;I
8781;22;I
8802;26;I
8804;19;O
8815;13;I
8821;18;I
8845;23;I
8859;25;I
8866;14;O
8869;19;I
8883;18;I
8883;12;O
8919;16;I
8922;12;O
8957;21;I
8957;22;I
9003;21;I
9028;22;O
9029;22;I
9029;16;I
9030;18;O
9040;33;O
9068;22;I
9090;8;O
9098;16;I
9116;24;O
9133;21;I
9147;22;I
9173;24;I
9196;24;O
9197;22;I
9205;33;O
9228;8;I
9257;21;O
9288;17;O
9302;29;O
9394;16;O
9398;13;O
9439;23;O
9440;24;O
9491;25;O
9550;10;O
9576;31;O
9596;11;O
9604;18;O
9676;8;O
9685;17;O
9731;21;O
9733;21;O
9804;20;I
9805;21;I
9807;17;I
9810;20;I
9827;17;O
9832;24;O
9835;20;O
9865;18;I
9882;19;I
9931;18;I
9948;20;O
9951;21;O
9954;26;O
10002;20;O
10015;29;O
10097;12;O
10102;21;O
10118;33;O
10227;19;O
10232;25;O
10235;22;O
10326;11;O
10328;20;O
10372;19;O
10482;13;O
10484;17;O
10491;21;O
10492;19;O
10633;22;O
10650;24;O
10695;23;O
10710;33;O
10716;17;I
10720;21;O
10722;19;I
10722;24;I
10724;25;I
10734;38;I
10737;32;O
10774;14;I
10796;21;I
10799;7;O
10808;21;I
10812;12;I
10818;24;O
10820;21;O
10826;20;O
10845;19;I
10857;27;I
10881;22;I
10884;7;O
10889;28;I
10904;21;O
10922;17;I
10951;20;I
10967;9;O
11001;31;I
11002;30;O
11015;11;O
11025;33;O
11040;31;I
11065;22;I
11094;15;O
11099;16;I
11133;23;I
11153;24;I
11172;26;I
11177;21;O
11192;33;O
11203;17;O
11222;9;I
11245;19;O
11289;18;O
11289;15;O
11368;25;O
11376;16;O
11409;25;O
11456;5;O
11532;21;I
11555;17;O
11560;21;O
11573;32;O
11585;15;I
11625;15;O
11637;22;O
11640;11;I
11718;21;O
11722;24;O
11849;27;O
11854;31;O
11854;30;O
11865;21;I
11903;7;O
11911;15;I
11912;12;O
11917;19;I
11933;23;I
11939;34;I
11956;57;I
11978;16;O
11980;22;I
11983;22;I
12016;11;O
12023;18;O
12025;15;O
12026;17;I
12052;12;O
12058;12;I
12076;16;O
12106;24;I
12125;23;O
12132;21;I
12162;11;I
12193;24;O
12198;24;I
12209;34;O
12236;14;I
12256;18;I
12273;21;O
12328;12;O
12334;13;O
12346;24;O
12353;32;O
12408;14;O
12415;21;O
12458;15;O
12459;13;O
12515;26;O
12537;16;O
12588;19;O
12589;19;O
12628;13;O
12724;16;O
12768;18;O
12772;18;O
12867;15;O
12869;21;O
12876;21;O
12883;28;O
12888;33;O
12951;7;O
12957;17;O
12993;14;I
13002;24;I
13005;24;I
13008;23;I
13012;32;I
13046;17;O
13049;19;O
13060;15;I
13064;29;O
13074;19;I
13082;50;O
13082;11;I
13087;23;I
13101;14;I
13131;13;I
13151;19;I
13167;22;O
13190;22;I
13199;14;I
13212;18;I
13229;18;O
13260;19;I
13279;22;I
13302;15;I
13318;17;O
13326;10;I
13326;22;O
13338;13;I
13345;43;O
13380;10;I
13394;26;O
13397;26;O
13420;15;O
13422;25;I
13457;27;I
13471;17;O
13522;18;O
13620;17;O
13620;14;O
13721;14;O
13775;14;O
13776;20;O
13861;14;O
13862;14;O
13875;22;O
