#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;65;0;0;0;0;0;0;0;0;0
600;0.73;68;0;0;0;0;0;0;0;0;0
1199.96;0.67;68;0;0;0;0;0;0;0;0;0
1799.96;0.67;69;0;0;0;0;0;0;0;0;0
2400;0.68;70;0;0;0;0;0;0;0;0;0
3000;0.66;72;0;0;0;0;0;0;0;0;0
3600;0.66;72;0;0;0;0;0;0;0;0;0
4200;0.63;73;0;0;0;0;0;0;0;0;0
4800;0.67;77;0;0;0;0;0;0;0;0;0
5400;0.67;77;0;0;0;0;0;0;0;0;0
5999.96;0.66;78;0;0;0;0;0;0;0;0;0
6599.96;0.68;79;0;0;0;0;0;0;0;0;0
7199.96;0.69;81;0;0;0;0;0;0;0;0;0
7799.96;0.68;82;0;0;0;0;0;0;0;0;0
8399.96;0.64;82;0;0;0;0;0;0;0;0;0
8999.96;0.7;82;0;0;0;0;0;0;0;0;0
9600;0.67;82;0;0;0;0;0;0;0;0;0
10200;0.65;83;0;0;0;0;0;0;0;0;0
10800;0.67;83;0;0;0;0;0;0;0;0;0
11400;0.71;84;0;0;0;0;0;0;0;0;0
12000;0.69;84;0;0;0;0;0;0;0;0;0
12600;0.65;84;0;0;0;0;0;0;0;0;0
13200;0.67;85;0;0;0;0;0;0;0;0;0
13800;0.67;85;0;0;0;0;0;0;0;0;0
14400;0.66;85;0;0;0;0;0;0;0;0;0
