#TimeStamp;Bot;Pod;OutputStation
23.38;1;31;0
28.53;11;36;1
33.47;1;31;0
38.58;11;36;1
43.51;1;31;0
48.67;11;36;1
53.6;1;31;0
58.71;5;0;1
63.69;1;31;0
68.71;5;0;1
73.69;1;31;0
78.76;10;47;1
83.73;1;31;0
88.76;14;32;1
93.78;1;31;0
98.8;13;96;1
103.78;1;31;0
108.8;13;96;1
113.78;1;31;0
118.8;7;49;1
123.82;4;7;0
128.84;7;49;1
133.82;4;7;0
138.89;7;49;1
143.87;4;7;0
148.89;7;49;1
153.87;4;7;0
158.93;7;49;1
163.91;10;2;0
168.93;7;49;1
173.91;10;2;0
178.93;7;49;1
183.96;10;2;0
188.98;12;82;1
193.96;10;2;0
198.98;12;82;1
203.96;11;51;0
208.98;12;82;1
214;5;68;0
219.02;12;82;1
224.04;14;29;0
229.07;12;82;1
234.09;14;29;0
239.11;12;82;1
244.13;14;29;0
249.16;12;82;1
254.18;4;7;0
259.2;12;82;1
264.22;4;7;0
269.29;3;86;1
274.31;10;91;0
279.33;3;86;1
284.36;10;91;0
289.38;3;86;1
294.4;10;91;0
299.42;1;47;1
304.49;10;91;0
309.47;1;47;1
314.53;10;91;0
319.51;13;22;1
324.62;7;80;0
329.6;11;51;1
334.71;7;80;0
339.69;11;51;1
344.8;7;80;0
349.73;5;2;1
354.89;7;80;0
359.78;5;2;1
364.93;7;80;0
369.87;5;2;1
375.02;12;27;0
379.96;14;85;1
385.07;12;27;0
390.04;14;85;1
395.16;12;27;0
400.13;10;86;1
405.24;4;76;0
410.18;10;86;1
415.29;4;76;0
420.22;10;86;1
425.38;4;76;0
430.27;10;86;1
435.47;4;76;0
440.31;10;86;1
445.51;4;76;0
450.36;10;86;1
455.6;3;36;0
460.4;10;86;1
465.69;11;38;0
470.49;13;22;1
475.73;11;38;0
480.53;13;22;1
485.82;11;38;0
490.62;1;47;1
495.87;11;38;0
500.67;1;47;1
505.96;12;27;0
510.76;1;47;1
515.96;12;27;0
520.76;1;47;1
525.96;14;30;0
530.8;7;51;1
536;14;30;0
540.8;7;51;1
546.04;14;30;0
550.8;7;51;1
556.09;14;30;0
560.84;7;51;1
566.09;14;30;0
570.89;5;2;1
576.13;4;65;0
580.93;5;2;1
586.18;10;54;0
590.93;5;2;1
596.18;3;36;0
600.98;5;2;1
606.18;3;36;0
610.98;5;2;1
616.22;3;36;0
621.02;5;2;1
626.22;13;12;0
631.02;11;44;1
636.27;12;27;0
641.07;11;44;1
646.31;1;89;0
651.11;11;44;1
656.36;1;89;0
661.11;7;91;1
666.4;14;30;0
671.38;4;29;1
676.44;14;30;0
681.42;4;29;1
686.44;10;65;0
691.42;4;29;1
696.49;10;65;0
701.47;4;29;1
706.53;3;15;0
711.51;5;51;1
716.58;13;47;0
721.51;5;51;1
726.62;13;47;0
731.56;5;51;1
736.62;1;32;0
741.6;11;44;1
746.62;1;32;0
751.6;11;44;1
756.67;14;10;0
761.64;11;44;1
766.67;14;10;0
771.64;11;44;1
776.67;7;73;0
781.69;10;68;1
786.67;7;73;0
791.69;10;68;1
796.67;7;73;0
801.73;10;68;1
806.71;7;73;0
811.73;10;68;1
816.76;7;73;0
821.73;10;68;1
826.8;7;73;0
831.73;10;68;1
836.8;12;42;0
841.73;10;68;1
846.8;12;42;0
851.78;3;15;1
856.84;4;5;0
861.82;3;15;1
866.89;4;5;0
871.87;1;12;1
876.93;4;5;0
881.91;1;12;1
886.98;4;5;0
891.96;14;7;1
896.98;4;5;0
901.96;11;10;1
907.02;13;46;0
911.96;11;10;1
917.02;13;46;0
922;11;10;1
927.02;5;19;0
932.04;7;38;1
937.02;5;19;0
942.04;7;38;1
947.07;5;19;0
952.04;7;38;1
957.11;5;19;0
962.09;7;38;1
967.16;5;19;0
972.09;7;38;1
977.16;5;19;0
982.13;12;47;1
987.2;5;19;0
992.18;3;96;1
997.2;10;87;0
1002.18;3;96;1
1007.2;10;87;0
1012.18;3;96;1
1017.24;10;87;0
1022.22;3;96;1
1027.24;1;30;0
1032.22;3;96;1
1037.24;1;30;0
1042.22;3;96;1
1047.24;1;30;0
1052.22;3;96;1
1057.29;1;30;0
1062.27;14;44;1
1067.33;13;27;0
1072.27;14;44;1
1077.33;13;27;0
1082.31;14;44;1
1087.33;13;27;0
1092.31;14;44;1
1097.33;13;27;0
1102.36;4;24;1
1107.38;13;27;0
1112.4;4;24;1
1117.38;13;27;0
1122.4;4;24;1
1127.42;11;51;0
1132.4;4;24;1
1137.42;11;51;0
1142.44;4;24;1
1147.42;11;51;0
1152.44;4;24;1
1157.42;11;51;0
1162.49;7;7;1
1167.47;11;51;0
1172.49;7;7;1
1177.47;12;0;0
1182.53;1;93;1
1187.47;12;0;0
1192.58;1;93;1
1197.73;5;94;0
1202.58;1;93;1
1207.78;10;97;0
1212.62;1;93;1
1217.78;10;97;0
1222.67;1;93;1
1227.78;10;97;0
1232.71;13;32;1
1237.82;3;58;0
1242.76;13;32;1
1247.87;3;58;0
1252.8;11;54;1
1257.87;3;58;0
1262.8;4;46;1
1267.91;3;58;0
1272.84;12;55;1
1277.96;14;5;0
1282.89;12;55;1
1288;14;5;0
1292.93;12;55;1
1298;14;5;0
1302.93;12;55;1
1308.04;14;5;0
1312.98;5;65;1
1318.09;7;69;0
1324.27;1;57;1
1328.09;7;69;0
1334.31;1;57;1
1338.13;10;38;0
1344.36;1;57;1
1348.13;10;38;0
1354.36;1;57;1
1358.18;4;15;0
1364.36;1;57;1
1368.18;4;15;0
1374.36;1;57;1
1378.18;11;45;0
1384.36;3;11;1
1388.18;11;45;0
1394.36;3;11;1
1398.22;11;45;0
1404.36;3;11;1
1408.22;11;45;0
1414.4;3;11;1
1418.27;11;45;0
1424.44;3;11;1
1428.31;11;45;0
1434.49;3;11;1
1438.31;11;45;0
1444.49;3;11;1
1448.36;12;47;0
1454.49;3;11;1
1458.36;12;47;0
1464.49;3;11;1
1468.36;12;47;0
1474.49;3;11;1
