decision,time,solved,pendingOrders,stationsWithCap,podsInModel,Ra,R,Pb,Pa,xps,yos,yaos,yrp,sumUs,dops,objective,solveSec
0,0,1,100,2,87,10,10,0,87,9,59,12,9,0,10,-2118,1.61868
1,33.4666666666666,1,91,1,77,1,2,1,76,2,11,1,1,0,1,-417,0.0481163
2,48.6666666666665,1,100,1,83,0,8,8,75,8,45,1,0,0,0,-1800,0.0055438
3,53.5999999999998,1,92,1,77,0,2,2,75,2,10,1,0,0,0,-400,0.004486
4,63.6888888888887,1,92,1,79,1,3,2,77,3,16,1,1,0,1,-600,0.055147
5,78.7555555555576,1,97,1,83,0,6,6,77,6,35,1,0,0,0,-1400,0.0067661
6,83.7333333333362,1,96,1,81,1,4,3,78,4,21,1,1,0,1,-807,0.0698249
7,93.7777777777822,1,98,1,84,1,5,4,80,5,26,1,1,0,1,-1013,0.0664986
8,98.8000000000052,1,100,1,83,0,4,4,79,4,19,1,0,0,0,-760,0.0050541
9,123.822222222231,1,98,1,84,1,5,4,80,5,30,1,1,0,1,-1159,0.0850091
10,128.844444444454,1,96,1,84,2,5,3,81,5,32,1,2,0,2,-1225,0.1145174
11,138.8888888889,1,96,1,84,0,5,5,79,5,31,1,0,0,0,-1240,0.002998
12,143.866666666679,1,98,1,84,0,5,5,79,5,30,1,0,0,0,-1200,0.0070052
13,158.933333333348,1,97,1,85,0,5,5,80,5,31,1,0,0,0,-1240,0.0039682
14,163.911111111127,1,98,1,84,0,4,4,80,4,19,1,0,0,0,-760,0.0036453
15,183.955555555574,1,98,1,85,1,5,4,81,5,28,1,1,0,1,-1095,0.0514405
16,188.977777777797,1,95,1,84,0,4,4,80,4,26,1,0,0,0,-1040,0.0062221
17,214.000000000023,1,100,1,86,2,5,3,83,5,27,1,2,0,2,-1044,0.2290671
18,219.022222222246,1,97,1,86,1,5,4,82,5,31,1,1,0,1,-1222,0.0601268
19,224.044444444469,1,100,1,85,0,4,4,81,4,23,1,0,0,0,-920,0.00678
20,229.066666666692,1,97,1,88,1,6,5,83,6,36,1,1,0,1,-1417,0.0587453
21,234.088888888915,1,100,1,86,0,4,4,82,4,22,1,0,0,0,-880,0.0069708
22,239.111111111138,1,97,1,88,0,6,6,82,6,36,1,0,0,0,-1440,0.0059697
23,244.133333333361,1,100,1,86,0,4,4,82,4,21,1,0,0,0,-840,0.0042592
24,249.155555555584,1,97,1,88,0,6,6,82,6,34,1,0,0,0,-1360,0.0057851
25,254.177777777807,1,97,1,85,0,3,3,82,3,14,1,0,0,0,-560,0.0049986
26,269.288888888912,1,100,1,87,1,6,5,82,6,32,1,1,0,1,-1247,0.0644787
27,274.311111111132,1,100,1,84,1,3,2,82,3,16,1,1,0,1,-621,0.0532158
28,304.488888888895,1,100,1,86,1,4,3,83,4,19,1,1,0,1,-739,0.0705796
29,324.622222222219,1,100,1,87,1,4,3,84,4,19,1,1,0,1,-737,0.05852
30,329.599999999994,1,100,1,88,2,5,3,85,5,27,1,2,0,2,-1029,0.0725748
31,334.711111111103,1,100,1,88,0,4,4,84,4,19,1,0,0,0,-760,0.0048135
32,339.688888888878,1,100,1,89,1,6,5,84,6,30,1,1,0,1,-1178,0.0715278
33,344.799999999987,1,100,1,87,0,4,4,83,4,19,1,0,0,0,-760,0.0059835
34,354.888888888871,1,100,1,88,1,5,4,84,5,23,1,1,0,1,-890,0.0614449
35,369.866666666641,1,99,1,88,0,5,5,83,5,23,1,0,0,0,-920,0.0049863
36,375.022222222195,1,100,1,87,0,4,4,83,4,21,1,0,0,0,-840,0.0057313
37,379.955555555525,1,100,1,88,1,5,4,84,5,23,1,1,0,1,-903,0.0673648
38,390.044444444409,1,100,1,89,1,6,5,84,6,27,1,1,0,1,-1056,0.0715849
39,395.155555555518,1,100,1,87,0,4,4,83,4,20,1,0,0,0,-800,0.0063352
40,400.133333333293,1,100,1,88,0,5,5,83,5,23,1,0,0,0,-920,0.0063222
41,405.244444444402,1,100,1,86,0,3,3,83,3,8,1,0,0,0,-320,0.0056941
42,425.377777777726,1,100,1,88,2,5,3,85,5,24,1,2,0,2,-910,0.0834968
43,435.46666666661,1,100,1,88,0,5,5,83,5,24,1,0,0,0,-960,0.0030003
44,455.599999999933,1,100,1,87,0,4,4,83,4,21,1,0,0,0,-840,0.0040821
45,465.688888888817,1,100,1,87,1,4,3,84,4,20,1,1,0,1,-751,0.0569443
46,470.488888888815,1,98,1,87,0,4,4,83,4,19,1,0,0,0,-760,0.0040258
47,485.822222222141,1,100,1,89,2,6,4,85,6,27,1,2,0,2,-1047,0.244981
48,490.622222222139,1,97,1,86,0,3,3,83,3,15,1,0,0,0,-600,0.0030034
49,505.955555555465,1,100,1,89,2,6,4,85,6,28,1,2,0,2,-1078,0.202051
50,510.755555555462,1,98,1,86,0,3,3,83,3,15,1,0,0,0,-600,0.0039984
51,530.799999999921,1,98,1,86,1,3,2,84,3,13,1,1,0,1,-488,0.0539997
52,535.999999999925,1,100,1,89,1,6,5,84,6,26,1,1,0,1,-1030,0.0429994
53,546.044444444378,1,100,1,90,1,7,6,84,7,29,1,1,0,1,-1139,0.0835136
54,556.08888888883,1,100,1,90,0,7,7,83,7,28,1,0,0,0,-1120,0.003
55,560.844444444389,1,97,1,86,0,3,3,83,3,11,1,0,0,0,-440,0.0040399
56,570.888888888842,1,97,1,85,0,2,2,83,2,9,1,0,0,0,-360,0.0029823
57,576.13333333329,1,98,1,89,0,6,6,83,6,21,1,0,0,0,-840,0.003967
58,580.933333333294,1,97,1,85,1,3,2,83,3,13,1,1,0,1,-496,0.0431445
59,586.177777777743,1,100,1,88,1,6,5,83,6,24,1,1,0,1,-950,0.0490335
60,600.977777777755,1,97,1,86,1,4,3,83,4,18,1,1,0,1,-696,0.04601
61,616.222222222211,1,97,1,88,1,6,5,83,6,25,1,1,0,1,-976,0.051318
62,621.022222222215,1,97,1,86,0,4,4,82,4,17,1,0,0,0,-680,0.003003
63,636.266666666672,1,98,1,88,1,5,4,84,5,20,1,1,0,1,-780,0.051494
64,641.066666666675,1,97,1,87,1,4,3,84,4,17,1,1,0,1,-660,0.0575031
65,646.311111111124,1,98,1,88,1,5,4,84,5,18,1,1,0,1,-691,0.0559998
66,651.111111111128,1,97,1,87,0,4,4,83,4,15,1,0,0,0,-600,0.0040005
67,656.355555555577,1,98,1,89,1,6,5,84,6,21,1,1,0,1,-828,0.0525402
68,666.400000000029,1,97,1,88,0,5,5,83,5,18,1,0,0,0,-720,0.0039782
69,671.155555555588,1,97,1,87,1,3,2,85,3,10,1,1,0,1,-369,0.0472742
70,676.444444444481,1,98,1,90,1,6,5,85,6,21,1,1,0,1,-826,0.0509666
71,681.422222222263,1,98,1,87,0,3,3,84,3,9,1,0,0,0,-360,0.0029264
72,696.488888888942,1,99,1,92,2,7,5,87,7,25,1,2,0,2,-961,0.1058965
73,701.466666666724,1,100,1,88,0,3,3,85,3,8,1,0,0,0,-320,0.0039701
74,706.533333333394,1,99,1,91,0,6,6,85,6,21,1,0,0,0,-840,0.0042894
75,711.511111111176,1,98,1,88,1,3,2,86,3,11,1,1,0,1,-418,0.0455688
76,716.577777777847,1,98,1,90,0,5,5,85,5,16,1,0,0,0,-640,0.0030004
77,726.622222222299,1,100,1,91,1,6,5,86,6,21,1,1,0,1,-807,0.0499541
78,731.555555555636,1,98,1,89,1,4,3,86,4,15,1,1,0,1,-589,0.0516139
79,741.600000000089,1,98,1,88,0,3,3,85,3,12,1,0,0,0,-480,0.0037002
80,756.666666666767,1,100,1,91,2,6,4,87,6,24,1,2,0,2,-918,0.1416963
81,761.644444444549,1,98,1,89,1,4,3,86,4,15,1,1,0,1,-581,0.0555145
82,781.68888888901,1,98,1,88,0,3,3,85,3,7,1,0,0,0,-280,0.0040277
83,801.73333333347,1,98,1,90,2,5,3,87,5,18,1,2,0,2,-685,0.0837348
84,806.711111111252,1,100,1,90,0,5,5,85,5,16,1,0,0,0,-640,0.0029912
85,816.755555555704,1,100,1,90,0,5,5,85,5,15,1,0,0,0,-600,0.0030286
86,826.800000000157,1,100,1,90,0,5,5,85,5,14,1,0,0,0,-560,0.0039996
87,851.777777777954,1,98,1,90,1,5,4,86,5,17,1,1,0,1,-647,0.0606233
88,856.844444444625,1,100,1,88,0,3,3,85,3,11,1,0,0,0,-440,0.0031864
89,861.822222222407,1,98,1,90,0,5,5,85,5,18,1,0,0,0,-720,0.002997
90,866.888888889077,1,100,1,89,1,4,3,86,4,15,1,1,0,1,-564,0.0423719
91,871.866666666859,1,98,1,89,0,4,4,85,4,15,1,0,0,0,-600,0.0049699
92,876.93333333353,1,100,1,89,0,4,4,85,4,14,1,0,0,0,-560,0.0029928
93,881.911111111312,1,98,1,90,1,5,4,86,5,17,1,1,0,1,-667,0.0804966
94,886.977777777982,1,100,1,89,0,4,4,85,4,13,1,0,0,0,-520,0.0020004
95,891.955555555764,1,98,1,90,1,5,4,86,5,17,1,1,0,1,-643,0.0529691
96,907.022222222443,1,98,1,89,1,4,3,86,4,15,1,1,0,1,-556,0.0459996
97,922.000000000232,1,97,1,90,1,5,4,86,5,17,1,1,0,1,-660,0.0519666
98,932.044444444685,1,99,1,90,1,5,4,86,5,17,1,1,0,1,-650,0.0471071
99,947.066666666919,1,100,1,90,2,5,3,87,5,18,1,2,0,2,-666,0.1604814
100,957.111111111371,1,100,1,90,0,5,5,85,5,17,1,0,0,0,-680,0.0039577
101,962.088888889153,1,99,1,90,0,5,5,85,5,16,1,0,0,0,-640,0.0029732
102,967.155555555824,1,100,1,90,0,5,5,85,5,17,1,0,0,0,-680,0.0050691
103,982.133333333614,1,99,1,89,0,4,4,85,4,13,1,0,0,0,-520,0.0039146
104,987.200000000284,1,100,1,90,0,5,5,85,5,17,1,0,0,0,-680,0.0039694
105,992.177777778066,1,99,1,89,1,4,3,86,4,12,1,1,0,1,-455,0.0487901
106,1017.24444444475,1,100,1,91,2,6,4,87,6,24,1,2,0,2,-904,0.1075519
107,1022.22222222253,1,96,1,89,0,4,4,85,4,11,1,0,0,0,-440,0.0029472
108,1057.28888888923,1,100,1,91,1,6,5,86,6,23,1,1,0,1,-901,0.0619854
109,1062.26666666701,1,96,1,88,0,3,3,85,3,9,1,0,0,0,-360,0.0027687
110,1067.33333333368,1,99,1,91,1,6,5,86,6,21,1,1,0,1,-813,0.0545895
111,1082.31111111147,1,97,1,89,1,4,3,86,4,13,1,1,0,1,-480,0.0478569
112,1102.35555555593,1,97,1,88,0,3,3,85,3,9,1,0,0,0,-360,0.0039693
113,1107.37777777816,1,100,1,92,1,7,6,86,7,23,1,1,0,1,-899,0.0635225
114,1112.40000000038,1,94,1,88,0,3,3,85,3,8,1,0,0,0,-320,0.0035752
115,1127.42222222262,1,100,1,91,0,6,6,85,6,17,1,0,0,0,-680,0.0029678
116,1142.44444444485,1,94,1,89,1,4,3,86,4,12,1,1,0,1,-458,0.0445851
117,1162.48888888931,1,94,1,88,0,3,3,85,3,9,1,0,0,0,-360,0.0034253
118,1167.46666666709,1,100,1,91,0,6,6,85,6,17,1,0,0,0,-680,0.0033529
119,1182.53333333377,1,94,1,89,2,4,2,87,4,12,1,2,0,2,-430,0.1601511
120,1192.57777777823,1,94,1,89,0,4,4,85,4,11,1,0,0,0,-440,0.0039998
121,1207.77777777824,1,97,1,86,1,4,3,83,4,14,1,1,0,1,-543,0.043831
122,1212.62222222269,1,97,1,87,1,5,4,83,5,14,1,1,0,1,-529,0.0510053
123,1222.66666666714,1,97,1,88,1,6,5,83,6,18,1,1,0,1,-698,0.0543832
124,1232.71111111159,1,97,1,87,0,5,5,82,5,16,1,0,0,0,-640,0.0043257
125,1237.82222222271,1,100,1,85,0,3,3,82,3,8,1,0,0,0,-320,0.003995
126,1242.75555555604,1,97,1,88,1,6,5,83,6,18,1,1,0,1,-707,0.0535205
127,1247.86666666716,1,100,1,86,1,4,3,83,4,13,1,1,0,1,-475,0.0445881
128,1252.8000000005,1,97,1,87,0,5,5,82,5,15,1,0,0,0,-600,0.0042157
129,1267.91111111162,1,100,1,87,0,4,4,83,4,12,1,0,0,0,-480,0.0039374
130,1272.84444444496,1,98,1,87,0,3,3,84,3,3,1,0,0,0,-120,0.0039997
131,1277.95555555607,1,100,1,89,2,5,3,86,5,19,1,2,0,2,-704,0.100553
132,1282.88888888941,1,94,1,89,2,5,3,86,5,16,1,2,0,2,-587,0.0775454
133,1288.00000000052,1,100,1,90,0,5,5,85,5,18,1,0,0,0,-720,0.0029694
134,1292.93333333386,1,95,1,91,0,5,5,86,5,15,1,0,0,0,-600,0.0039717
135,1308.04444444498,1,100,1,92,0,5,5,87,5,16,1,0,0,0,-640,0.002899
136,1312.97777777832,1,96,1,91,0,4,4,87,4,12,1,0,0,0,-480,0.0049704
137,1318.08888888944,1,98,1,91,0,4,4,87,4,13,1,0,0,0,-520,0.0039292
138,1323.02222222277,1,97,1,90,0,3,3,87,3,9,1,0,0,0,-360,0.0039686
139,1334.31111111167,1,99,1,92,2,5,3,89,5,16,1,2,0,2,-590,0.2058957
