#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;39;100;0;0;0;0;0;0.57
60;19;100;59.96;55.38;60;60;0.46;0.57
119.96;18;100;108.67;72.53;119.96;119.96;0.47;0.6
179.96;17;100;151.23;65.95;179.96;169.49;0.41;0.64
239.96;17;100;203.48;64.13;239.96;205.47;0.42;0.73
299.96;17;100;299.91;55.59;299.96;213.05;0.5;0.68
360;16;100;33.51;45.21;360;250.73;0.09;0.63
420;16;100;0;43.09;0;302.07;0;0.59
480;16;100;0;71.83;0;338.77;0;0.61
540;16;100;0;31.6;0;397.75;0;0.44
600;15;100;25.07;62.08;600;400.61;0.43;0.43
659.96;15;100;0;56.51;0;427.73;0;0.57
719.96;15;100;0;67.24;0;526.4;0;0.65
779.96;15;100;0;49.08;0;568.49;0;0.69
839.96;15;100;0;50.6;0;496.46;0;0.78
899.96;15;100;0;61.29;0;495.64;0;0.73
959.96;15;100;0;50.28;0;607.44;0;0.39
1019.96;15;100;0;59.29;0;731.99;0;0.44
1079.96;15;100;0;51.63;0;766.49;0;0.44
1139.96;15;100;0;61.52;0;554.2;0;0.42
1199.96;15;100;0;81.43;0;671.29;0;0.48
1259.96;0;100;59.91;49.35;1259.96;606.28;0.55;0.62
1319.96;0;100;119.91;47.29;1319.96;741.07;0.52;0.6
1379.96;0;100;179.91;51.49;1379.96;884.21;0.81;0.53
1439.96;0;100;0;48.59;0;1063.84;0;0.49
1499.96;0;100;0;46.72;0;635.24;0;0.38
1559.96;0;100;0;35.69;0;837.6;0;0.47
1619.96;0;100;0;53.07;0;887.66;0;0.57
1679.96;0;100;0;55.14;0;699.92;0;0.56
1739.96;0;100;0;60.97;0;349.14;0;0.69
1799.96;0;100;0;73.08;0;354.58;0;0.61
1859.96;0;100;0;69.87;0;901.52;0;0.44
1919.96;0;100;0;47.78;0;986.51;0;0.56
1979.96;0;100;0;36.97;0;1212.13;0;0.36
2039.96;0;100;0;50.83;0;1588.37;0;0.46
2099.96;0;100;0;67.71;0;1368.8;0;0.35
2159.96;24;100;4.89;50.71;4.98;701.66;0.51;0.61
2219.96;22;100;60.16;70.7;64.98;589.09;0.52;0.72
2279.96;22;100;121.54;38.21;124.98;1096.49;0.53;0.5
2340;22;100;180.63;57.71;185.02;871.25;0.58;0.69
2400;21;100;223.24;72;245.02;942.77;0.51;0.68
2460;21;100;276.01;51.08;305.02;686.36;0.6;0.64
2520;21;100;352.87;66.95;365.02;871.16;0.77;0.5
2580;21;100;404.83;32.1;425.02;525.29;0.85;0.39
2640;21;100;484.93;50.07;485.02;597.02;1;0.41
2700;21;100;0;49.17;0;871.55;0;0.47
2760;20;100;20.84;50.32;605.02;977.21;0.11;0.43
2820;20;100;80.84;68.39;665.02;1054.01;0.11;0.37
2880;19;100;31.38;53.31;725.02;1161.87;0.02;0.45
2940;19;100;0;51.51;0;939.18;0;0.5
3000;19;100;0;59.45;0;665.59;0;0.56
3060;18;100;30.13;54.46;905.02;875.75;0.23;0.37
3120;18;100;0;45.23;0;1544.93;0;0.49
3180;17;100;17.96;68.33;1025.02;938.07;0.42;0.61
3240;17;100;0;72.98;0;905.82;0;0.61
3300;17;100;0;76.19;0;1383.69;0;0.64
3360;1;100;4.89;35.26;1205.02;1817.43;0.49;0.35
3420;1;100;64.89;59.29;1265.02;1634.39;0.55;0.41
3480;0;100;113.82;74.37;1325.02;1772.36;0.51;0.43
3540;0;100;184.89;64.85;1385.02;1982.93;0.45;0.58
3600;0;100;244.89;51;1445.02;1668.07;0.7;0.52
3660;0;100;0;58.11;0;2219.54;0;0.43
3720;0;100;0;67.75;0;1948.87;0;0.49
3780;0;100;0;110.98;0;1735.42;0;0.53
3840;0;100;0;55.26;0;1499.53;0;0.46
3900;0;100;0;73.31;0;1167.81;0;0.34
3960;0;100;0;64.6;0;1032.82;0;0.45
4020;0;100;0;48.25;0;790.61;0;0.53
4080;0;100;0;40.16;0;425.59;0;0.68
4140;0;100;0;54.85;0;619.89;0;0.69
4200;0;100;0;44.57;0;906.03;0;0.55
4260;0;100;0;53.58;0;840.92;0;0.62
4320;0;100;0;65.98;0;917.23;0;0.59
4380;27;100;42.04;70.87;42.13;819.78;0.47;0.51
4440;26;100;97.67;50.61;102.13;1354.79;0.35;0.38
4500;26;100;153.3;43.02;162.13;1933.02;0.26;0.42
4560;25;100;187.38;61.24;222.13;1429.17;0.28;0.38
4620;23;100;201.71;84.48;282.13;1373.87;0.28;0.37
4680;23;100;229.58;84.24;342.13;1312.63;0.34;0.38
4740;22;100;278.44;37.12;402.13;1797.48;0.48;0.55
4800;22;100;0;68.44;0;1702.88;0;0.54
4860;22;100;0;35.49;0;1464.23;0;0.56
4920;20;100;20.09;46.34;582.13;1972.74;0.22;0.5
4980;20;100;0;39.54;0;1342.53;0;0.36
5040;19;100;9.42;79.47;702.13;1627.76;0.41;0.47
5100;19;100;69.42;54.7;762.13;1683.34;0.41;0.51
5160;19;100;0;39.64;0;1836.44;0;0.39
5220;19;100;0;59.54;0;1471.05;0;0.59
5280;19;100;0;79.43;0;745.66;0;0.57
5340;19;100;0;47.41;0;933.67;0;0.5
5400;19;100;0;82.59;0;615.07;0;0.41
5459.96;19;100;0;49.23;0;559.08;0;0.58
5519.96;19;100;0;47.12;0;2167.84;0;0.35
