#TimeStamp;DistanceTraveled
60;298.61
119.96;94.26
179.96;80.69
239.96;124.21
299.96;126.96
360;89.56
420;137.72
480;51.34
540;74.49
600;59.84
659.96;86.26
719.96;62.21
779.96;16.86
839.96;26.95
899.96;11.05
959.96;72.28
1019.96;21.74
1079.96;69.98
1139.96;0
1199.96;60.89
1259.96;139.68
1319.96;163.73
1379.96;127.65
1439.96;107.3
1499.96;82.77
1559.96;46.16
1619.96;96.84
1679.96;6.74
1739.96;83.54
1799.96;26.72
1859.96;20.39
1919.96;111.02
1979.96;88.79
2039.96;57.8
2099.96;1.35
2159.96;92.92
2219.96;193.73
2279.96;168.01
2340;83.14
2400;117.85
2460;141.23
2520;106.39
2580;131.19
2640;108.87
2700;126.93
2760;1.4
2820;48.8
2880;97.78
2940;130.47
3000;39.02
3060;9.93
3120;102.6
3180;61.6
3240;68.4
3300;36.68
3360;89.35
3420;220.5
3480;195.25
3540;179.11
3600;118.84
3660;141.8
3720;48.79
3780;29.08
3840;0
3900;7
3960;39.46
4020;54.54
4080;81.61
4140;89.36
4200;21.18
4260;47.84
4320;0
4380;163.55
4440;158.39
4500;162.08
4560;129.11
4620;90.68
4680;140.17
4740;171.04
4800;189.45
4860;73.54
4920;60.19
4980;92.17
5040;54.65
5100;52
5160;102.03
5220;24.98
5280;38.83
5340;43.17
5400;26.75
5459.96;58.25
5519.96;65
5579.96;192
5639.96;205.42
5699.96;219.23
5759.96;87.86
5819.96;146.53
5879.96;73.83
5939.96;90.12
5999.96;80.54
6059.96;7.46
6119.96;73
6179.96;85
6239.96;23.47
6299.96;28.53
6359.96;79.35
6419.96;92.65
6479.96;93.55
6539.96;185.07
6599.96;118.18
6659.96;128.23
6719.96;157.81
6779.96;115.26
6839.96;106.43
6899.96;97.62
6959.96;107.86
7019.96;168.73
7079.96;203.95
7139.96;145.74
7199.96;36.55
7259.96;21.43
7319.96;94.34
7379.96;72.83
7439.96;32.92
7499.96;51.48
7559.96;4.86
7619.96;77.14
7679.96;134.97
7739.96;177.28
7799.96;237.84
7859.96;178.9
7919.96;32
7979.96;57.99
8039.96;14.01
8099.96;17.11
8159.96;88.89
8219.96;41.32
8279.96;62.68
8339.96;37.62
8399.96;71.7
8459.96;20.68
8519.96;118.6
8579.96;114.89
8639.96;238.88
8699.96;172.37
8759.96;216.99
8819.96;114.41
8879.96;171.66
8939.96;95.2
8999.96;178.61
9059.96;88.39
9119.96;0
9179.96;0
9239.96;33.67
9299.96;94.33
9360;69.24
9420;3.76
9480;31.93
9540;33.07
9600;0
9660;97.26
9720;148.82
9780;110.9
9840;97.07
9900;122.95
9960;154.03
10020;83.44
10080;58.53
10140;0
10200;48.94
10260;26.16
10320;21.9
10380;24
10440;86
10500;88.01
10560;17.98
10620;19.02
10680;0
10740;74.99
10800;71.01
10860;15.78
10920;199.37
10980;186.01
11040;195.01
11100;226.18
11160;94.66
11220;153.24
11280;119.23
11340;157.86
11400;153.34
11460;91.33
11520;131.13
11580;84.14
11640;89.65
11700;53.19
11760;8.92
11820;61.11
11880;26.93
11940;10.93
12000;35.35
12060;84.21
12120;183.79
12180;103.99
12240;138.7
12300;96.96
12360;87.17
12420;0.83
12480;79.16
12540;72.84
12600;41.35
12660;85.65
12720;57.35
12780;64.52
12840;39.13
12900;27.78
12960;57.22
13020;36.01
13080;51.99
13140;113.78
13200;129.74
13260;143.62
13320;122.47
13380;122.24
13440;156.15
13500;144.96
13560;58.04
13620;93.43
13680;58.56
13740;80.01
13800;28.71
13860;133.56
13920;35.45
13980;29.28
14040;13.97
14100;119.18
14160;69.85
14220;42
14280;89.2
14340;153.69
14400;170.15
