#ItemDescriptionID;Weight;OrderCount;MeasuredFrequency;StaticFrequency
0;6.35745961980776;14;0.0175;0.0201730530881952
1;3.75143770861972;246;0.3075;0.330026456741602
2;7.08831069855406;342;0.4275;0.420214194250991
3;7.93126267470944;17;0.02125;0.0354476084999328
4;4.28602704139707;4;0.005;0.0136010304952261
5;3.64070890082079;800;1;1
6;3.32788843723381;54;0.0675;0.0914898267402309
7;4.92780831499389;27;0.03375;0.0354634171547037
8;2.51947930106869;57;0.07125;0.0854243122572079
9;5.91323141935898;68;0.085;0.0848148611173819
10;2.75316348986382;706;0.8825;0.9505999770911
11;7.0009814095688;67;0.08375;0.099784346918939
12;3.1212295997521;102;0.1275;0.190433562472812
13;4.94375124803919;278;0.3475;0.407355849852106
14;4.16563412834221;573;0.71625;0.775754304409084
15;2.34205038675203;55;0.06875;0.109197054754227
16;2.78419004603484;59;0.07375;0.0735292609888559
17;3.50448997388803;63;0.07875;0.0704648768896416
18;3.58210242706449;127;0.15875;0.173500646377407
19;6.88191630452961;16;0.02;0.0147896108485351
20;6.03493512237209;110;0.1375;0.144876757059007
21;3.29783598114636;14;0.0175;0.0210388037322591
22;4.68139919856628;39;0.04875;0.0688365693124752
23;7.48177557880142;10;0.0125;0.0215845335661281
24;7.83732348952318;31;0.03875;0.0429879162290235
25;5.48773651266831;20;0.025;0.0364995063482706
26;6.70445434036872;559;0.69875;0.704411053230326
27;7.32550773458812;20;0.025;0.0343083328306808
28;4.21383229839328;69;0.08625;0.100911384318446
29;3.14547400322998;69;0.08625;0.0829513835888008
30;4.68422774722996;73;0.09125;0.124768199072731
31;5.88304086862274;198;0.2475;0.297438501844532
32;6.03315475305224;81;0.10125;0.123167090824849
33;6.97781904273565;166;0.2075;0.266302943833119
34;3.88766004698708;17;0.02125;0.0390677013053427
35;5.96805184612426;15;0.01875;0.0127874709593137
36;2.60724492119963;339;0.42375;0.46867273692902
37;3.53374818877026;66;0.0825;0.0788660598195876
38;6.93926358452964;609;0.76125;0.76606690077024
39;7.6723222973162;17;0.02125;0.0263723832373646
40;5.31066725184706;370;0.4625;0.419377218095388
41;7.5919843593575;254;0.3175;0.302320186590339
42;6.79555041473152;5;0.00625;0.0124990691545029
43;3.62546997499907;127;0.15875;0.160176852317146
44;5.53334981274481;88;0.11;0.107321468793916
45;6.73362388868519;310;0.3875;0.424426371923159
46;5.98073519951698;287;0.35875;0.35850253158421
47;2.91382908397998;10;0.0125;0.0221383484148629
48;2.2043715921251;40;0.05;0.0622553231212578
49;6.65314192169027;73;0.09125;0.0928018659605302
50;3.07829021619553;80;0.1;0.126786206329388
51;3.37216353014678;567;0.70875;0.782154079077
52;5.64473477548209;20;0.025;0.0274116268192319
53;2.61324779717869;77;0.09625;0.123635584497909
54;4.74113195144624;162;0.2025;0.24671376925528
55;4.78465684446723;27;0.03375;0.0312091311439563
56;6.89303803392362;9;0.01125;0.0154548453904734
57;5.29693874218359;10;0.0125;0.0274911620693381
58;5.84365837361834;21;0.02625;0.0283782669559108
59;2.56634720161853;189;0.23625;0.2530204934888
60;7.63989350741724;145;0.18125;0.178631252747711
61;6.74253749230063;406;0.5075;0.528100645055536
62;4.54995049096176;14;0.0175;0.0137139590286702
63;6.94099847084889;11;0.01375;0.0146224138425549
64;4.70633321753998;111;0.13875;0.124118904632504
65;7.30285996352456;85;0.10625;0.107264193589122
66;3.54306022894711;5;0.00625;0.0125493499706316
67;6.35621557773846;78;0.0975;0.0907454369507899
68;7.59390057418211;103;0.12875;0.135530611913531
69;7.22531759702848;317;0.39625;0.490446073913271
70;6.35011763980152;47;0.05875;0.0620325577645869
71;2.44994155711026;20;0.025;0.0197031811866007
72;7.43783826541055;17;0.02125;0.0423635692432346
73;5.61106011067101;79;0.09875;0.0672757457978461
74;2.55998129423707;244;0.305;0.288777519827315
75;3.88990776887625;610;0.7625;0.848364594741712
76;2.04847207388304;291;0.36375;0.36555403247971
77;7.23713782394172;17;0.02125;0.0182804085528741
78;2.63253444742064;55;0.06875;0.0429527947429787
79;4.04176288472571;221;0.27625;0.261477961149399
80;2.44017834702515;271;0.33875;0.299768477094694
81;2.75511959137168;431;0.53875;0.540586503179869
82;4.53722418031526;100;0.125;0.117632056025623
83;3.45481855583136;30;0.0375;0.0332832598325882
84;3.32715012846848;13;0.01625;0.0245068411691957
85;7.76961632527859;395;0.49375;0.503027463594952
86;6.7767363361906;76;0.095;0.0925378248178597
87;7.77975896456268;13;0.01625;0.0218272209309604
88;6.22356085396538;56;0.07;0.0990231620210763
89;5.16277350166942;20;0.025;0.023994721791706
90;4.11066056979385;141;0.17625;0.165557845977455
91;3.67403953600397;147;0.18375;0.175341943399262
92;3.89898776165163;532;0.665;0.67700818098528
93;3.37794790667386;404;0.505;0.580870476181844
94;6.40177820921027;44;0.055;0.0679763696285497
95;4.30712074614462;81;0.10125;0.124139790913861
96;7.65594840592516;20;0.025;0.0410397363823333
97;6.85737129247625;25;0.03125;0.0257842149078179
98;7.69279360943138;446;0.5575;0.50707563392757
99;5.89586232784012;14;0.0175;0.0173278813437646
