#TimeStamp;DistanceTraveled
60;298.61
119.96;94.26
179.96;80.69
239.96;124.21
299.96;106.79
360;168.31
420;88.31
480;88.24
540;36.58
600;70.44
659.96;10.39
719.96;84.7
779.96;17.46
839.96;55.57
899.96;39.78
959.96;32.32
1019.96;53.25
1079.96;10.08
1139.96;17.97
1199.96;92.03
1259.96;180.2
1319.96;155.56
1379.96;135.89
1439.96;106.38
1499.96;85.33
1559.96;54.64
1619.96;65
1679.96;31
1739.96;0
1799.96;68.38
1859.96;45.11
1919.96;142.07
1979.96;60.68
2039.96;57.24
2099.96;92.76
2159.96;52.65
2219.96;191.49
2279.96;218.4
2340;115.24
2400;111.07
2460;102.9
2520;127.33
2580;118.28
2640;100.67
2700;141.92
2760;109.62
2820;86.52
2880;91.34
2940;59.56
3000;26.88
3060;44.88
3120;41.79
3180;59.21
3240;19
3300;94.71
3360;74.58
3420;175.71
3480;190.2
3540;136.53
3600;162.84
3660;97.58
3720;93.59
3780;80.47
3840;87.78
3900;16.01
3960;36.48
4020;89.14
4080;66.15
4140;39.24
4200;76.48
4260;90.63
4320;177.93
4380;195.6
4440;195.46
4500;166.24
4560;119.24
4620;127.08
4680;127.09
4740;132.76
4800;162.21
4860;111.61
4920;109.8
4980;141.2
5040;25.65
5100;83.78
5160;78.84
5220;94.79
5280;33.61
5340;74.99
5400;11.19
5459.96;69.83
5519.96;183.39
5579.96;200.2
5639.96;158.42
5699.96;152.04
5759.96;115.93
5819.96;12
5879.96;102
5939.96;45.96
5999.96;38.04
6059.96;0
6119.96;44
6179.96;54.94
6239.96;46.7
6299.96;94.36
6359.96;167.69
6419.96;115.66
6479.96;172.71
6539.96;232.17
6599.96;236.35
6659.96;196.26
6719.96;143.84
6779.96;200.1
6839.96;87.65
6899.96;93.33
6959.96;161.47
7019.96;97.83
7079.96;42.15
7139.96;42.93
7199.96;45.86
7259.96;20
7319.96;31.98
7379.96;48
7439.96;35.14
7499.96;74.67
7559.96;197.94
7619.96;164
7679.96;75.19
7739.96;71.08
7799.96;26
7859.96;42.22
7919.96;91.63
7979.96;61.26
8039.96;33.89
8099.96;34.09
8159.96;64.91
8219.96;56.88
8279.96;64.96
8339.96;96.1
8399.96;77.02
8459.96;185.25
8519.96;203.44
8579.96;245.65
8639.96;217.49
8699.96;222.07
8759.96;144.73
8819.96;127.23
8879.96;121.26
8939.96;103.08
8999.96;158.54
9059.96;95.32
9119.96;108.06
9179.96;78.11
9239.96;100.07
9299.96;71.1
9360;19.66
9420;55
9480;22.17
9540;86.59
9600;50.97
9660;129.88
9720;112.31
9780;107.6
9840;117.12
9900;56.36
9960;130.76
10020;47.24
10080;0
10140;35
10200;64.25
10260;86.73
10320;1.02
10380;77.12
10440;72.88
10500;95.01
10560;25.48
10620;68.51
10680;140.43
10740;203.17
10800;182.55
10860;245.6
10920;121.74
10980;157.95
11040;149.29
11100;78.28
11160;185.19
11220;142.61
11280;107.94
11340;33.25
11400;70.68
11460;118.39
11520;54.34
11580;31.67
11640;30.93
11700;40
11760;70.83
11820;63.99
11880;56.93
11940;146.67
12000;145.64
12060;112.85
12120;143.56
12180;99.54
12240;78.56
12300;11.91
12360;111.49
12420;37.11
12480;20.71
12540;102.15
12600;13.06
12660;102.85
12720;55.15
12780;69.67
12840;259.29
12900;224.24
12960;173.78
13020;92.01
13080;168.46
13140;159.29
13200;164.24
13260;106.7
13320;159.13
13380;84.77
13440;131.45
13500;56.95
13560;58.96
13620;9.15
13680;77.9
13740;14
13800;98.54
13860;106.53
13920;36.41
13980;66.64
14040;200.22
14100;219.38
14160;127.3
14220;130.72
14280;76.25
14340;82.63
14400;23.45
