#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
31.42;0;98;0;31.42;31.38
41.47;0;98;0;41.47;41.42
53.42;8;70;1;53.42;53.38
55.73;6;43;0;55.73;55.69
63.47;8;70;1;63.47;63.42
69.91;9;71;0;69.91;69.87
73.47;8;70;1;73.47;73.42
87.64;2;5;1;87.64;87.6
97.64;2;5;1;97.64;97.6
107.64;2;5;1;107.64;107.6
117.64;2;5;1;117.64;117.6
131.82;8;44;1;131.82;131.78
141.82;8;44;1;141.82;141.78
185.2;2;87;1;185.2;185.16
195.2;2;87;1;195.2;195.16
209.38;8;89;1;209.38;209.33
219.38;8;89;1;219.38;219.33
260.22;2;3;1;260.22;260.18
291.73;8;41;1;291.73;291.69
310.09;2;63;1;310.09;310.04
364.22;8;82;1;364.22;113.91
536.67;8;47;1;536.67;135.24
1225.51;9;92;0;1225.51;25.47
1235.38;11;13;1;1235.38;35.33
1239.69;10;64;0;1239.69;39.64
1249.56;5;33;1;1249.56;49.51
1249.69;10;64;0;1249.69;49.64
1259.56;5;33;1;1259.56;59.51
1259.69;10;64;0;1259.69;59.64
1273.73;6;88;1;1273.73;73.69
1274.76;14;78;0;1274.76;74.71
1283.73;6;88;1;1283.73;83.69
1297.91;12;11;1;1297.91;97.87
1307.91;12;11;1;1307.91;107.87
1322.09;0;1;1;1322.09;122.04
1336.27;4;67;1;1336.27;136.22
1350.44;3;39;1;1350.44;150.4
