#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/15,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
60;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/13
119.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
179.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/10
239.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
299.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/3,Rest/11
360;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
420;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/2,Rest/13
480;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
540;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
600;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
659.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
719.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
779.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
839.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
899.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
959.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
1019.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
1079.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
1139.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
1199.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
1259.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
1319.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
1379.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
1439.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
1499.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
1559.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
1619.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
1679.96;0;None/0,ParkPod/3,RepositionPod/0,Insert/1,Extract/3,Rest/8
1739.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
1799.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
1859.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
1919.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
1979.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
2039.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/3,Rest/11
2099.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
2159.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
2219.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
2279.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/3,Rest/8
2340;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
2400;2;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/2,Rest/10
2460;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
2520;2;None/0,ParkPod/0,RepositionPod/0,Insert/4,Extract/4,Rest/7
2580;2;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/4,Rest/7
2640;2;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
2700;1;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/4,Rest/7
2760;3;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
2820;0;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
2880;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
2940;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
3000;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
3060;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
3120;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
3180;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
3240;2;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
3300;0;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/2,Rest/9
3360;2;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
3420;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
3480;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
3540;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/3,Rest/9
3600;1;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/3,Rest/9
3660;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
3720;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
3780;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
3840;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
3900;1;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
3960;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/2,Rest/11
4020;2;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
4080;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
4140;2;None/0,ParkPod/3,RepositionPod/0,Insert/2,Extract/2,Rest/8
4200;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
4260;0;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/3,Rest/11
4320;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
4380;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
4440;2;None/0,ParkPod/3,RepositionPod/0,Insert/1,Extract/2,Rest/9
4500;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
4560;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
4620;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
4680;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
4740;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/10
4800;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
4860;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
4920;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
4980;1;None/0,ParkPod/3,RepositionPod/0,Insert/1,Extract/3,Rest/8
5040;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
5100;2;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/2,Rest/9
5160;2;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
5220;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/10
5280;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
5340;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
5400;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/3,Rest/10
5459.96;2;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
5519.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
5579.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/3,Rest/9
5639.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
5699.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
5759.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
5819.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/4,Rest/7
5879.96;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/3,Rest/8
5939.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
5999.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
6059.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/3,Rest/8
6119.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
6179.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
6239.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
6299.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/10
6359.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
6419.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/3,Rest/9
6479.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
6539.96;3;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
6599.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
6659.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
6719.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
6779.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/3,Rest/11
6839.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
6899.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
6959.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
7019.96;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/3,Rest/10
7079.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
7139.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
7199.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
7259.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
7319.96;0;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/3,Rest/8
7379.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
7439.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
7499.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/11
7559.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
7619.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
7679.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
7739.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/4,Rest/7
7799.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
7859.96;3;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
7919.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
7979.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
8039.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
8099.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
8159.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
8219.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
8279.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/3,Rest/10
8339.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
8399.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
8459.96;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
8519.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
8579.96;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
8639.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
8699.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
8759.96;1;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/3,Rest/8
8819.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
8879.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
8939.96;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
8999.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
9059.96;0;None/0,ParkPod/3,RepositionPod/0,Insert/1,Extract/4,Rest/7
9119.96;2;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/4,Rest/8
9179.96;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/3,Rest/9
9239.96;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
9299.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
9360;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
9420;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
9480;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/9
9540;0;None/0,ParkPod/1,RepositionPod/0,Insert/2,Extract/4,Rest/8
9600;0;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
9660;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
9720;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
9780;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/11
9840;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
9900;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
9960;2;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
10020;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
10080;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
10140;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/4,Rest/11
10200;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/3,Rest/10
10260;2;None/0,ParkPod/2,RepositionPod/0,Insert/2,Extract/4,Rest/7
10320;0;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/4,Rest/9
10380;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
10440;1;None/0,ParkPod/0,RepositionPod/0,Insert/4,Extract/4,Rest/7
10500;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/3,Rest/12
10560;3;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
10620;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/3,Rest/11
10680;1;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
10740;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
10800;2;None/0,ParkPod/0,RepositionPod/0,Insert/3,Extract/4,Rest/8
10860;3;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
10920;0;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
10980;2;None/0,ParkPod/0,RepositionPod/0,Insert/2,Extract/4,Rest/9
11040;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/4,Rest/10
11100;1;None/0,ParkPod/1,RepositionPod/0,Insert/3,Extract/4,Rest/7
11160;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
11220;1;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
11280;0;None/0,ParkPod/1,RepositionPod/0,Insert/1,Extract/3,Rest/10
11340;3;None/0,ParkPod/2,RepositionPod/0,Insert/1,Extract/4,Rest/8
11400;1;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
11460;2;None/0,ParkPod/0,RepositionPod/0,Insert/1,Extract/4,Rest/10
