#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;47.84;0.1;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
60;51.27;0.38;PP/0.04,TA/0.02,IS/0,PS/0,RB/0,OB/0.09,RP/0
119.96;52.13;0.43;PP/0.04,TA/0.03,IS/0,PS/0,RB/0.01,OB/0.1,RP/0
179.96;52.3;0.48;PP/0.04,TA/0.04,IS/0,PS/0.01,RB/0.01,OB/0.11,RP/0
239.96;52.43;0.51;PP/0.05,TA/0.04,IS/0,PS/0.01,RB/0.01,OB/0.12,RP/0
299.96;52.46;0.55;PP/0.05,TA/0.04,IS/0,PS/0.01,RB/0.01,OB/0.13,RP/0
360;52.23;0.59;PP/0.05,TA/0.04,IS/0,PS/0.01,RB/0.01,OB/0.14,RP/0
420;52.4;0.62;PP/0.05,TA/0.04,IS/0,PS/0.01,RB/0.01,OB/0.14,RP/0
480;52.64;0.65;PP/0.05,TA/0.05,IS/0,PS/0.01,RB/0.01,OB/0.15,RP/0
540;52.71;0.69;PP/0.06,TA/0.05,IS/0,PS/0.02,RB/0.01,OB/0.15,RP/0
600;52.82;0.72;PP/0.06,TA/0.05,IS/0,PS/0.02,RB/0.01,OB/0.16,RP/0
659.96;52.61;0.76;PP/0.06,TA/0.05,IS/0,PS/0.02,RB/0.01,OB/0.16,RP/0
719.96;52.72;0.79;PP/0.06,TA/0.05,IS/0,PS/0.02,RB/0.01,OB/0.17,RP/0
779.96;52.99;0.84;PP/0.07,TA/0.06,IS/0,PS/0.02,RB/0.01,OB/0.18,RP/0
839.96;53.04;0.87;PP/0.07,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.18,RP/0
899.96;53.2;0.91;PP/0.07,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.19,RP/0
959.96;53.24;0.94;PP/0.07,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.19,RP/0
1019.96;52.84;0.97;PP/0.07,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.2,RP/0
1079.96;52.92;1;PP/0.08,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.2,RP/0
1139.96;53.09;1.04;PP/0.08,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/0.21,RP/0
1199.96;53.42;1.1;PP/0.09,TA/0.07,IS/0,PS/0.03,RB/0.01,OB/0.22,RP/0
1259.96;53.55;1.15;PP/0.09,TA/0.07,IS/0,PS/0.03,RB/0.01,OB/0.24,RP/0
1319.96;53.65;1.2;PP/0.09,TA/0.07,IS/0,PS/0.03,RB/0.01,OB/0.25,RP/0
1379.96;53.65;1.25;PP/0.1,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.26,RP/0
1439.96;53.11;1.3;PP/0.1,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.27,RP/0
1499.96;53.22;1.34;PP/0.1,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.28,RP/0
1559.96;53.02;1.38;PP/0.11,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.29,RP/0
1619.96;53.22;1.42;PP/0.12,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.3,RP/0
1679.96;53.13;1.46;PP/0.12,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.3,RP/0
1739.96;53.27;1.5;PP/0.12,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.31,RP/0
1799.96;53.52;1.53;PP/0.12,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.31,RP/0
1859.96;53.71;1.57;PP/0.13,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/0.32,RP/0
1919.96;53.45;1.6;PP/0.13,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.33,RP/0
1979.96;53.45;1.64;PP/0.14,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.33,RP/0
2039.96;53.73;1.67;PP/0.14,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.34,RP/0
2099.96;58.87;1.84;PP/0.27,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.35,RP/0
2159.96;59.31;1.9;PP/0.27,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.37,RP/0
2219.96;59.64;1.94;PP/0.27,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.38,RP/0
2279.96;59.81;1.98;PP/0.28,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/0.39,RP/0
