#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
125.29;8;90;1;52.75;52.67
135.29;8;90;1;135.29;62.67
145.29;8;90;1;121.11;72.67
155.29;8;90;1;106.93;82.67
182.84;2;20;1;37.77;37.69
192.84;2;20;1;23.59;23.51
319.33;6;38;0;53.36;29.11
329.38;6;38;0;87.59;39.16
339.42;6;38;0;49.27;49.2
369.78;9;71;0;31.27;31.2
447.91;6;48;0;61.05;60.98
482.93;8;34;1;71.89;47.64
492.98;8;34;1;57.75;57.69
551.56;2;84;1;67.97;43.73
561.56;2;84;1;102.15;53.73
571.56;2;84;1;63.79;63.73
639.16;8;58;1;34.68;34.62
660.22;2;59;1;128.28;128.22
670.22;2;59;1;114.1;114.04
680.22;2;59;1;99.92;99.87
736.58;8;6;1;83.74;59.51
746.58;8;6;1;117.92;69.51
756.58;8;6;1;79.56;79.51
764.18;0;99;0;38.8;38.76
790.27;2;60;1;40.71;40.67
835.33;8;4;1;61.6;37.38
845.33;8;4;1;47.42;47.38
886.62;2;87;1;64.53;40.27
896.62;2;87;1;50.35;50.27
971.38;8;88;1;52.57;52.49
992.76;2;86;1;49.77;49.69
1098.71;0;66;0;34.83;34.76
1099.16;2;11;1;59.45;59.38
1114.58;8;51;1;26.52;26.44
1191.42;6;46;0;30.83;30.76
1215.2;2;23;1;30.42;30.36
1234.58;8;14;1;98.16;98.09
1340.27;8;7;1;1146.83;34.53
1350.27;8;7;1;44.6;44.53
1369.24;6;33;0;136.11;72.31
1387.33;2;39;1;1290.62;66.36
1397.33;2;39;1;1276.44;76.36
1412.44;8;78;1;203.49;119.29
1458.13;2;22;1;1240.52;40.44
1466.18;6;73;0;208.86;69.07
1480.76;8;26;1;102.55;102.49
1540.18;2;6;1;89.43;76.67
1555.2;8;1;1;56.1;56.04
1596.89;2;63;1;1282.56;82.49
1601.33;0;21;0;1238.65;38.58
1616.27;8;5;1;92.98;92.93
1638.22;6;47;0;90.76;42.36
1648.22;6;47;0;173.3;52.36
1658.22;6;47;0;62.4;62.36
1681.24;8;67;1;351.39;97.56
1689.07;9;81;0;69.07;69.02
1773.42;2;86;1;80.88;80.8
1859.64;8;33;1;288;45.6
1909.33;2;88;1;627.84;47.47
1919.33;2;88;1;57.54;57.47
1932.09;9;28;0;46.12;44.13
1960.4;8;64;1;1259.21;59.16
1985.11;2;35;1;74.96;74.89
2045.33;6;56;0;62.65;38.4
2050.18;8;55;1;115.85;85.78
2055.38;6;56;0;48.51;48.44
2106.18;2;84;1;1235.73;35.64
2138.84;6;80;0;1244.22;44.13
2165.6;9;26;0;207.09;46.89
2218.09;8;64;1;138.69;113.07
2226.36;9;15;0;1235.01;34.93
2228.13;8;64;1;414.7;123.11
2236.4;9;15;0;1269.24;44.98
2263.11;0;45;0;111.17;111.11
2352.27;9;31;0;103.61;103.56
2358.67;8;27;1;1246.43;46.31
2373.56;2;9;1;173.26;87.42
2421.11;8;31;1;99.92;99.87
2435.38;2;96;1;65.83;65.78
2488.22;8;92;1;94.49;70.27
2498.27;8;92;1;80.36;80.31
2507.07;9;15;0;1153.04;66.27
2513.16;2;97;1;71.07;70.98
2552.62;8;46;1;62.17;62.09
2553.29;0;51;0;38.66;38.58
2586.31;2;39;1;47.51;47.42
2624.22;8;72;1;157.95;157.87
2643.11;2;23;1;55.95;55.87
2655.07;6;65;0;43.72;43.64
2705.69;0;69;0;650.46;45.91
2715.73;0;69;0;56.03;55.96
2741.29;6;21;0;33.23;33.16
2781.82;0;19;0;25.4;25.33
2867.51;2;5;1;86.91;86.84
2882.27;8;63;1;1238.09;37.96
2890.49;6;54;0;37.35;37.29
2926.4;2;76;1;1258.04;57.91
2940.98;0;45;0;716.5;39.42
2951.02;0;45;0;49.53;49.47
2956.67;8;99;1;1239.95;39.82
2966.71;8;99;1;1951.19;49.87
2989.96;9;46;0;64.28;64.22
3013.64;2;84;1;63.79;63.73
3026.49;6;92;0;463.5;52.36
3035.2;8;43;1;1245.95;45.82
3083.51;9;83;0;36.94;36.89
3086.67;2;90;1;1249.05;48.93
3099.24;0;67;0;463.72;74.8
3120.27;8;49;1;97.88;49.47
3130.31;8;49;1;132.1;59.51
3140.36;8;49;1;69.61;69.56
3144.44;6;86;0;412.21;59.6
3164.44;2;0;1;45.34;45.29
3197.07;0;8;0;29.6;29.56
3283.07;8;95;1;188.14;111.16
3285.42;6;94;0;45.42;45.33
3340.71;9;72;0;124.89;114.98
3357.16;2;57;1;44.62;44.53
3377.51;8;52;1;1249.75;49.64
3401.24;6;45;0;40.35;40.27
3412.49;2;58;1;148.31;129.82
3464.67;8;33;1;273.02;81.42
3522.71;2;77;1;40.92;40.84
3532.13;0;76;0;98.7;98.62
3537.64;8;36;1;1240.63;40.53
3547.69;8;36;1;1516.64;50.58
3557.73;8;36;1;2131.17;60.62
3589.87;2;49;1;132.25;116.04
3618.93;8;82;1;1273.56;73.47
3768.71;9;99;0;238.56;80.04
3820.4;6;94;0;48.46;48.4
3838.71;2;73;1;695.43;93.02
3848.76;2;73;1;294.43;103.07
3863.64;8;66;1;67.53;67.47
3922.93;2;28;1;1239.05;102.58
3930.4;0;81;0;303.53;90.89
3932.98;2;28;1;112.68;112.62
3947.38;8;4;1;54.54;54.49
