decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
0,0.0444444444444444,92,2,99,2,0,12,16,0.0690318,10,24,0.05,15,14,0,12
1,55.4666666666665,84,1,98,0,0,1,4,0.0029996,10,11.6666666666667,0.05,15,2,0,1
2,62.7999999999998,84,1,98,0,0,1,1,0.0019993,10,12.3076923076923,0.05,15,1,0,1
3,65.5111111111111,83,1,98,0,0,1,2,0.0009989,10,12.1428571428571,0.05,15,1,0,1
4,72.8444444444456,83,1,98,1,0,1,2,0.0020008,10,12,0.05,15,1,0,1
5,75.5555555555571,82,1,97,0,0,1,1,0.0009969,10,11.875,0.05,15,1,0,1
6,82.8888888888916,82,1,97,0,0,1,1,0.002002,10,11.7647058823529,0.05,15,1,0,1
7,85.6000000000032,81,1,96,0,0,1,1,0.0019985,10,11.6666666666667,0.05,15,1,0,1
8,92.9333333333376,81,1,97,0,0,1,2,0.0010022,10,11.5789473684211,0.05,15,2,0,1
9,105.644444444451,81,1,96,0,0,1,2,0.0009996,10,12,0.05,15,1,0,1
10,112.977777777785,80,1,97,1,0,1,3,0.0029991,10,11.9047619047619,0.05,15,2,0,1
11,115.688888888897,80,1,94,1,0,1,1,0.0049938,10,12.2727272727273,0.05,15,1,0,1
12,133.022222222233,80,1,95,0,0,1,1,0.0009999,10,12.1739130434783,0.05,15,1,0,1
13,143.066666666679,80,1,95,1,0,1,1,0.0029997,10,12.0833333333333,0.05,15,1,0,1
14,155.733333333347,80,1,94,0,0,1,2,0.0009999,10,12,0.05,15,2,0,1
15,173.111111111128,81,1,95,0,0,1,2,0.0020016,10,12.3076923076923,0.05,15,1,0,1
16,175.777777777795,80,1,94,0,0,0,0,0.003002,10,12.2222222222222,0.05,15,0,0,0
17,182.888888888907,80,1,95,0,0,0,0,0.0019993,10,12.2222222222222,0.05,15,0,0,0
18,183.155555555574,80,2,98,0,0,1,1,0.0019994,10,12.2222222222222,0.05,15,1,0,1
19,184.355555555574,80,1,95,0,0,0,0,0.0030032,10,12.1428571428571,0.05,15,0,0,0
20,185.822222222241,80,1,95,0,0,0,0,0.0019975,10,12.1428571428571,0.05,15,0,0,0
21,192.888888888909,80,1,95,0,0,0,0,0.0020001,10,12.1428571428571,0.05,15,0,0,0
22,193.20000000002,80,2,98,0,0,1,1,0.0019993,10,12.1428571428571,0.05,15,1,0,1
23,195.866666666687,80,1,95,0,0,0,0,0.0010007,10,12.0689655172414,0.05,15,0,0,0
24,207.3777777778,81,1,95,0,0,0,0,0.002,10,12.0689655172414,0.05,15,0,0,0
25,215.911111111135,81,1,97,0,0,0,0,0.001999,10,12.0689655172414,0.05,15,0,0,0
