#TimeStamp;Bot;Pod;OutputStation
42.67;5;21;0
45.38;7;63;1
52.71;5;21;0
55.47;7;63;1
62.8;5;21;0
65.51;7;63;1
72.84;5;21;0
75.56;7;63;1
82.89;5;21;0
85.6;7;63;1
92.93;5;21;0
95.6;7;63;1
102.93;5;21;0
105.64;7;63;1
112.98;5;21;0
115.69;7;63;1
122.98;5;21;0
125.69;7;63;1
133.02;5;21;0
135.69;7;63;1
143.07;5;21;0
145.69;7;63;1
153.07;12;46;0
155.73;7;63;1
163.07;12;46;0
165.73;7;63;1
173.11;12;46;0
175.78;7;63;1
183.16;12;46;0
185.82;7;63;1
193.2;12;46;0
195.87;7;63;1
203.2;12;46;0
205.87;7;63;1
213.2;3;94;0
215.91;7;63;1
223.24;3;94;0
225.91;4;40;1
233.29;13;69;0
235.96;4;40;1
243.33;13;69;0
246;4;40;1
253.33;13;69;0
263.42;13;69;0
263.87;10;14;1
273.51;13;69;0
273.96;10;14;1
283.6;13;69;0
284;10;14;1
293.69;13;69;0
303.73;13;69;0
313.78;5;48;0
323.87;5;48;0
333.91;5;48;0
343.96;5;48;0
354.04;5;48;0
360.4;4;58;1
364.09;5;48;0
370.44;4;58;1
374.13;5;48;0
380.53;4;58;1
384.18;5;48;0
390.62;4;58;1
394.27;7;84;0
400.67;4;58;1
404.36;7;84;0
410.76;4;58;1
414.4;7;84;0
420.84;4;58;1
424.49;7;84;0
430.93;4;58;1
434.53;7;84;0
440.98;4;58;1
444.58;7;84;0
451.02;10;59;1
454.62;7;84;0
461.07;10;59;1
464.67;7;84;0
471.16;10;59;1
474.71;3;43;0
481.24;10;59;1
484.76;3;43;0
491.33;10;59;1
494.84;3;43;0
501.38;10;59;1
504.89;3;43;0
511.42;10;59;1
514.98;3;43;0
521.47;10;59;1
524.98;3;43;0
531.47;10;59;1
535.02;14;64;0
541.47;10;59;1
545.07;14;64;0
551.51;10;59;1
555.07;14;64;0
561.51;10;59;1
565.11;14;64;0
571.56;10;59;1
575.16;14;64;0
581.6;10;59;1
585.16;14;64;0
591.6;10;59;1
595.2;14;64;0
601.6;13;23;1
605.2;14;64;0
611.6;13;23;1
615.24;14;64;0
621.6;13;23;1
625.24;14;64;0
631.64;13;23;1
635.29;14;64;0
641.69;13;23;1
645.29;4;90;0
651.73;13;23;1
655.29;4;90;0
661.78;13;23;1
665.33;4;90;0
671.82;13;23;1
675.38;4;90;0
681.82;13;23;1
685.42;4;90;0
691.87;11;4;1
695.42;4;90;0
701.91;11;4;1
705.47;4;90;0
711.91;11;4;1
715.51;4;90;0
721.96;11;4;1
725.56;4;90;0
731.96;11;4;1
735.56;4;90;0
742;11;4;1
745.56;4;90;0
752;11;4;1
755.6;4;90;0
762.04;11;4;1
765.6;4;90;0
772.04;11;4;1
775.6;10;80;0
782.09;3;84;1
785.6;10;80;0
792.13;3;84;1
795.6;10;80;0
802.18;3;84;1
805.64;10;80;0
812.18;3;84;1
815.64;10;80;0
822.22;3;84;1
825.69;10;80;0
832.22;3;84;1
835.73;10;80;0
842.22;3;84;1
845.73;1;5;0
852.22;3;84;1
855.78;1;5;0
862.22;3;84;1
865.78;1;5;0
872.22;14;86;1
875.82;1;5;0
882.22;14;86;1
885.82;1;5;0
892.27;14;86;1
895.87;1;5;0
902.27;14;86;1
905.91;1;5;0
912.31;14;86;1
915.96;12;99;0
922.31;14;86;1
925.96;12;99;0
932.31;14;86;1
936;12;99;0
942.31;14;86;1
946;12;99;0
952.36;4;11;1
956.04;12;99;0
962.36;4;11;1
966.04;12;99;0
972.4;4;11;1
976.09;12;99;0
982.4;4;11;1
986.13;12;99;0
992.44;4;11;1
996.18;12;99;0
1002.49;4;11;1
1006.18;12;99;0
1012.53;4;11;1
1016.18;12;99;0
1022.58;4;11;1
1026.18;11;27;0
1032.58;4;11;1
1036.18;11;27;0
1042.58;4;11;1
1046.22;11;27;0
1052.62;4;11;1
1056.22;11;27;0
1062.62;13;6;1
1066.27;11;27;0
1072.62;13;6;1
1076.31;11;27;0
1082.67;13;6;1
1086.36;11;27;0
1092.67;13;6;1
1096.4;11;27;0
1102.71;13;6;1
1106.4;11;27;0
1112.71;13;6;1
1116.44;11;27;0
1122.76;13;6;1
1126.44;11;27;0
1132.76;7;14;1
1136.44;12;30;0
1142.8;7;14;1
1146.49;12;30;0
1152.84;7;14;1
1156.53;12;30;0
1162.84;7;14;1
1166.58;1;33;0
1172.84;7;14;1
1176.62;1;33;0
1182.84;14;88;1
1186.62;1;33;0
1192.84;14;88;1
1196.67;1;33;0
1202.89;14;88;1
1206.71;1;33;0
1212.93;14;88;1
1216.71;1;33;0
1222.93;14;88;1
