#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
118.09;2;90;1;45.55;45.47
128.09;2;90;1;128.09;55.47
138.09;2;90;1;113.91;65.47
148.09;2;90;1;99.73;75.47
218.49;2;59;1;73.41;49.16
228.49;2;59;1;59.24;59.16
323.2;2;22;1;57.23;32.98
333.24;2;22;1;91.45;43.02
343.29;2;22;1;53.14;53.07
426.44;2;21;1;39.58;39.51
464.31;0;71;0;53.27;29.02
474.36;0;71;0;39.13;39.07
484.4;0;71;0;25;24.93
550.8;2;34;1;67.22;42.98
560.8;2;34;1;53.04;52.98
578.89;8;6;1;46.95;46.89
648.36;6;92;0;43.88;43.82
658.36;6;92;0;29.7;29.64
717.42;0;63;0;64.59;40.36
727.42;0;63;0;50.41;50.36
794.62;6;76;0;431.94;45.02
804.62;6;76;0;55.07;55.02
827.29;2;60;1;53.56;29.33
837.29;2;60;1;39.38;39.33
883.91;8;87;1;61.82;37.56
893.91;8;87;1;47.64;47.56
963.24;8;88;1;44.44;44.36
972.04;6;21;0;101.6;77.33
982.04;6;21;0;87.42;87.33
1077.2;6;66;0;37.5;37.42
1078.4;2;28;1;135.41;52.18
1092.58;8;51;1;28.7;28.62
1145.96;0;67;0;57.9;57.82
1167.87;8;93;1;31.45;31.38
1207.42;0;73;0;46.83;46.76
1340.84;9;33;0;131.89;62.4
1365.29;2;39;1;1244.39;44.31
1375.29;2;39;1;1278.57;54.31
1390.18;8;31;1;157.04;93.42
1424.62;2;20;1;1231.19;31.11
1462.67;8;7;1;1245.05;44.98
1482.27;6;47;0;152.42;63.6
1508.4;2;93;1;251.09;91.51
1527.96;9;64;0;28.85;28.8
1579.2;6;38;0;1240.69;40.62
1637.69;9;36;0;41.87;41.82
1651.87;0;8;0;80.22;72.89
1652.58;2;1;1;32.58;32.53
1685.29;8;22;1;234.54;138.09
1822.8;0;99;0;1242.5;42.44
1832.8;0;99;0;1276.68;52.44
1847.64;6;47;0;155.11;98.27
1891.51;8;24;1;102.26;29.64
1901.51;8;24;1;39.72;39.64
1935.33;2;35;1;170.26;87.51
1943.02;9;67;0;32.87;32.8
1962.4;8;79;1;1237.03;36.98
1972.4;8;79;1;1271.21;46.98
1977.6;0;73;0;43.27;43.2
2059.64;2;62;1;173.67;91.6
2122.71;0;60;0;164.2;92.84
2201.87;8;99;1;49.93;49.87
2207.56;9;82;0;805.17;56.98
2222.44;0;15;0;1255.28;55.2
2300.67;6;55;0;1285.14;85.07
2310.71;6;55;0;1319.37;95.11
2320.76;6;55;0;120.46;99.69
2339.6;8;98;1;90.94;90.89
2357.07;2;23;1;1244.83;44.71
2363.69;0;19;0;18.32;18.27
2423.69;2;0;1;1238.91;38.8
2457.38;0;54;0;39.47;39.42
2484.09;9;52;0;453.04;114.49
2494.13;9;52;0;124.58;124.53
2504.18;9;52;0;62.09;62
2512.04;2;5;1;1230.55;30.44
2545.6;8;81;1;1239.93;39.82
2577.02;2;90;1;449.26;62.31
2582.67;0;83;0;43.86;43.78
2587.07;2;90;1;72.44;72.36
2614.53;6;9;0;1236.32;36.22
2622.49;8;14;1;35.32;35.24
2624.58;6;9;0;2310.25;46.27
2638.84;9;70;0;148.4;135.87
2658.18;2;8;1;46.83;46.76
2681.51;0;73;0;360.32;47.56
2684.71;8;48;1;218.44;218.36
2721.02;2;66;1;61.32;58.89
2740.71;8;58;1;1265.79;65.69
2743.6;0;43;0;35.54;35.47
2780.67;2;20;1;1257.38;57.29
2804.76;8;26;1;1257.29;57.2
2808.36;6;28;0;172.83;53.69
2843.07;2;98;1;62.47;62.4
2879.78;8;27;1;1235.6;35.47
2901.11;2;86;1;96.34;96.27
2911.16;2;86;1;58.02;57.96
2950.76;6;76;0;1234.04;33.91
2960.8;6;76;0;1292.44;43.96
2961.11;8;35;1;35.44;35.38
3001.91;2;41;1;52.06;52
3062.71;6;11;0;1225.1;24.98
3129.29;2;26;1;106.9;106.84
3139.11;0;1;0;745.38;92.49
3139.33;2;26;1;68.59;68.53
3149.16;0;1;0;102.59;102.53
3204.98;2;80;1;37.52;37.47
3219.87;8;1;1;100.76;100.71
3249.73;9;31;0;1242.87;42.76
3259.78;9;31;0;1277.09;52.8
3274.04;6;5;0;179.12;106.84
3287.73;2;96;1;1232.51;32.4
3314.67;8;42;1;1235.26;35.16
3324;0;49;0;132.36;86.36
3351.24;2;47;1;111.24;38.62
3361.29;2;47;1;48.75;48.67
3394.22;8;99;1;33.33;33.24
3428.49;2;88;1;164.31;92.04
3465.51;8;72;1;1241.03;40.93
3485.91;0;34;0;922.93;137.56
3518;2;86;1;108.75;36.13
3528.04;2;86;1;46.25;46.18
3528.49;6;24;0;70.88;49.2
3542.31;8;76;1;108.88;75.02
3543.96;9;10;0;1246.94;46.84
3554;9;10;0;2127.43;56.89
3623.16;8;84;1;407.33;105.56
3651.02;9;96;0;120.87;101.33
3665.11;2;42;1;38.25;38.18
3748.53;8;92;1;1016.29;80.09
3811.11;2;34;1;39.17;39.11
3837.24;8;39;1;41.13;41.07
3921.73;9;94;0;1237.85;37.73
3943.42;0;56;0;50.59;50.53
3946.4;8;95;1;247;56.4
3979.82;9;49;0;62.81;47.51
3991.91;2;46;1;1235.49;35.38
4053.56;0;63;0;88.18;81.02
4066.13;8;67;1;1237.18;37.07
4080.4;2;37;1;66.67;42.44
4090.44;2;37;1;52.53;52.49
4126.04;8;12;1;39.78;39.69
4153.73;2;48;1;1276.42;76.31
4242.58;8;58;1;1244.37;44.27
4259.2;2;79;1;27.86;27.78
4269.2;2;79;1;1367.71;167.6
4401.87;2;27;1;122.17;73.73
4411.87;2;27;1;736.64;83.73
4421.87;2;27;1;93.81;93.73
4441.16;8;5;1;40.56;40.49
4501.29;2;78;1;294.12;28.09
4504.27;6;19;0;79.49;79.42
4511.29;2;78;1;328.3;38.09
4521.29;2;78;1;48.15;48.09
4641.07;0;79;0;47.04;46.98
4691.2;2;24;1;24.63;24.58
4716;6;54;0;557.19;81.82
4726;6;54;0;1171.67;91.82
4822.31;2;84;1;1243.8;43.73
4851.2;8;39;1;39.56;39.51
4868.22;2;51;1;104.94;75.42
4878.4;0;83;0;42.58;42.53
4901.24;8;27;1;41.24;41.16
4962.31;9;15;0;1238.73;38.67
4985.91;2;0;1;29.19;29.11
5045.64;9;28;0;1225.35;25.29
5048.04;2;7;1;308.94;44.89
5055.64;9;28;0;1767.29;35.29
5064.62;8;57;1;35.37;35.29
5083.24;6;4;0;102.35;102.27
5122.67;2;2;1;45.05;44.98
5178.31;2;63;1;28.16;28.09
5234.67;8;45;1;1245.11;45.07
5256;2;90;1;347.64;347.56
5275.2;6;38;0;729.53;80
5297.02;8;51;1;74.34;74.27
5326.84;2;77;1;128.34;128.27
5372.84;9;67;0;125.98;57.47
5382.84;9;67;0;87.62;67.47
5397.69;0;70;0;1263.06;62.98
5405.47;8;80;1;37.71;37.64
5407.69;0;70;0;2264.41;72.98
5443.91;6;28;0;1333.46;58.4
5450.93;2;8;1;34.81;34.76
5577.69;8;45;1;89.03;88.98
5597.47;2;73;1;1245.23;45.16
5612.84;0;54;0;100.01;99.96
5629.96;8;15;1;68.76;68.71
5676.09;2;46;1;1299.67;99.6
5692.31;8;34;1;58.58;58.53
5735.82;2;5;1;150.45;150.4
5752.67;6;23;0;360.73;66.67
5770.22;8;83;1;39.77;39.69
5807.6;2;44;1;125.51;101.24
5816.93;9;11;0;1247.08;47.02
5817.6;2;44;1;111.33;111.24
5826.93;9;11;0;1305.44;57.02
5842.09;6;67;0;63.28;63.2
5858.93;8;7;1;55.95;55.87
5932.36;2;31;1;105.19;57.82
6005.24;0;87;0;129.72;129.64
6015.24;0;87;0;260.62;88.71
6042.76;6;55;0;46.34;46.27
6053.73;8;86;1;105.67;58.98
6067.38;9;47;0;1279.92;95.07
6077.38;9;47;0;105.14;105.07
6110.89;0;74;0;90.29;90.22
6117.51;2;70;1;72.74;52.53
6127.51;2;70;1;856.47;62.53
6229.6;9;48;0;63.93;63.87
6233.91;8;24;1;44.06;44
6258.89;0;77;0;44.86;44.8
6341.11;0;64;0;199.62;63.87
6486.09;8;78;1;54.45;54.4
6562.93;0;75;0;58.75;58.67
6563.51;2;62;1;107.69;47.29
6597.16;8;46;1;44.62;44.53
6637.47;2;51;1;230;36.49
6647.47;2;51;1;336.72;46.49
6657.47;2;51;1;56.57;56.49
6671.64;8;16;1;2029.26;85.24
6714.09;2;90;1;475.88;64.76
6724.09;2;90;1;74.84;74.76
6745.42;8;70;1;120.35;120.27
6791.87;6;19;0;94.25;43.64
6794.58;2;65;1;1257.56;57.51
6804.58;2;65;1;1872.04;67.51
6814.58;2;65;1;2873.38;77.51
6826.71;0;37;0;56.56;56.49
6859.51;8;79;1;41;40.93
6908.62;6;13;0;41.76;41.69
6924.18;9;5;0;81.49;33.07
6934.18;9;5;0;43.13;43.07
6992.53;8;96;1;77.31;75.38
6999.82;0;34;0;640.72;60.36
7009.82;0;34;0;70.42;70.36
7082.18;8;81;1;46.06;46
7107.82;2;39;1;47.52;47.47
7117.6;0;36;0;154.02;68.89
7142.62;8;69;1;58.14;58.09
7169.33;9;79;0;447.54;50.53
7180.67;2;98;1;47.83;47.78
7207.51;8;29;1;461.54;79.96
7220.22;6;63;0;63.21;63.16
7277.91;2;92;1;72.54;72.49
7315.69;8;74;1;1246.73;46.67
7329.33;9;13;0;51.42;51.38
7352.98;2;58;1;1235.66;35.6
7368.58;8;9;1;42.31;42.22
7442.89;2;46;1;68.26;44
7448.84;9;75;0;1355.71;79.51
7452.89;2;46;1;54.08;54
7518.13;6;71;0;1231.57;31.51
7528.13;6;71;0;2402.16;41.51
7538.13;6;71;0;3282.61;51.51
7591.51;8;63;1;168.53;73.42
7611.29;9;22;0;91.59;67.33
7621.29;9;22;0;77.41;77.33
7662.36;8;36;1;94.3;64.13
7698.31;9;77;0;33.54;33.47
7715.69;2;56;1;1235.69;35.64
7725.69;2;56;1;2261.21;45.64
7764.76;0;95;0;75.8;75.73
7774.76;0;95;0;13.26;13.2
7788.93;6;33;0;1260.58;60.49
7915.64;6;64;0;1242.21;42.13
7943.07;0;31;0;36.5;36.44
7958.67;9;36;0;76.28;76.22
8015.87;0;63;0;36.76;36.71
8073.33;6;33;0;118.41;45.82
8083.33;6;33;0;55.87;55.82
8084;8;53;1;80.72;64.89
8094;8;53;1;1299.67;74.89
8117.42;9;93;0;41.6;41.56
8208.4;9;28;0;84.22;57.56
8272.53;2;96;1;27.46;27.38
8290.22;8;27;1;117.68;69.24
8300.27;8;27;1;79.37;79.29
8310.18;0;57;0;113.46;68.93
8320.22;0;57;0;268.58;78.98
8344.58;2;6;1;752.34;51.07
8354.62;2;6;1;61.19;61.11
8368.89;8;16;1;99.64;99.56
8406.44;9;29;0;40.47;40.4
8413.6;2;24;1;95.99;95.91
8474.22;8;38;1;35.71;35.64
8490.67;6;85;0;76.34;58.13
8529.24;9;62;0;42.38;42.31
8536.84;2;3;1;1234.75;34.67
8620.22;2;6;1;60.82;60.76
8646.13;8;43;1;38.37;38.31
8707.78;6;56;0;75.84;75.78
8709.78;2;65;1;53.66;53.6
8730.22;8;13;1;219.18;88
8737.33;0;45;0;32.86;32.8
8769.91;9;4;0;4079.16;65.73
8789.51;2;83;1;109.21;109.16
8891.56;0;54;0;90.36;90.31
8905.69;2;58;1;56.14;56.09
8957.02;8;71;1;1243.89;43.78
8989.11;0;78;0;91.2;91.16
8989.38;2;12;1;67.29;43.02
8999.42;2;12;1;53.15;53.07
9068.18;9;82;0;73.55;73.47
9087.16;2;21;1;1228.95;28.84
9097.2;2;21;1;1287.35;38.89
9107.24;2;21;1;1877.69;48.93
9127.29;8;49;1;108.48;52.09
9146.58;6;88;0;103.59;103.51
9157.91;2;72;1;1227.16;27.07
9194.49;8;6;1;54.79;54.71
9224.31;2;88;1;132.97;132.89
9263.47;8;92;1;147.94;137.96
9311.51;2;30;1;50.91;50.84
9328.31;8;79;1;116.07;72.04
9367.38;6;63;0;82.6;82.53
9379.33;2;35;1;1230.98;30.84
9394.89;8;15;1;158.47;68.18
9452.22;2;83;1;119.09;70.67
9462.27;2;83;1;80.77;80.71
9476.89;8;21;1;47.04;46.98
9526.98;2;69;1;749.96;72.89
9537.02;2;69;1;82.99;82.93
9564.58;8;16;1;86.37;86.31
9606.49;2;38;1;297.53;189.29
9618.8;6;59;0;261.49;69.11
9642.4;8;56;1;43.3;43.24
9675.38;2;6;1;52.09;52.04
9715.87;8;11;1;68.4;68.36
9726.31;0;29;0;151.39;86.04
9742.53;2;7;1;46.71;46.67
9781.47;9;33;0;1246.24;46.13
9795.73;6;28;0;75.73;75.64
9799.38;8;69;1;31.02;30.93
