decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.05,0.01,25,12,20,12,2,12,-210.22,0.4806674,0,15,0,12,0
1,37.911111111111,1,83,1,97,1,8,10,10.9090909090909,0.05,0.01,6,1,5,1,0,3,-70.6209090909091,0.2098815,0,15,3,0,12
2,47.9999999999998,1,83,1,97,1,8,10,10.8333333333333,0.05,0.01,4,1,3,0,0,3,-58.155,0.1787363,0,15,3,0,9
3,48.711111111111,1,83,1,97,1,8,10,11.6666666666667,0.05,0.01,6,2,3,1,0,2,-64.8533333333333,0.0792744,0,15,2,0,7
4,58.0888888888887,1,83,1,97,1,8,10,12.3076923076923,0.05,0.01,3,1,3,1,0,2,-54.5584615384615,0.1155193,0,15,2,0,6
5,58.7999999999998,1,82,1,97,1,8,10,12.1428571428571,0.05,0.01,4,1,2,1,0,2,-54.27,0.0720954,0,15,2,0,5
6,68.1333333333338,1,81,1,97,1,8,10,12,0.05,0.01,2,1,2,1,0,2,-53.12,0.1335529,0,15,2,0,4
7,68.844444444445,1,80,1,97,1,8,10,11.875,0.05,0.01,3,1,1,1,0,1,-37.885,0.098519,0,15,1,0,3
8,78.1777777777798,1,80,1,96,1,8,10,11.7647058823529,0.05,0.01,1,1,1,1,0,2,-51.7847058823529,0.0775569,0,15,2,0,2
9,78.888888888891,1,79,1,96,1,8,10,11.6666666666667,0.05,0.01,2,1,0,0,0,1,-25.51,0.072508,0,15,1,0,2
10,88.2222222222258,1,80,1,96,1,8,10,12.2222222222222,0.05,0.01,8,1,2,1,1,1,-4.34333333333333,0.0762401,0,15,0,1,0
11,88.933333333337,1,79,1,95,1,7,10,12.1052631578947,0.05,0.01,1,1,0,0,0,1,-25.01,0.0521359,0,15,1,0,1
