#TimeStamp;DistanceTraveled
60;293.03
119.96;75.97
179.96;89.99
239.96;112.08
299.96;96.9
360;193.37
420;143.16
480;188.84
540;115.41
600;248.57
659.96;191.33
719.96;98.89
779.96;192.01
839.96;149.65
899.96;103.29
959.96;115.67
1019.96;190.09
1079.96;147.06
1139.96;131.13
1199.96;252.18
1259.96;206.11
1319.96;214.6
1379.96;168.05
1439.96;163.5
1499.96;275.36
1559.96;260.74
1619.96;169.73
1679.96;214.15
1739.96;135.56
1799.96;192.79
1859.96;226.14
1919.96;203.25
1979.96;186.9
2039.96;298.87
2099.96;269.5
2159.96;192.84
2219.96;174.06
2279.96;226.92
2340;220.85
2400;180.83
2460;224.6
2520;257.67
2580;324.94
2640;174.54
2700;199.84
2760;287.78
2820;271.08
2880;134.21
2940;190.72
3000;218.49
3060;185.26
3120;213.66
3180;259.39
3240;228.48
3300;185.14
3360;270.58
3420;267.42
3480;256.27
3540;233.67
3600;241.97
3660;234.36
3720;229.81
3780;230.47
3840;274.29
3900;242.43
3960;138.78
4020;216.09
4080;287.32
4140;265.93
4200;247.01
4260;172.61
4320;207.52
4380;161.15
4440;298.94
4500;239.14
4560;222.25
4620;272.62
4680;263.56
4740;210
4800;203.92
4860;255.18
4920;201.22
4980;166.16
5040;211.33
5100;193.14
5160;192.45
5220;169.53
5280;83.48
5340;79.41
5400;258.61
5459.96;337.81
5519.96;231.1
5579.96;195.51
5639.96;192.47
5699.96;200.92
5759.96;230.17
5819.96;279.26
5879.96;206.91
5939.96;250.64
5999.96;222.1
6059.96;233.95
6119.96;286.86
6179.96;247.18
6239.96;172.71
6299.96;221.08
6359.96;180.94
6419.96;184.69
6479.96;98.89
6539.96;145.38
6599.96;134.44
6659.96;226.57
6719.96;235.72
6779.96;209.78
6839.96;151.99
6899.96;251.51
6959.96;196.24
7019.96;265.09
7079.96;239.07
7139.96;159.1
7199.96;192.31
7259.96;161.45
7319.96;185.71
7379.96;155.16
7439.96;268.72
7499.96;149.11
7559.96;155.34
7619.96;197.42
7679.96;215.43
7739.96;278.71
7799.96;182.3
7859.96;239.44
7919.96;319.78
7979.96;209.74
8039.96;202.72
8099.96;163.89
8159.96;184.78
8219.96;138.43
8279.96;136.4
8339.96;224.75
8399.96;230.27
8459.96;178.24
8519.96;224.72
8579.96;163.13
8639.96;189.98
8699.96;184.59
8759.96;210.77
8819.96;190.02
8879.96;210.92
8939.96;134.92
8999.96;150.47
9059.96;151.2
9119.96;176.05
9179.96;165.29
9239.96;163.06
9299.96;271.98
9360;134.64
9420;314.13
9480;326.5
9540;266.03
9600;139.65
9660;173.39
9720;167.87
9780;216.68
9840;199.14
9900;238.45
9960;174.74
10020;316.11
10080;225.63
10140;163.29
10200;179.79
10260;211.88
10320;166.76
10380;176.34
10440;317.95
10500;222.29
10560;209.49
10620;217.18
10680;309.59
10740;266.17
10800;208.69
10860;218.46
10920;189.84
10980;238.89
11040;167.63
11100;208.11
11160;209.16
11220;267.48
11280;229.39
11340;221.4
11400;247.08
11460;165.74
11520;199.29
11580;218.26
11640;194.38
11700;212.33
11760;189.21
11820;175.15
11880;232.78
11940;191.05
12000;196.05
12060;261.3
12120;263.29
12180;124.58
12240;241.45
12300;321.18
12360;260.75
12420;240.41
12480;187.32
12540;181.87
12600;217.22
12660;108.66
12720;142.95
12780;231.87
12840;252.66
12900;325.35
12960;213.58
13020;232.26
13080;265.94
13140;194.7
13200;196.76
13260;201.35
13320;189.84
13380;194.5
13440;147.27
13500;177.82
13560;135.41
13620;223.24
13680;149.25
13740;160.26
13800;228.77
13860;219.15
13920;208.87
13980;225.89
14040;214.9
14100;167.04
14160;113.36
14220;244.31
14280;175.32
14340;243.92
14400;157.3
