#TimeStamp;TripTime;Type
22;14;O
25;20;O
26;17;O
31;25;O
31;20;O
43;33;O
49;37;O
58;45;O
64;56;O
102;14;I
135;7;O
156;7;O
164;7;I
201;11;O
204;9;O
222;24;O
246;20;O
266;8;O
296;10;O
317;17;I
354;24;O
357;26;O
376;30;O
376;26;I
390;47;O
422;24;I
458;14;O
462;20;O
474;14;I
478;16;O
504;22;O
549;24;I
569;21;O
582;29;I
582;22;O
598;8;O
608;10;O
618;14;O
637;28;O
658;52;O
669;32;O
681;34;O
715;18;O
760;25;I
763;20;O
773;14;O
782;20;I
786;18;O
833;26;O
840;16;O
910;23;O
928;17;O
958;17;O
969;26;I
989;21;O
1023;15;O
1030;25;O
1043;12;O
1061;24;O
1074;17;O
1120;18;I
1143;20;O
1163;57;O
1165;14;I
1165;30;O
1167;11;I
1196;21;I
1199;18;O
1212;27;O
1225;20;I
1248;16;O
1258;36;I
1275;24;O
1313;21;I
1314;21;O
1317;15;I
1323;26;O
1331;32;O
1362;33;O
1372;14;I
1377;14;I
1384;14;O
1396;16;I
1424;15;O
1450;14;I
1459;14;O
1474;20;I
1490;21;O
1502;33;O
1512;14;I
1530;32;O
1538;7;I
1540;25;I
1541;25;O
1548;15;O
1549;14;I
1570;33;O
1584;20;O
1604;27;I
1649;28;I
1650;27;O
1656;16;O
1662;15;I
1662;15;O
1682;17;O
1728;8;O
1758;18;O
1769;24;I
1774;9;O
1797;17;O
1807;15;I
1813;22;O
1815;13;I
1840;18;O
1854;12;O
1868;21;O
1882;12;I
1894;18;I
1906;20;O
1928;14;O
1932;24;I
1933;8;O
1944;25;I
1951;21;O
1952;14;I
2011;8;O
2012;24;I
2016;12;I
2037;20;I
2037;13;O
2053;25;I
2054;13;O
2060;18;O
2070;5;I
2081;9;O
2098;11;O
2106;11;O
2116;16;I
2122;32;O
2141;12;O
2149;13;O
2178;18;I
2181;9;O
2191;10;I
2197;7;O
2218;24;O
2244;13;I
2245;9;I
2282;26;I
2284;16;O
2295;34;I
2296;20;O
2316;22;O
2326;21;O
2346;21;O
2361;15;O
2370;22;O
2381;17;O
2401;12;O
2404;20;I
2438;13;O
2452;17;I
2469;21;I
2476;26;O
2490;28;O
2514;27;O
2525;13;O
2526;28;O
2529;22;I
2540;44;I
2543;32;O
2556;22;I
2564;21;O
2564;17;O
2578;33;O
2584;11;I
2592;29;O
2603;18;I
2608;12;I
2653;22;O
2663;12;I
2680;19;O
2697;24;O
2711;16;O
2714;21;I
2719;14;I
2732;27;I
2739;9;O
2749;24;I
2759;11;I
2781;26;O
2787;21;O
2795;18;I
2798;31;O
2804;17;O
2815;14;I
2819;20;O
2845;12;O
2876;9;O
2895;15;I
2906;24;O
2934;16;I
2939;13;O
2963;20;O
2963;28;I
2984;21;O
2986;24;I
2999;12;O
3018;10;I
3020;11;O
3040;3;I
3042;32;O
3084;12;I
3099;37;O
3112;19;O
3130;53;O
3135;12;O
3147;12;I
3169;25;I
3179;19;I
3183;23;O
3201;38;O
3201;46;O
3203;8;I
3221;14;I
3225;49;O
3244;30;O
3249;20;O
3261;14;O
3271;26;I
3296;21;I
3306;21;I
3318;11;O
3329;20;I
3330;20;O
3348;17;O
3356;19;I
3370;24;I
3377;15;O
3396;22;O
3400;30;I
3405;26;O
3416;17;O
3425;26;O
3452;15;I
3453;24;I
3465;19;O
3469;15;I
3472;7;O
3506;21;O
3520;26;I
3522;21;O
3530;15;I
3540;38;O
3568;23;O
3572;22;I
3586;35;O
3601;15;O
3604;20;O
3610;21;I
3620;14;O
3628;20;I
3650;26;I
3664;18;O
3691;20;O
3696;15;I
3710;14;O
3721;32;O
3753;11;O
3754;16;O
3784;25;I
3795;25;O
3812;25;O
3814;26;I
3821;40;O
3840;39;O
3841;30;I
3849;12;I
3860;17;O
3884;19;O
3903;16;I
3914;14;O
3917;11;I
3918;20;O
3936;15;O
3983;21;O
3998;18;I
4016;14;I
4017;15;O
4035;17;O
4051;24;I
4057;23;O
4070;22;I
4073;20;I
4081;16;O
4087;21;I
4109;13;O
4124;29;I
4131;20;I
4141;23;O
4151;22;O
4161;22;I
4173;10;O
4176;33;I
4183;23;O
4194;21;O
4237;15;O
4245;22;O
4270;26;I
4273;12;O
4290;12;I
4298;19;I
4307;14;O
4327;11;O
4344;18;O
4395;24;I
4402;20;I
4406;19;O
4410;16;O
4417;17;I
4423;12;O
4431;36;O
4447;30;O
4448;13;I
4452;17;O
4477;26;O
4480;18;I
4490;12;I
4494;25;O
4512;16;O
4529;16;O
4540;11;I
4544;11;I
4574;21;O
4590;10;I
4596;11;O
4601;24;I
4618;23;O
4630;18;I
4636;28;O
4659;44;O
4663;12;I
4669;36;O
4682;13;O
4688;50;O
4742;22;O
4760;28;O
4764;8;I
4766;33;O
4775;18;O
4779;52;O
4794;15;O
4820;22;I
4832;13;I
4833;20;O
4849;16;O
4853;12;O
4856;26;I
4880;13;O
4884;22;I
4912;21;O
4918;15;I
4929;7;I
4938;24;O
4948;32;O
4967;15;O
4990;19;I
4996;9;O
5001;13;I
5021;32;O
5030;20;I
5043;13;O
5073;28;O
5085;22;O
5111;14;O
5139;26;O
5158;28;O
5163;21;O
5179;9;O
5183;22;I
5199;22;O
5216;22;O
5269;21;O
5288;21;O
5347;24;O
5351;27;O
5364;14;I
5398;22;I
5398;25;I
5411;20;O
5415;36;I
5423;30;I
5428;35;O
5439;17;O
5449;25;I
5463;23;I
5466;17;O
5473;24;O
5491;17;O
5503;14;I
5512;8;O
5533;14;O
5543;14;I
5551;10;O
5560;14;I
5564;16;O
5591;14;O
5615;27;O
5630;24;I
5637;11;O
5643;43;I
5675;26;I
5688;23;I
5689;22;O
5706;13;I
5707;33;O
5740;18;I
5761;16;I
5764;24;O
5775;23;I
5779;11;O
5779;13;I
5793;22;O
5813;22;I
5826;25;O
5834;20;O
5838;20;I
5855;10;O
5857;25;O
5893;11;O
5908;26;I
5913;23;I
5938;26;O
5940;27;I
5963;24;O
5990;20;O
5998;26;O
6002;11;I
6011;32;O
6019;13;O
6027;20;I
6048;12;O
6068;24;O
6073;28;I
6085;12;I
6087;25;O
6089;29;O
6102;21;I
6116;26;I
6142;15;O
6143;16;I
6150;17;O
6174;18;O
6191;11;I
6191;27;O
6226;14;O
6227;22;I
6238;26;O
6252;11;I
6263;10;O
6269;24;I
6299;24;I
6310;15;O
6310;15;O
6354;15;I
6370;16;O
6371;23;O
6384;25;O
6414;18;O
6435;11;O
6444;11;I
6490;25;O
6510;24;O
6513;11;I
6538;8;O
6584;16;I
6592;15;I
6595;10;O
6601;11;O
6616;28;O
6645;14;I
6650;12;O
6660;27;I
6662;15;I
6675;25;O
6698;16;I
6701;14;O
6704;20;O
6722;11;O
6745;14;O
6747;15;I
6751;27;O
6777;28;O
6792;23;O
6818;16;I
6852;18;I
6853;21;O
6855;19;O
6861;23;O
6870;31;O
6887;9;O
6903;9;O
6911;9;O
6912;14;I
6921;11;O
6940;15;I
6952;15;I
6995;27;O
7006;36;O
7009;23;I
7013;10;O
7015;14;O
7015;29;I
7040;35;O
7049;16;I
7067;25;O
7072;24;O
7090;20;O
7113;20;O
7116;18;I
7130;13;I
7153;16;O
7154;10;O
7204;14;O
7204;14;O
7207;23;I
7246;22;I
7257;11;O
7274;7;O
7278;23;I
7316;24;O
7319;24;I
7322;28;O
7369;31;I
7376;20;O
7388;20;O
7420;26;I
7437;15;O
7441;18;O
7449;26;I
7450;23;O
7461;20;O
7490;17;O
7526;21;I
7530;20;I
7551;14;I
7570;11;I
7599;12;O
7612;18;O
7613;8;O
7630;28;I
7631;11;O
7647;7;O
7660;14;I
7662;28;I
7666;24;O
7693;23;O
7708;16;I
7709;18;O
7734;20;O
7734;22;O
7740;24;I
7741;11;O
7763;51;I
7768;6;O
7792;24;O
7807;22;I
7824;24;O
7866;26;O
7879;22;O
7886;13;I
7899;28;O
7909;35;O
7921;17;O
7925;32;O
7925;7;I
7940;32;O
7948;33;O
7955;19;I
7956;21;O
7973;21;O
7998;30;O
8004;12;I
8009;13;I
8032;21;O
8037;24;O
8062;20;O
8078;11;O
8105;14;I
8121;28;O
8142;12;O
8150;11;I
8175;27;O
8196;7;O
8213;17;O
8233;21;I
8279;6;O
8289;16;I
8297;23;O
8308;16;O
8326;13;I
8333;10;O
8337;25;O
8346;16;I
8385;21;I
8392;24;O
8397;13;I
8399;19;O
8418;15;I
8423;15;O
8431;27;O
8471;16;I
8492;20;O
8503;22;O
8508;8;O
8512;8;O
8523;20;I
8567;27;I
8569;34;O
8595;25;I
8614;18;O
8626;24;O
8636;11;O
8655;15;I
8666;14;O
8669;18;I
8684;8;O
8711;17;I
8715;16;I
8718;10;O
8728;15;I
8740;19;O
8761;7;O
8794;20;O
8810;24;O
8815;9;O
8817;12;I
8846;14;I
8848;12;O
8860;22;O
8863;10;O
8899;16;O
8902;18;O
8929;30;O
8979;15;I
8980;24;O
9012;16;O
9033;17;O
9052;17;O
9070;19;O
9077;22;O
9086;30;I
9120;21;I
9132;18;O
9143;20;O
9158;13;O
9159;7;I
9182;18;I
9212;20;O
9214;12;I
9225;24;O
9266;12;I
9270;21;O
9272;24;I
9288;25;O
9294;14;I
9296;14;O
9303;21;O
9315;22;O
9370;17;I
9375;20;O
9381;14;I
9384;18;O
9398;28;O
9402;21;I
9413;32;O
9414;19;I
9432;35;O
9444;22;O
9449;11;I
9465;29;O
9467;19;O
9483;20;I
9485;31;I
9494;27;O
9509;21;O
9521;17;I
9522;26;O
9525;11;O
9535;13;I
9550;10;I
9561;17;O
9600;10;O
9631;13;O
9633;26;I
9658;22;O
9668;30;I
9670;12;O
9713;26;I
9724;18;O
9737;20;I
9750;16;O
9778;26;I
9781;20;O
9787;19;O
9797;14;I
9839;19;I
9845;28;O
9847;12;I
9852;17;O
9860;20;O
9892;12;O
9897;11;I
9914;27;O
9916;17;O
9945;13;I
9968;20;I
10000;32;O
10007;33;O
10013;46;O
10021;26;I
10021;14;I
10022;17;O
10030;68;O
10030;12;I
10036;20;I
10051;10;O
10078;20;O
10080;7;O
10091;22;I
10093;7;O
10151;18;O
10158;14;I
10162;27;O
10174;29;O
10197;19;O
10213;20;I
10232;16;I
10242;26;I
10244;7;O
10260;15;O
10275;24;O
10305;14;O
10311;15;I
10320;9;O
10381;24;I
10384;11;O
10394;40;I
10407;15;I
10410;13;O
10410;20;O
10415;34;I
10415;22;I
10428;16;O
10455;24;O
10472;17;I
10472;18;O
10491;8;O
10514;17;I
10518;23;O
10529;26;O
10545;22;I
10562;7;O
10585;15;I
10589;25;O
10623;23;O
10630;21;O
10636;16;I
10636;20;O
10652;21;O
10664;10;O
10675;12;I
10691;20;O
10691;35;I
10693;32;O
10711;24;I
10711;12;O
10725;24;O
10764;24;O
10768;22;O
10775;24;O
10782;8;O
10787;11;O
10809;28;I
10812;9;I
10840;19;I
10855;20;I
10876;25;O
10881;27;O
10891;10;O
10926;17;I
10937;19;I
10939;27;O
10968;37;O
10974;56;O
10981;20;I
11004;22;O
11008;8;I
11009;25;O
11042;28;I
11075;28;I
11088;24;O
11094;16;I
11094;26;I
11113;20;I
11121;9;O
11135;27;O
11138;27;O
11151;18;I
11182;21;I
11194;25;I
11211;19;O
11226;26;I
11227;20;O
11239;21;O
11256;15;O
11256;21;I
11260;14;I
11279;13;I
11306;15;I
11313;14;O
11336;35;O
11343;21;O
11354;14;I
11375;23;I
11377;14;O
11378;20;O
11397;25;I
11401;16;O
11431;13;I
11432;12;O
11442;11;O
11444;13;I
11468;21;O
11469;17;I
11509;12;I
11543;23;O
11548;19;I
11560;47;O
11570;15;O
11583;10;I
11589;32;O
11604;12;I
11619;33;O
11621;22;I
11648;16;O
11654;24;O
11696;13;I
11698;23;O
11716;15;I
11725;30;O
11726;14;O
11746;21;O
11760;19;I
11781;22;O
11805;13;I
11825;25;I
11835;23;O
11840;28;O
11848;18;O
11875;10;O
11878;19;I
11889;19;I
11901;25;O
11918;22;O
11927;16;O
11961;15;I
11977;27;O
11983;18;O
12007;23;O
12034;14;I
12043;24;O
12054;24;I
12064;21;O
12069;28;I
12087;25;O
12088;12;I
12103;16;O
12105;22;O
12128;12;O
12152;20;O
12169;16;O
12189;15;I
12196;17;O
12204;28;I
12241;10;O
12244;16;I
12252;24;I
12256;7;O
12260;8;I
12261;25;O
12268;23;I
12274;26;O
12318;24;I
12319;19;O
12323;32;O
12324;12;I
12340;33;O
12359;27;O
12389;24;O
12390;25;I
12395;31;O
12413;24;O
12420;14;O
12442;24;I
12451;21;O
12460;29;O
12472;13;O
12513;7;O
12517;24;I
12561;9;O
12562;16;O
12579;8;O
12590;19;O
12599;16;O
12609;9;O
12612;13;O
12614;9;I
12646;14;O
12692;17;O
12730;29;I
12731;10;O
12737;9;I
12752;11;O
12776;24;O
12780;23;O
12792;7;O
12817;24;O
12818;14;I
12818;21;O
12826;11;I
12839;26;I
12845;14;O
12882;22;I
12882;26;O
12890;18;O
12894;32;O
12894;15;I
12897;21;I
12909;13;O
12928;25;O
12957;12;O
12957;22;I
12986;33;O
13002;11;I
13014;34;O
13019;20;I
13024;19;O
13036;22;I
13037;13;O
13043;25;O
13054;16;O
13070;18;O
13083;15;I
13101;14;O
13119;25;O
13137;22;O
13156;27;I
13167;21;O
13186;24;O
13189;8;O
13210;21;O
13226;20;I
13228;26;I
13232;26;O
13246;22;O
13280;8;O
13291;17;O
13318;27;I
13332;22;O
13364;20;O
13371;13;O
13376;11;O
13398;17;O
13436;23;O
13442;19;O
13489;25;O
13509;28;O
13515;33;O
13518;52;O
13522;11;O
13551;16;O
13579;22;O
13597;25;I
13602;16;O
13626;16;O
13649;30;O
13657;16;O
13682;17;O
13693;28;O
13719;30;O
13724;15;I
13756;22;O
13772;23;O
13791;29;I
13799;28;O
13820;27;O
13822;13;O
13853;32;O
13875;19;O
13888;15;O
13905;29;O
13910;28;O
13914;7;I
13935;18;O
13954;22;O
13963;26;O
13980;15;O
13998;30;O
14021;32;O
14037;11;I
14043;10;I
14045;33;O
14052;21;O
14072;8;O
14074;22;O
14100;24;I
14127;28;O
14185;24;I
14187;10;I
14201;22;O
14203;26;O
14210;21;O
14220;16;O
14264;15;O
14267;22;O
14280;40;O
14287;15;O
14307;13;I
14321;19;I
14329;25;O
14334;14;O
14337;18;O
14354;13;O
14386;13;I
14390;21;O
