#TimeStamp;Bot;Pod;OutputStation
27.82;1;59;0
37.91;1;59;0
38.62;5;21;1
48;1;59;0
48.71;5;21;1
58.09;1;59;0
58.8;5;21;1
68.13;1;59;0
68.84;5;21;1
78.18;1;59;0
78.89;5;21;1
88.22;1;59;0
88.93;5;21;1
98.22;1;59;0
98.98;5;21;1
108.22;1;59;0
108.98;5;21;1
118.27;1;59;0
119.02;5;21;1
128.27;1;59;0
129.02;5;21;1
138.27;1;59;0
139.07;5;21;1
148.31;1;59;0
149.11;5;21;1
158.31;1;59;0
159.16;5;21;1
168.36;1;59;0
169.2;7;28;1
178.36;1;59;0
179.24;7;28;1
188.4;1;59;0
189.29;7;28;1
198.4;1;59;0
199.29;7;28;1
208.44;12;46;0
209.33;7;28;1
218.49;12;46;0
219.38;7;28;1
228.49;12;46;0
229.38;7;28;1
238.53;12;46;0
239.42;7;28;1
248.53;12;46;0
249.42;7;28;1
258.58;12;46;0
259.51;7;28;1
268.67;12;46;0
269.56;7;28;1
278.71;12;46;0
279.64;7;28;1
288.8;12;46;0
289.69;7;28;1
298.84;12;46;0
299.78;7;28;1
308.93;12;46;0
309.87;7;28;1
319.02;12;46;0
319.96;7;28;1
329.11;1;69;0
330.04;5;34;1
339.2;1;69;0
340.13;5;34;1
349.29;1;69;0
350.22;5;34;1
359.33;1;69;0
360.27;5;34;1
369.42;1;69;0
370.36;5;34;1
379.51;1;69;0
380.4;5;34;1
389.6;1;69;0
390.49;5;34;1
399.69;1;69;0
400.53;5;34;1
409.78;1;69;0
410.62;5;34;1
419.82;1;69;0
420.67;5;34;1
429.91;1;69;0
430.76;7;26;1
439.96;1;69;0
440.84;7;26;1
450;12;73;0
450.89;7;26;1
460.09;12;73;0
460.98;7;26;1
470.18;12;73;0
471.02;7;26;1
480.22;12;73;0
481.07;7;26;1
490.27;12;73;0
491.16;4;12;1
500.36;12;73;0
501.24;4;12;1
510.4;12;73;0
511.33;4;12;1
520.44;12;73;0
521.33;4;12;1
530.44;12;73;0
531.38;4;12;1
540.49;12;73;0
541.38;4;12;1
550.53;12;73;0
551.38;4;12;1
560.58;12;73;0
561.42;5;6;1
570.62;3;94;0
571.47;5;6;1
580.67;7;42;0
581.47;5;6;1
590.71;7;42;0
591.47;5;6;1
600.71;7;42;0
601.51;5;6;1
610.76;7;42;0
611.51;5;6;1
620.8;7;42;0
621.56;5;6;1
630.84;7;42;0
631.6;5;6;1
640.84;7;42;0
641.64;5;6;1
650.89;7;42;0
651.64;5;6;1
660.93;13;43;0
661.69;5;6;1
670.98;13;43;0
671.69;5;6;1
680.98;13;43;0
681.73;4;3;1
691.02;13;43;0
691.78;4;3;1
701.02;13;43;0
701.78;4;3;1
711.07;13;43;0
711.78;4;3;1
721.07;13;43;0
721.82;4;3;1
731.11;13;43;0
731.82;4;3;1
741.11;13;43;0
741.87;4;3;1
751.11;13;43;0
751.87;4;3;1
761.16;13;43;0
761.87;4;3;1
771.16;13;43;0
771.91;4;3;1
781.2;3;7;0
781.91;4;3;1
791.24;3;7;0
791.91;4;3;1
801.24;3;7;0
801.91;4;3;1
811.24;3;7;0
811.91;12;28;1
821.29;3;7;0
821.96;12;28;1
831.29;3;7;0
831.96;12;28;1
841.33;3;7;0
842;12;28;1
851.38;1;86;0
852.04;12;28;1
861.38;1;86;0
862.04;12;28;1
871.42;1;86;0
872.04;12;28;1
881.42;1;86;0
882.09;7;92;1
891.42;1;86;0
892.13;7;92;1
901.47;1;86;0
902.13;7;92;1
911.47;1;86;0
912.18;7;92;1
921.51;1;86;0
922.18;7;92;1
931.51;1;86;0
932.22;7;92;1
941.56;5;46;0
942.22;7;92;1
951.6;4;73;0
952.27;7;92;1
961.64;4;73;0
962.27;7;92;1
971.64;4;73;0
972.31;7;92;1
981.69;4;73;0
982.31;7;92;1
991.69;4;73;0
992.31;7;92;1
1001.73;4;73;0
1002.36;7;92;1
1011.73;4;73;0
1012.36;7;92;1
1021.78;4;73;0
1022.4;7;92;1
1031.82;4;73;0
1032.44;7;92;1
1041.82;4;73;0
1042.44;7;92;1
1051.82;4;73;0
1052.44;12;84;1
1061.87;4;73;0
1062.49;12;84;1
1071.91;4;73;0
1072.49;12;84;1
1081.91;1;31;0
1082.53;12;84;1
1091.96;1;31;0
1092.53;12;84;1
1101.96;1;31;0
1102.58;5;42;1
1111.96;1;31;0
1112.62;5;42;1
1121.96;1;31;0
1122.62;5;42;1
1131.96;1;31;0
1132.67;5;42;1
1141.96;14;54;0
1142.67;13;6;1
1152;11;9;0
1152.71;13;6;1
1162.04;11;9;0
1162.71;13;6;1
1172.04;11;9;0
1172.76;13;6;1
1182.04;11;9;0
1182.76;13;6;1
1192.04;11;9;0
1192.8;13;6;1
1202.09;11;9;0
1202.8;13;6;1
1212.09;11;9;0
1212.84;13;6;1
1222.09;11;9;0
1222.84;13;6;1
1232.09;11;9;0
1232.89;13;6;1
1242.13;3;99;0
1242.93;13;6;1
1252.18;3;99;0
1252.93;13;6;1
1262.18;3;99;0
1262.98;13;6;1
1272.18;3;99;0
1272.98;13;6;1
1282.18;3;99;0
1283.02;13;6;1
1292.18;3;99;0
1293.07;12;92;1
1302.22;3;99;0
1303.11;12;92;1
1312.22;3;99;0
1313.11;12;92;1
1322.27;3;99;0
1323.11;12;92;1
