#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;1;100;0;0;0;0;0;0
60;3;93;0;59.96;0;60;0;0.5
119.96;1;97;47.33;111.66;83.69;119.96;0.19;0.5
179.96;2;100;10.62;147.35;10.7;170.36;0;0.4
239.96;4;100;0;136.5;0;199.64;0;0.36
299.96;4;102;9.73;121.9;33.99;259.64;0.4;0.34
360;5;103;21.42;82.9;21.49;323.52;0.44;0.42
420;7;104;33.07;97.64;33.13;361.44;0.68;0.51
480;7;106;44.71;118.26;44.78;364.8;0.44;0.47
540;10;107;0;94.44;0;360.48;0;0.41
600;10;108;43.82;76.59;43.88;404.16;0.23;0.39
659.96;13;111;0;97.28;0;414.2;0;0.39
719.96;15;113;0;106.35;0;470.36;0;0.42
779.96;15;113;44.6;95.41;102.94;375.8;0.32;0.44
839.96;14;114;42;101.16;42.05;505.88;0.07;0.53
899.96;15;116;0;94.4;0;514.04;0;0.46
959.96;16;116;0;84.28;0;614.36;0;0.41
1019.96;15;116;36.01;85.01;167.64;623.48;0.27;0.32
1079.96;17;116;0;77.39;0;676.76;0;0.31
1139.96;17;115;25.82;85.61;39.81;793.4;0.29;0.35
1199.96;17;117;27.2;66.27;27.27;627.8;0.11;0.47
1259.96;20;118;0;81.99;0;765.56;0;0.47
1319.96;18;120;28.73;111.91;322.57;752.6;0.7;0.46
1379.96;17;119;36.12;73.39;477.27;506.36;0.36;0.52
1439.96;17;122;17.96;79.11;702.49;494.36;0.56;0.55
1499.96;18;124;12.89;97.38;12.94;501.56;0.41;0.48
1559.96;17;126;41.63;109.81;68.91;632.6;0.4;0.48
1619.96;17;127;52.83;99.71;489.58;427.64;0.51;0.36
1679.96;17;125;86.76;62.89;410.55;848.6;0.7;0.4
1739.96;15;130;113.59;108.69;371.42;1028.6;0.45;0.35
1799.96;16;128;87.97;75.21;397.57;838.04;0.47;0.57
1859.96;17;130;152.13;76.78;1352.19;1206.2;0.55;0.53
1919.96;14;133;23.6;115.08;475.25;993.56;0.53;0.57
1979.96;15;134;41.31;94.96;57.72;928.76;0.43;0.55
2039.96;17;136;72.89;100.71;105.63;840.92;0.32;0.46
2099.96;16;136;21.36;83.89;1302.05;736.76;0.35;0.49
2159.96;19;138;0;102.05;0;1048.28;0;0.5
2219.96;18;141;8.58;126.88;543.54;930.68;0.31;0.51
2279.96;20;140;31.24;96.4;31.3;595.16;0.1;0.45
2340;21;141;14.89;71.77;18.81;415.2;0.27;0.43
2400;23;143;52.64;97.39;54.63;504.96;0.2;0.4
2460;22;144;25.9;96.19;42.09;909.6;0.13;0.45
2520;22;145;7.69;99.19;17.46;915.84;0.45;0.43
2580;22;148;42.4;112.26;174.18;595.68;0.59;0.43
2640;20;150;31.56;99.34;431.64;788.16;0.48;0.37
2700;20;149;28.13;67.13;28.21;1008.48;0.51;0.26
2760;20;150;38.73;71.77;680.6;908.16;0.21;0.35
2820;22;152;0;92.37;0;1024.8;0;0.35
2880;24;155;0;95.36;0;840.96;0;0.48
2940;22;155;16.49;66.5;364.93;1085.28;0.35;0.46
3000;24;152;62.18;61.05;62.24;460.8;0.5;0.47
3060;23;152;53.67;72.4;53.73;478.56;0.87;0.61
3120;22;153;63.71;87.1;387.76;377.28;0.26;0.55
3180;22;157;26.2;102.65;48.81;571.68;0.32;0.56
3240;20;156;27.69;80.49;773.73;445.44;0.56;0.45
3300;20;156;52.29;82.62;652.39;783.84;0.33;0.4
3360;18;154;30.59;65.45;645.9;1027.2;0.36;0.44
3420;20;154;59.02;62.55;59.1;1084.32;0.73;0.43
3480;20;155;22.31;85.63;22.39;1468.8;0;0.54
3540;22;156;58.13;63.43;58.21;1440.48;0.1;0.57
3600;21;156;0;79.79;0;1160.64;0;0.55
