#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
98.98;1;98.98;98.93;-Infinity
139.02;1;139.02;138.98;-Infinity
152.71;0;152.71;152.67;-Infinity
189.07;1;189.07;189.02;-Infinity
202.76;0;202.76;202.71;-Infinity
209.11;1;209.11;209.07;-Infinity
219.16;1;219.16;219.11;-Infinity
239.2;1;239.2;30.04;-Infinity
242.8;0;242.8;242.76;-Infinity
252.84;0;252.84;100.09;-Infinity
259.29;1;259.29;259.24;-Infinity
293.07;0;293.07;293.02;-Infinity
303.16;0;303.16;303.11;-Infinity
309.56;1;309.56;210.53;-Infinity
313.24;0;313.24;313.2;-Infinity
329.69;1;214.49;190.62;-Infinity
359.87;1;359.87;170.76;-Infinity
363.51;0;225.27;160.71;-Infinity
373.6;0;373.6;130.76;-Infinity
393.73;0;393.73;140.84;-Infinity
403.82;0;403.82;110.71;-Infinity
440.27;1;440.27;180.93;-Infinity
444.04;0;444.04;50.27;-Infinity
460.4;1;379.76;241.2;-Infinity
480.53;1;330.77;241.29;-Infinity
484.27;0;484.27;181.07;-Infinity
500.67;1;431.55;191.07;-Infinity
514.44;0;514.44;201.16;-Infinity
554.49;0;554.49;190.93;-Infinity
564.53;0;564.53;190.89;-Infinity
574.58;0;171.38;170.71;-Infinity
590.8;1;590.8;230.89;-Infinity
594.62;0;260.54;150.53;-Infinity
614.67;0;614.67;130.36;-Infinity
644.71;0;402.79;130.22;-Infinity
650.84;1;650.84;210.53;-Infinity
660.89;1;234.65;200.44;-Infinity
700.93;1;700.93;220.36;-Infinity
710.98;1;457.54;190.18;-Infinity
724.76;0;367.64;170.22;-Infinity
744.8;0;744.8;180.22;-Infinity
754.84;0;754.84;180.22;-Infinity
761.02;1;761.02;50;-Infinity
784.89;0;784.89;190.22;-Infinity
791.11;1;215.11;200.27;-Infinity
824.93;0;122.21;100.13;-Infinity
854.98;0;647.62;240.27;-Infinity
861.2;1;699.92;200.27;-Infinity
875.02;0;875.02;120.13;-Infinity
885.07;0;251.47;240.31;-Infinity
901.24;1;417.4;40;-Infinity
911.29;1;346.81;210.31;-Infinity
915.11;0;316.07;30;-Infinity
931.33;1;343.81;170.27;-Infinity
951.38;1;202.58;180.27;-Infinity
955.16;0;287;210.31;-Infinity
971.42;1;971.42;180.27;-Infinity
981.47;1;981.47;170.27;-Infinity
985.2;0;547.44;200.27;-Infinity
1001.51;1;390.95;30.04;-Infinity
1005.24;0;982.2;130.18;-Infinity
1045.29;0;1045.29;220.31;-Infinity
1051.56;1;222.12;150.27;-Infinity
1065.33;0;120.69;60.04;-Infinity
1075.38;0;556.98;220.36;-Infinity
1091.64;1;1091.64;160.27;-Infinity
1095.42;0;1095.42;180.27;-Infinity
1105.47;0;80.19;60.13;-Infinity
1115.51;0;839.03;20.04;-Infinity
1125.56;0;1114.04;20.04;-Infinity
1131.69;1;198.57;180.27;-Infinity
1145.6;0;419.84;190.4;-Infinity
1151.73;1;1025.01;150.18;-Infinity
1165.64;0;1165.64;180.4;-Infinity
1171.78;1;1171.78;190.27;-Infinity
1185.69;0;1185.69;120.31;-Infinity
1195.73;0;1195.73;120.31;-Infinity
