#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;47.89;0.1;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
60;142.02;7.86;PP/0.08,TA/0.02,IS/0,PS/0,RB/0.01,OB/7.52,RP/0
119.96;145.44;8.2;PP/0.08,TA/0.03,IS/0,PS/0.01,RB/0.01,OB/7.79,RP/0
179.96;147.32;8.79;PP/0.08,TA/0.04,IS/0,PS/0.02,RB/0.01,OB/8.34,RP/0
239.96;169.53;9.91;PP/0.09,TA/0.04,IS/0,PS/0.02,RB/0.01,OB/9.41,RP/0
299.96;184.81;10.62;PP/0.09,TA/0.05,IS/0,PS/0.02,RB/0.01,OB/10.08,RP/0
360;214.53;12.05;PP/0.1,TA/0.05,IS/0,PS/0.03,RB/0.01,OB/11.47,RP/0
420;241.54;13.7;PP/0.11,TA/0.05,IS/0,PS/0.03,RB/0.01,OB/13.06,RP/0
480;253.41;14.24;PP/0.11,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/13.56,RP/0
540;277.86;15.55;PP/0.11,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/14.84,RP/0
600;303.98;16.67;PP/0.12,TA/0.06,IS/0,PS/0.03,RB/0.01,OB/15.92,RP/0
659.96;326.04;17.49;PP/0.12,TA/0.06,IS/0,PS/0.04,RB/0.01,OB/16.7,RP/0
719.96;342.96;18.62;PP/0.13,TA/0.06,IS/0,PS/0.04,RB/0.01,OB/17.8,RP/0
779.96;371.43;19.73;PP/0.13,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/18.88,RP/0
839.96;385.06;20.36;PP/0.13,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/19.46,RP/0
899.96;402.52;21.03;PP/0.14,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/20.1,RP/0
959.96;446.65;23.42;PP/0.14,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/22.46,RP/0
1019.96;454.14;24.21;PP/0.15,TA/0.07,IS/0,PS/0.04,RB/0.01,OB/23.21,RP/0
1079.96;481.71;25.34;PP/0.15,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/24.3,RP/0
1139.96;493.01;26.29;PP/0.17,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/25.21,RP/0
1199.96;530.03;28.2;PP/0.17,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/27.08,RP/0
1259.96;560.09;29.37;PP/0.17,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/28.2,RP/0
1319.96;566.34;30.18;PP/0.18,TA/0.08,IS/0,PS/0.04,RB/0.01,OB/28.97,RP/0
1379.96;600.58;31.59;PP/0.18,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/30.34,RP/0
1439.96;621.02;32.81;PP/0.22,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/31.49,RP/0
1499.96;652.26;35.62;PP/0.45,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/34.04,RP/0
1559.96;677.36;36.95;PP/0.57,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/35.22,RP/0
1619.96;700.67;38.06;PP/0.58,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/36.3,RP/0
1679.96;736.93;40.68;PP/0.58,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/38.87,RP/0
1739.96;744.4;41.14;PP/0.59,TA/0.09,IS/0,PS/0.05,RB/0.01,OB/39.29,RP/0
1799.96;758.73;42.54;PP/0.61,TA/0.1,IS/0,PS/0.05,RB/0.01,OB/40.63,RP/0
1859.96;792.84;43.67;PP/0.62,TA/0.1,IS/0,PS/0.05,RB/0.01,OB/41.73,RP/0
1919.96;802.48;44.38;PP/0.63,TA/0.1,IS/0,PS/0.05,RB/0.01,OB/42.39,RP/0
1979.96;810.64;45.15;PP/0.64,TA/0.1,IS/0,PS/0.05,RB/0.01,OB/43.11,RP/0
2039.96;831.91;45.87;PP/0.64,TA/0.1,IS/0,PS/0.05,RB/0.01,OB/43.79,RP/0
2099.96;846.92;47.01;PP/0.65,TA/0.1,IS/0,PS/0.06,RB/0.01,OB/44.9,RP/0
2159.96;873.52;47.92;PP/0.65,TA/0.1,IS/0,PS/0.06,RB/0.01,OB/45.78,RP/0
2219.96;878.39;48.44;PP/0.66,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/46.23,RP/0
2279.96;902.09;49.72;PP/0.67,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/47.47,RP/0
2340;935.33;51.11;PP/0.67,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/48.83,RP/0
2400;946.75;52.02;PP/0.68,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/49.7,RP/0
2460;960.94;52.7;PP/0.68,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/50.35,RP/0
2520;966.96;53.35;PP/0.69,TA/0.11,IS/0,PS/0.06,RB/0.01,OB/50.95,RP/0
2580;999.28;54.62;PP/0.69,TA/0.11,IS/0.01,PS/0.06,RB/0.01,OB/52.19,RP/0
2640;1021.14;56.11;PP/0.71,TA/0.12,IS/0.01,PS/0.06,RB/0.01,OB/53.62,RP/0
2700;1053.73;57.86;PP/0.72,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/55.31,RP/0
2760;1073.85;58.95;PP/0.73,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/56.36,RP/0
2820;1098.44;59.91;PP/0.73,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/57.29,RP/0
2880;1109.91;60.96;PP/0.76,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/58.29,RP/0
2940;1149.77;63.69;PP/0.77,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/60.98,RP/0
3000;1188.31;65.63;PP/0.78,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/62.86,RP/0
3060;1215.86;66.84;PP/0.79,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/64.04,RP/0
3120;1235.25;68.08;PP/0.81,TA/0.13,IS/0.01,PS/0.06,RB/0.01,OB/65.22,RP/0
3180;1248.85;68.94;PP/0.82,TA/0.13,IS/0.01,PS/0.07,RB/0.01,OB/66.04,RP/0
3240;1278.42;70.41;PP/0.83,TA/0.13,IS/0.01,PS/0.07,RB/0.01,OB/67.47,RP/0
3300;1312.32;72.01;PP/0.84,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/69.03,RP/0
3360;1336.38;73.53;PP/0.85,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/70.51,RP/0
3420;1378.18;75.57;PP/0.86,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/72.51,RP/0
3480;1393.55;76.75;PP/0.88,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/73.63,RP/0
3540;1432.6;78.72;PP/0.88,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/75.56,RP/0
3600;1455.19;79.96;PP/0.89,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/76.75,RP/0
3660;1469.55;80.88;PP/0.9,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/77.63,RP/0
3720;1507.94;83;PP/0.91,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/79.72,RP/0
3780;1528.09;84.36;PP/0.91,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/81.05,RP/0
3840;1569.55;86.2;PP/0.92,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/82.85,RP/0
3900;1617.94;88.54;PP/0.92,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/85.15,RP/0
3960;1646.29;90.52;PP/0.94,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/87.08,RP/0
4020;1669.95;91.48;PP/0.95,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/88,RP/0
4080;1688.74;92.39;PP/0.95,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/88.87,RP/0
4140;1717.41;93.7;PP/0.96,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/90.13,RP/0
4200;1752.11;95.09;PP/0.97,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/91.48,RP/0
4260;1760.86;95.65;PP/0.98,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/92,RP/0
4320;1779.87;96.64;PP/0.98,TA/0.14,IS/0.01,PS/0.07,RB/0.01,OB/92.96,RP/0
4380;1799.57;97.6;PP/0.99,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/93.87,RP/0
4440;1825.32;98.85;PP/0.99,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/95.07,RP/0
4500;1830.3;99.43;PP/1,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/95.61,RP/0
4560;1856.22;100.56;PP/1.01,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/96.71,RP/0
4620;1881.18;101.47;PP/1.01,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/97.58,RP/0
4680;1889.88;102.55;PP/1.02,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/98.62,RP/0
4740;1913.88;103.31;PP/1.02,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/99.35,RP/0
4800;1921.71;103.84;PP/1.03,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/99.84,RP/0
4860;1936.43;104.54;PP/1.04,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/100.47,RP/0
4920;1944.71;105.43;PP/1.04,TA/0.15,IS/0.01,PS/0.07,RB/0.01,OB/101.32,RP/0
4980;1980.68;106.84;PP/1.05,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/102.69,RP/0
5040;1993.79;107.63;PP/1.05,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/103.45,RP/0
5100;2012.58;108.75;PP/1.06,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/104.52,RP/0
5160;2044.78;109.91;PP/1.06,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/105.64,RP/0
5220;2052.68;110.82;PP/1.06,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/106.52,RP/0
5280;2080.5;111.7;PP/1.09,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/107.35,RP/0
5340;2114.41;113.25;PP/1.11,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/108.84,RP/0
5400;2123.69;113.99;PP/1.12,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/109.53,RP/0
5459.96;2131.64;114.52;PP/1.12,TA/0.15,IS/0.02,PS/0.07,RB/0.01,OB/110.03,RP/0
5519.96;2156.26;115.68;PP/1.13,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/111.15,RP/0
5579.96;2178.42;116.42;PP/1.14,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/111.85,RP/0
5639.96;2191.03;117.27;PP/1.15,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/112.65,RP/0
5699.96;2210.86;117.98;PP/1.15,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/113.33,RP/0
5759.96;2224.74;119.04;PP/1.16,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/114.34,RP/0
5819.96;2241.65;119.73;PP/1.17,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/114.97,RP/0
5879.96;2256.3;120.71;PP/1.19,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/115.91,RP/0
5939.96;2280.64;121.79;PP/1.19,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/116.95,RP/0
5999.96;2300.23;122.85;PP/1.19,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/117.97,RP/0
6059.96;2319.18;123.84;PP/1.2,TA/0.16,IS/0.02,PS/0.08,RB/0.01,OB/118.93,RP/0
6119.96;2357.66;125.66;PP/1.21,TA/0.17,IS/0.02,PS/0.08,RB/0.01,OB/120.7,RP/0
6179.96;2387.74;126.89;PP/1.22,TA/0.17,IS/0.03,PS/0.08,RB/0.01,OB/121.89,RP/0
6239.96;2406;127.88;PP/1.22,TA/0.17,IS/0.03,PS/0.08,RB/0.01,OB/122.84,RP/0
6299.96;2444.69;129.35;PP/1.22,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/124.26,RP/0
6359.96;2464.93;130.63;PP/1.23,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/125.51,RP/0
6419.96;2500.38;132.32;PP/1.23,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/127.18,RP/0
6479.96;2516.87;133.42;PP/1.24,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/128.23,RP/0
6539.96;2546.38;134.58;PP/1.25,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/129.35,RP/0
6599.96;2579.07;136.04;PP/1.26,TA/0.17,IS/0.03,PS/0.09,RB/0.01,OB/130.78,RP/0
6659.96;2591.98;136.79;PP/1.26,TA/0.18,IS/0.03,PS/0.09,RB/0.01,OB/131.49,RP/0
6719.96;2633.97;138.52;PP/1.27,TA/0.18,IS/0.03,PS/0.09,RB/0.01,OB/133.18,RP/0
6779.96;2648.66;139.4;PP/1.27,TA/0.18,IS/0.03,PS/0.09,RB/0.01,OB/134.02,RP/0
6839.96;2674.4;141.51;PP/1.29,TA/0.18,IS/0.03,PS/0.09,RB/0.01,OB/136.07,RP/0
6899.96;2702.59;143.27;PP/1.3,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/137.79,RP/0
6959.96;2719.93;144.17;PP/1.31,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/138.64,RP/0
7019.96;2741.8;144.88;PP/1.31,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/139.33,RP/0
7079.96;2747.9;145.59;PP/1.31,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/140,RP/0
7139.96;2768.32;146.46;PP/1.33,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/140.81,RP/0
7199.96;2788.39;147.42;PP/1.34,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/141.74,RP/0
7259.96;2798.02;147.89;PP/1.34,TA/0.18,IS/0.04,PS/0.09,RB/0.01,OB/142.18,RP/0
7319.96;2829.22;149.16;PP/1.35,TA/0.19,IS/0.04,PS/0.09,RB/0.01,OB/143.4,RP/0
7379.96;2846.85;150.27;PP/1.36,TA/0.19,IS/0.04,PS/0.09,RB/0.01,OB/144.47,RP/0
7439.96;2860.75;150.93;PP/1.38,TA/0.19,IS/0.04,PS/0.09,RB/0.01,OB/145.07,RP/0
7499.96;2880.71;151.95;PP/1.4,TA/0.19,IS/0.04,PS/0.09,RB/0.01,OB/146.04,RP/0
7559.96;2908.77;153.12;PP/1.4,TA/0.2,IS/0.04,PS/0.09,RB/0.01,OB/147.18,RP/0
7619.96;2932.94;154.33;PP/1.41,TA/0.2,IS/0.04,PS/0.09,RB/0.01,OB/148.35,RP/0
7679.96;2977.08;156.04;PP/1.42,TA/0.2,IS/0.05,PS/0.09,RB/0.01,OB/150.02,RP/0
7739.96;2983.64;156.86;PP/1.43,TA/0.2,IS/0.05,PS/0.09,RB/0.01,OB/150.78,RP/0
7799.96;3018.62;157.94;PP/1.44,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/151.82,RP/0
7859.96;3024.88;159.29;PP/1.55,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/153.02,RP/0
7919.96;3042.1;160.15;PP/1.56,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/153.83,RP/0
7979.96;3059.32;160.84;PP/1.56,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/154.49,RP/0
8039.96;3071.52;161.55;PP/1.56,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/155.16,RP/0
8099.96;3087.63;162.16;PP/1.56,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/155.74,RP/0
8159.96;3114.04;163.18;PP/1.57,TA/0.2,IS/0.05,PS/0.1,RB/0.01,OB/156.73,RP/0
