decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,94,27,58,12,10,41,-1223.41,6.7401993,0,15,0,41,0
1,99.0222222222275,1,88,1,89,5,1,10,22.5,0,0.01,15,2,9,1,0,4,-42.54,0.1035143,0,15,4,0,55
2,139.066666666678,1,91,1,91,4,3,10,22.3076923076923,0.0149253731343284,0.01,30,2,25,1,0,2,-54.4976119402985,0.1304932,0,15,2,0,42
3,152.755555555569,1,91,1,90,3,3,10,22.1428571428571,0.0422535211267606,0.01,33,3,20,1,1,4,-70.6355734406439,0.1025451,0,15,3,1,35
4,189.11111111113,1,93,1,92,3,4,10,22.6666666666667,0.0506329113924051,0.01,27,2,20,1,1,4,-66.1708016877637,0.1877876,0,15,2,2,28
5,192.80000000002,1,92,1,91,3,3,10,22.5,0.075,0.01,24,2,16,1,0,2,-84.3325,0.1175501,0,15,2,0,29
6,209.155555555578,1,93,1,92,4,3,10,22.3529411764706,0.1,0.01,49,2,37,1,3,4,-120.863529934518,0.2208354,0,15,2,2,35
7,232.844444444471,1,94,1,92,3,3,10,22.2222222222222,0.105882352941176,0.01,52,3,38,1,3,5,-117.21339869281,0.1351223,0,15,2,3,27
8,239.200000000027,1,93,1,90,4,1,10,22.6315789473684,0.105263157894737,0.01,35,2,29,1,1,2,-127.092022160665,0.1801891,0,15,2,0,36
9,249.244444444473,1,93,1,90,4,1,10,22.5,0.126315789473684,0.01,34,1,29,1,1,3,-136.793157894737,0.3410715,0,15,3,0,36
10,269.377777777801,1,94,1,91,4,2,10,21.9047619047619,0.135416666666667,0.01,39,2,33,1,2,3,-158.959563965531,0.2645508,0,15,0,3,35
11,272.977777777799,1,93,1,89,4,0,10,21.8181818181818,0.15625,0.01,37,2,28,1,0,2,-188.571136363636,0.0085206,0,15,2,0,47
12,283.066666666683,1,93,1,89,4,0,12.3909099537036,26.9367607689209,0.175257731958763,0.0123909099537036,36,2,28,1,0,2,-253.041498023816,0.008516,0,12.1479509350035,2,0,46
13,293.155555555567,1,93,1,89,4,1,12.2780583748812,26.6024598122425,0.193877551020408,0.0122780583748812,43,2,34,1,1,2,-292.982620192107,0.2330683,0,12.0463968961098,2,0,45
14,299.555555555564,1,93,1,89,5,1,12.1074942129629,26.1521875,0.212121212121212,0.0121074942129629,42,2,36,1,1,3,-313.293932260977,0.1105339,0,12.1074942129629,1,2,43
15,329.733333333327,1,94,1,87,5,0,12.7325309240444,27.4239127594801,0.217821782178218,0.0127325309240444,37,1,33,1,0,3,-331.19067171706,0.0110016,0,11.8836955291081,3,0,52
16,349.866666666651,1,94,1,89,5,2,13.0442451808534,27.5378509373571,0.217821782178218,0.0130442451808534,49,2,42,1,2,4,-385.152687215416,0.23216,0,11.6175308641975,0,4,49
17,353.466666666649,1,93,1,88,3,1,12.6905367231638,26.7407738095237,0.221153846153846,0.0126905367231638,38,2,31,1,1,4,-304.623554934964,0.1730982,0,11.5191025641025,2,2,36
18,363.555555555533,1,93,1,88,4,0,12.5081607208547,26.3102691024875,0.212962962962963,0.0125081607208547,36,1,30,1,0,2,-294.56584310448,0.01,0,11.3880269249573,2,0,48
19,373.644444444417,1,93,1,88,3,0,12.592240673367,26.9213421292674,0.222222222222222,0.012592240673367,28,1,23,1,0,2,-246.707661733935,0.013001,0,11.314766981866,2,0,38
20,380.044444444414,1,92,1,89,5,1,12.7658680555554,26.8083229166664,0.231481481481481,0.0127658680555554,43,1,38,1,1,2,-378.320650081014,0.2281326,0,11.4892812499999,2,0,49
21,400.177777777738,1,92,1,91,5,2,13.5920918933256,28.9964627057612,0.236363636363636,0.0135920918933256,49,1,42,1,2,2,-430.826283575708,0.1655234,0,11.7553227185519,0,2,47
22,413.86666666662,1,91,1,91,2,2,13.8948803418802,30.1055740740738,0.245454545454545,0.0138948803418802,38,1,29,1,2,3,-333.140315980053,0.2346882,0,11.7294444444443,0,3,27
23,423.955555555504,1,91,1,91,3,2,13.915972280677,29.627553887893,0.25,0.013915972280677,45,1,35,1,2,2,-399.48126124767,0.2551398,0,11.6260021585403,2,0,41
24,434.044444444388,1,91,1,91,3,2,14.0030472636816,29.3188802083333,0.256637168141593,0.0140030472636816,44,2,32,1,2,2,-405.542227506823,0.2456508,0,11.5827674897119,1,1,40
25,450.44444444438,1,93,1,89,4,1,14.2945773505992,29.8886617330711,0.254385964912281,0.0142945773505992,39,2,31,1,1,2,-397.148661772873,0.1691853,0,11.7419742522779,2,0,40
26,470.577777777704,1,93,1,90,4,3,14.9128192025934,31.1414753936509,0.256410256410256,0.0149128192025934,54,2,43,1,3,2,-517.204263813703,0.2390382,0,12.0319336748197,0,2,38
27,474.266666666591,1,92,1,88,3,1,14.7066167237442,30.6738005952379,0.258333333333333,0.0147066167237442,36,1,27,1,1,2,-364.407850760964,0.2032237,0,12.062730571161,2,0,32
28,490.711111111027,1,93,1,88,5,1,15.0896584084083,31.0176311728392,0.264462809917355,0.0150896584084083,48,2,40,1,1,2,-538.714572603005,0.1710398,0,12.137333937198,2,0,54
29,494.399999999915,1,91,1,88,3,1,14.8703583394248,30.544519832332,0.278688524590164,0.0148703583394248,35,1,26,1,1,2,-379.157537723331,0.2001587,0,12.1521207935084,2,0,30
30,510.844444444351,1,93,1,89,5,2,15.560147055876,31.5297716658541,0.286885245901639,0.015560147055876,56,2,45,1,2,2,-647.734680342381,0.1825608,0,12.4805346177339,1,1,56
31,514.533333333241,1,91,1,89,2,1,15.4446936957285,31.285405178527,0.296,0.0154446936957285,28,1,20,1,1,2,-324.144099001945,0.1561274,0,12.5786680614696,0,2,19
32,530.88888888881,1,93,1,89,6,1,16.0251772280093,32.0503544560185,0.301587301587302,0.0160251772280093,57,3,43,1,1,4,-717.142601005153,0.1385208,0,12.8201417824074,3,1,64
33,544.57777777771,1,92,1,87,3,0,15.9897899933067,33.1788142361113,0.308270676691729,0.0159897899933067,25,1,19,1,0,1,-351.589994468012,0.0080005,0,12.8849764023733,1,0,29
34,564.62222222217,1,93,1,89,3,1,16.7923082929162,34.4037535757307,0.315789473684211,0.0167923082929162,34,1,25,1,1,2,-469.967412638002,0.2010566,0,13.1827466972426,1,1,28
35,580.933333333294,1,94,1,88,5,0,17.0635160221496,34.5333062353028,0.32089552238806,0.0170635160221496,40,2,27,1,0,3,-564.905719508721,0.0069719,0,13.1854441989338,3,0,54
36,594.666666666639,1,93,1,90,3,1,17.1917516974526,34.7833115739157,0.333333333333333,0.0171917516974526,33,2,26,1,1,5,-517.761804383616,0.1861486,0,13.236127413083,2,3,31
37,600.977777777755,1,94,1,90,5,1,16.9291243150923,34.2430014555276,0.345588235294118,0.0169291243150923,46,3,35,1,1,5,-702.042053601311,0.2606471,0,13.2165970530107,3,2,50
38,604.711111111091,1,92,1,89,4,0,16.4251477791197,33.5803021262003,0.355072463768116,0.0164251477791197,31,1,25,1,0,2,-511.164405532164,0.0120005,0,13.1401182232958,2,0,37
39,624.755555555551,1,93,1,89,3,0,16.6250936711802,33.6116024221686,0.36231884057971,0.0166250936711802,25,1,21,1,0,2,-438.398314596523,0.0099999,0,12.9927202640316,2,0,30
40,644.800000000012,1,93,1,90,3,1,17.0188918439719,34.0377836879437,0.366906474820144,0.0170188918439719,32,1,27,1,1,2,-537.371067096416,0.2210208,0,13.0063075880761,0,2,28
41,654.844444444464,1,94,1,90,4,1,17.1939307179988,34.7536897491465,0.366906474820144,0.0171939307179988,39,2,33,1,1,2,-684.636147215434,0.1006376,0,13.0673873456791,1,1,39
42,661.022222222247,1,94,1,89,4,0,16.9801880886471,34.3141300958077,0.37410071942446,0.0169801880886471,32,2,23,1,0,3,-541.30716085099,0.00655,0,13.0720495603077,3,0,42
43,671.066666666699,1,94,1,90,4,1,16.8271822779398,33.9977764391028,0.377622377622378,0.0168271822779398,39,3,31,1,1,3,-682.434980901304,0.0815149,0,13.014773793094,2,1,39
44,701.111111111168,1,95,1,89,4,0,17.1865695352216,35.060601851852,0.391608391608392,0.0171865695352216,29,1,27,1,0,3,-597.730740379064,0.0070129,0,13.0823141238254,3,0,41
45,704.888888888948,1,95,1,90,4,1,17.1123394237685,34.5602149146698,0.395833333333333,0.0171123394237685,42,1,36,1,1,2,-784.22876504585,0.1175861,0,13.0560811899864,2,0,43
46,714.933333333401,1,95,1,90,3,1,17.2753685897437,35.2282026143793,0.394557823129252,0.0172753685897437,27,1,26,1,1,2,-556.246622786088,0.1701053,0,13.1141484184916,2,0,25
47,721.155555555628,1,91,1,91,3,2,17.2807249779542,34.8937715900998,0.398648648648649,0.0172807249779542,40,2,34,1,2,3,-728.328406197277,0.1655581,0,13.1483777006173,3,0,30
48,741.200000000088,1,95,1,92,3,4,17.4018691588785,35.1320754716981,0.395973154362416,0.0174018691588785,53,2,45,1,4,3,-945.512128280111,0.1741815,0,13.112676056338,0,3,28
49,744.977777777869,1,94,1,90,3,2,17.1230227446484,34.5631385030865,0.398692810457516,0.0171230227446484,37,1,32,1,2,2,-669.668465179397,0.1385702,0,13.0518145396271,2,0,23
50,765.02222222233,1,95,1,89,3,2,17.4014726781707,34.8029453563414,0.405228758169935,0.0174014726781707,35,2,32,1,2,3,-676.557925682518,0.1971531,0,13.0215101673386,1,2,21
51,785.06666666679,1,96,1,88,5,0,17.6722073757166,35.3444147514332,0.405228758169935,0.0176722073757166,33,1,31,1,0,2,-711.890338248355,0.0090081,0,13.1078624243726,2,0,42
52,801.244444444581,1,96,1,87,4,0,18.1129741273355,35.9081767787529,0.411764705882353,0.0181129741273355,31,1,27,1,0,2,-662.234596882195,0.0060015,0,13.2906888077202,2,0,38
53,805.11111111125,1,95,1,87,4,0,18.0826205256462,35.541702412477,0.418300653594771,0.0180826205256462,29,1,27,1,0,2,-651.996754821787,0.0069724,0,13.299475741443,2,0,37
54,821.288888889041,1,96,1,90,4,2,18.2360144927537,35.5447740112996,0.42483660130719,0.0182360144927537,44,1,37,1,2,2,-880.578251995049,0.1870714,0,13.2730485232068,0,2,37
55,825.155555555711,1,95,1,88,4,1,18.1655106561304,35.1199872685187,0.414012738853503,0.0181655106561304,40,1,34,1,1,2,-798.455218782031,0.1055759,0,13.2528253843467,2,0,38
56,841.333333333502,1,96,1,88,5,1,18.2478196884563,34.9999164516293,0.420382165605096,0.0182478196884563,42,1,35,1,1,2,-846.051190979583,0.2229349,0,13.1789808861073,2,0,44
57,855.200000000179,1,96,1,88,3,1,18.2937442783533,34.8171262071885,0.426751592356688,0.0182937442783533,32,1,26,1,1,1,-638.599185014409,0.1332792,0,13.0827989384587,1,0,26
58,865.244444444632,1,97,1,90,3,2,18.2358740209047,35.0011130401235,0.43312101910828,0.0182358740209047,38,1,32,1,2,2,-777.463301644589,0.121062,0,12.9944252005249,0,2,25
59,881.377777777978,1,97,1,89,5,1,18.2022569444445,34.6709656084657,0.436708860759494,0.0182022569444445,42,2,34,1,1,2,-866.732250195693,0.1486028,0,12.8486519607843,1,1,43
60,885.288888889092,1,96,1,88,4,0,17.9282858037341,34.1757948133681,0.43125,0.0179282858037341,26,1,24,1,0,2,-584.410433315312,0.0079712,0,12.7909407488629,2,0,32
61,901.422222222438,1,96,1,88,5,0,18.0254233162703,34.1096471984808,0.4375,0.0180254233162703,37,1,31,1,0,2,-783.760658072702,0.0090014,0,12.7421095856394,2,0,47
62,905.333333333552,1,95,1,88,3,0,18.0234486384907,33.8622368359523,0.440993788819876,0.0180234486384907,21,1,20,1,0,2,-494.613996709338,0.0069702,0,12.7709007495591,2,0,23
63,911.466666666891,1,95,1,89,5,2,17.9998627777778,33.5818335406302,0.447204968944099,0.0179998627777778,51,1,42,1,2,3,-1013.85357548401,0.2498595,0,12.7839934501263,0,3,45
64,935.377777778021,1,96,1,88,3,2,18.639878686557,34.538598742738,0.444444444444444,0.018639878686557,40,2,34,1,2,2,-846.228590806345,0.079481,0,12.9758271519679,1,1,22
65,951.511111111367,1,96,1,88,4,2,18.7677915219909,34.8156132581859,0.444444444444444,0.0187677915219909,44,1,37,1,2,2,-929.344101581132,0.1591127,0,13.0558549718197,2,0,36
66,955.422222222481,1,95,1,88,3,2,18.7292571358504,34.51534529321,0.444444444444444,0.0187292571358504,42,1,35,1,2,2,-856.135964294001,0.233008,0,13.0598603812146,0,2,27
67,965.466666666934,1,95,1,88,4,2,18.7698519215685,34.3673345042803,0.441717791411043,0.0187698519215685,49,2,39,1,2,4,-988.523259511537,0.1920398,0,13.0485601593791,0,4,35
68,971.555555555827,1,95,1,86,3,0,18.7675255740275,34.4071302190504,0.431137724550898,0.0187675255740275,17,1,13,1,0,2,-360.684945158832,0.0065183,0,13.1771988072959,2,0,23
69,985.511111111394,1,95,1,88,6,1,19.1717843509237,34.9294153242857,0.437125748502994,0.0191717843509237,54,1,44,1,1,2,-1124.85252741551,0.0905746,0,13.349985961638,2,0,58
70,991.600000000288,1,95,1,88,3,1,19.24443707389,34.8480347013684,0.44311377245509,0.01924443707389,27,1,22,1,1,2,-575.119840027196,0.0975447,0,13.4310133744857,2,0,21
71,1005.55555555585,1,95,1,88,6,1,19.4686792695474,35.0436226851853,0.449101796407186,0.0194686792695474,55,1,43,1,1,2,-1158.6983201516,0.1350988,0,13.4783164173789,2,0,59
72,1011.64444444475,1,94,1,88,3,1,19.4197256547295,34.7510880137265,0.449704142011834,0.0194197256547295,26,1,21,1,1,2,-556.092094095212,0.133695,0,13.4749116787919,2,0,19
73,1031.68888888921,1,95,1,90,3,2,19.5873261072813,34.8501776194485,0.455621301775148,0.0195873261072813,36,2,26,1,2,2,-730.455789493923,0.1575154,0,13.4173183834877,1,1,19
74,1035.60000000032,1,94,1,89,4,1,19.4122233046897,34.593577427588,0.450292397660819,0.0194122233046897,42,2,31,1,1,4,-853.459483668037,0.1276267,0,13.4243733301088,1,3,44
75,1045.64444444478,1,94,1,89,4,1,19.3619149021026,34.5573417872971,0.461988304093567,0.0193619149021026,36,1,28,1,1,2,-775.089587166095,0.181157,0,13.4484236512141,2,0,37
76,1051.73333333367,1,94,1,90,4,2,19.3038577258303,34.2643474633488,0.465116279069767,0.0193038577258303,41,2,32,1,2,5,-864.175662515822,0.2260332,0,13.4369990052348,3,2,25
77,1065.68888888924,1,94,1,89,4,1,19.3011737504287,34.3131977785399,0.47093023255814,0.0193011737504287,40,1,30,1,1,2,-863.758261431088,0.0946115,0,13.4269034785591,2,0,34
78,1071.77777777813,1,94,1,89,4,2,19.2381268624948,34.0186389641676,0.473988439306358,0.0192381268624948,45,2,33,1,2,3,-941.636676197676,0.1395195,0,13.4111942070276,3,0,28
79,1085.7333333337,1,94,1,89,3,2,19.2675175579491,34.1243985664882,0.473988439306358,0.0192675175579491,42,2,29,1,2,2,-848.88916350785,0.1045861,0,13.4233416162015,1,1,26
80,1091.82222222259,1,93,1,88,4,2,19.0979483594333,33.8761226851853,0.485549132947977,0.0190979483594333,42,1,32,1,2,2,-896.10913180903,0.1761544,0,13.422614648847,2,0,25
81,1135.77777777818,1,96,1,91,3,4,19.9713847087446,35.2436200742551,0.491329479768786,0.0199713847087446,55,2,39,1,4,3,-1173.32711840158,0.4465811,0,13.5552384900981,2,1,18
82,1151.86666666708,1,96,1,91,3,3,19.819922661834,35.0305609837066,0.480225988700565,0.019819922661834,49,2,38,1,3,3,-1069.51351199505,0.2118939,0,13.4492332348159,0,3,21
83,1155.82222222264,1,96,1,90,4,2,19.6073863636364,34.707327586207,0.480446927374302,0.0196073863636364,46,1,33,1,2,2,-972.868737351144,0.1235519,0,13.4201666666667,2,0,25
84,1171.91111111154,1,96,1,90,3,2,19.6533602150538,34.6167140151516,0.486033519553073,0.0196533602150538,45,2,36,1,2,3,-1034.5975606748,0.1304827,0,13.3608369883041,2,1,22
85,1181.95555555599,1,95,1,89,4,2,19.5598496353307,34.504453851089,0.497206703910615,0.0195598496353307,50,1,41,1,2,2,-1179.87638390946,0.1766119,0,13.3517234467257,2,0,35
