#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
38.89;1;38.89;38.84;-Infinity
50.8;0;50.8;50.76;-Infinity
55.42;1;55.42;55.38;-Infinity
60.89;0;60.89;60.84;-Infinity
65.47;1;65.47;65.42;-Infinity
70.93;0;70.93;70.89;-Infinity
75.51;1;75.51;75.47;-Infinity
90.98;0;90.98;40.13;-Infinity
111.02;0;111.02;40.04;-Infinity
115.56;1;115.56;60.09;-Infinity
135.6;1;135.6;70.09;-Infinity
141.16;0;141.16;141.11;-Infinity
151.2;0;151.2;151.16;-Infinity
155.64;1;155.64;80.09;-Infinity
161.24;0;161.24;100.31;-Infinity
185.73;1;185.73;185.69;-Infinity
195.78;1;195.78;195.73;-Infinity
211.29;0;153.69;80.13;-Infinity
215.82;1;215.82;176.89;-Infinity
231.33;0;231.33;90.13;-Infinity
245.87;1;245.87;130.27;-Infinity
265.96;1;265.96;110.27;-Infinity
281.6;0;281.6;70.27;-Infinity
291.69;0;245.61;60.31;-Infinity
316.27;1;316.27;130.49;-Infinity
321.96;0;321.96;321.91;-Infinity
332.04;0;332.04;210.93;-Infinity
336.4;1;336.4;140.58;-Infinity
372.31;0;372.31;80.58;-Infinity
392.44;0;392.44;90.62;-Infinity
415.6;1;415.6;59.02;-Infinity
425.69;1;425.69;69.11;-Infinity
435.78;1;251.46;79.2;-Infinity
455.91;1;455.91;-Infinity;-Infinity
472.93;0;150.37;140.84;-Infinity
476.04;1;234.12;60.4;-Infinity
483.02;0;448.46;130.8;-Infinity
486.13;1;117.49;60.4;-Infinity
496.22;1;496.22;139.64;-Infinity
503.2;0;307.36;110.71;-Infinity
506.31;1;195.27;149.73;-Infinity
523.29;0;523.29;100.62;-Infinity
526.36;1;526.36;90.53;-Infinity
543.33;0;543.33;100.53;-Infinity
546.4;1;546.4;90.44;-Infinity
556.44;1;556.44;-Infinity;-Infinity
586.49;1;379.13;100.31;-Infinity
613.6;0;613.6;70.22;-Infinity
626.53;1;626.53;130.27;-Infinity
636.58;1;463.78;50.04;-Infinity
643.64;0;643.64;80.22;-Infinity
646.62;1;646.62;-Infinity;-Infinity
663.69;0;663.69;90.22;-Infinity
673.73;0;673.73;90.22;-Infinity
676.67;1;676.67;150.27;-Infinity
683.78;0;683.78;90.22;-Infinity
706.71;1;706.71;160.27;-Infinity
726.76;1;726.76;-Infinity;-Infinity
736.8;1;287.52;110.22;-Infinity
746.84;1;654.68;110.22;-Infinity
764;0;26.72;20.04;-Infinity
776.93;1;373.73;130.27;-Infinity
784.04;0;150.44;140.36;-Infinity
847.07;1;847.07;-Infinity;-Infinity
854.13;0;854.13;-Infinity;-Infinity
857.11;1;327.19;120.27;-Infinity
864.18;0;725.94;-Infinity;-Infinity
914.27;0;130.91;70.13;-Infinity
917.2;1;214.48;150.27;-Infinity
937.29;1;269.13;160.31;-Infinity
944.4;0;944.4;190.4;-Infinity
964.44;0;964.44;-Infinity;-Infinity
974.49;0;202.65;120.31;-Infinity
994.53;0;49.89;30.04;-Infinity
997.38;1;156.42;150.27;-Infinity
1027.47;1;1027.47;110.22;-Infinity
1044.62;0;215.18;120.27;-Infinity
1047.51;1;1047.51;-Infinity;-Infinity
1064.67;0;914.91;-Infinity;-Infinity
1067.56;1;457;130.22;-Infinity
1077.6;1;1077.6;100.22;-Infinity
1084.71;0;750.63;140.27;-Infinity
1087.64;1;972.44;-Infinity;-Infinity
1094.76;0;680.04;120.22;-Infinity
1117.73;1;691.49;-Infinity;-Infinity
1137.78;1;43.38;30.04;-Infinity
1147.82;1;191.66;100.27;-Infinity
1154.84;0;1154.84;150.22;-Infinity
1164.89;0;899.93;120.22;-Infinity
1187.91;1;1061.19;110.27;-Infinity
1195.02;0;1195.02;-Infinity;-Infinity
1197.96;1;149.64;110.27;-Infinity
1215.07;0;74.59;60.18;-Infinity
1235.11;0;1235.11;110.27;-Infinity
1265.16;0;297.48;100.22;-Infinity
1278.09;1;1278.09;160.31;-Infinity
1305.2;0;1305.2;130.22;-Infinity
1308.13;1;225.25;170.31;-Infinity
1328.18;1;1328.18;180.31;-Infinity
1348.22;1;438.14;180.31;-Infinity
1355.24;0;329.96;170.22;-Infinity
1368.31;1;654.07;110.22;-Infinity
1375.29;0;568.89;180.22;-Infinity
1385.33;0;371.57;170.22;-Infinity
1398.4;1;534.4;90.22;-Infinity
1405.38;0;115.14;100.13;-Infinity
1415.42;0;493.82;180.27;-Infinity
1425.47;0;204.35;160.27;-Infinity
1428.44;1;299.48;100.22;-Infinity
1455.51;0;268.95;100.22;-Infinity
1458.49;1;1205.05;-Infinity;-Infinity
1475.56;0;577;100.22;-Infinity
1478.53;1;891.01;120.22;-Infinity
1488.58;1;1477.06;120.22;-Infinity
1495.6;0;297.52;110.22;-Infinity
1498.62;1;1222.14;110.22;-Infinity
1505.64;0;1044.84;100.22;-Infinity
1508.67;1;1508.67;110.22;-Infinity
1515.69;0;663.21;100.22;-Infinity
1525.73;0;1168.61;-Infinity;-Infinity
1535.78;0;1063.46;80.22;-Infinity
1538.71;1;974.23;110.22;-Infinity
1545.82;0;1545.82;70.22;-Infinity
1548.76;1;1548.76;90.22;-Infinity
1555.87;0;1555.87;-Infinity;-Infinity
1565.91;0;1565.91;60.22;-Infinity
1568.8;1;1568.8;-Infinity;-Infinity
1588.84;1;1588.84;100.22;-Infinity
1608.89;1;952.25;110.22;-Infinity
1635.96;0;115.32;100.13;-Infinity
1648.93;1;715.81;140.22;-Infinity
1666;0;237.52;150.27;-Infinity
1668.98;1;263.54;130.22;-Infinity
1676.04;0;800.52;150.27;-Infinity
1679.02;1;308.14;130.22;-Infinity
1689.07;1;122.35;120.22;-Infinity
1696.09;0;1212.25;130.13;-Infinity
1699.11;1;63.27;50.13;-Infinity
1716.13;0;137.89;80.13;-Infinity
1729.16;1;1729.16;140.27;-Infinity
1749.2;1;401.36;140.27;-Infinity
1756.18;0;1030.42;210.31;-Infinity
1776.22;0;1776.22;220.31;-Infinity
1779.24;1;1088.04;50.04;-Infinity
1799.29;1;1280.89;-Infinity;-Infinity
1806.27;0;158.91;130.18;-Infinity
1829.33;1;562.13;140.22;-Infinity
1846.31;0;1028.39;180.27;-Infinity
1849.38;1;1054.5;100.13;-Infinity
1859.42;1;1859.42;-Infinity;-Infinity
1866.36;0;195.96;170.22;-Infinity
1869.47;1;1650.59;-Infinity;-Infinity
1876.4;0;401.84;160.22;-Infinity
1879.51;1;1879.51;-Infinity;-Infinity
1889.56;1;1889.56;-Infinity;-Infinity
1896.44;0;594.68;90.13;-Infinity
1899.6;1;137.04;40.13;-Infinity
1909.64;1;1909.64;-Infinity;-Infinity
1919.69;1;479.69;250.67;-Infinity
1939.73;1;488.21;240.58;-Infinity
1949.78;1;440.66;70.22;-Infinity
1976.49;0;478.89;220.27;-Infinity
1979.82;1;90.54;90.22;-Infinity
2006.53;0;2006.53;230.27;-Infinity
2009.87;1;132.11;110.22;-Infinity
2029.91;1;486.23;120.22;-Infinity
2046.58;0;2046.58;200.22;-Infinity
2050.04;1;771.32;110.27;-Infinity
2060.13;1;113.25;110.31;-Infinity
2070.22;1;2070.22;-Infinity;-Infinity
2080.31;1;98.87;70.4;-Infinity
2116.93;0;423.49;70.31;-Infinity
2127.02;0;272.3;260.62;-Infinity
2157.2;0;1995.92;280.76;-Infinity
2160.8;1;628.64;90.53;-Infinity
2170.89;1;258.57;40.22;-Infinity
2180.98;1;464.5;20.13;-Infinity
2191.07;1;175.07;20.13;-Infinity
2197.42;0;838.06;300.93;-Infinity
2211.2;1;529.28;161.11;-Infinity
2217.56;0;1042.52;210.98;-Infinity
2227.64;0;38.84;30.18;-Infinity
2241.38;1;421.22;181.2;-Infinity
2257.82;0;1612.7;281.29;-Infinity
2261.51;1;2180.87;-Infinity;-Infinity
2277.96;0;169.8;160.98;-Infinity
2281.64;1;1521.32;171.11;-Infinity
2301.78;1;2301.78;90.53;-Infinity
2328.22;0;496.54;170.98;-Infinity
2342;1;1800.56;80.44;-Infinity
2352.09;1;554.97;171.07;-Infinity
2372.22;1;275.58;181.11;-Infinity
2378.49;0;1307.13;100.49;-Infinity
2398.62;0;1822.62;-Infinity;-Infinity
2428.8;0;67.2;30.13;-Infinity
2442.62;1;703.1;160.93;-Infinity
2448.93;0;444.45;321.87;-Infinity
2452.71;1;2222.31;150.89;-Infinity
2479.16;0;1592.12;50.31;-Infinity
