#TimeStamp;DistanceTraveled
60;279.02
119.96;39.98
179.96;72.6
239.96;42.4
299.96;5.74
360;61.2
420;136.52
480;67.6
540;99.94
600;54.55
659.96;93.5
719.96;90.95
779.96;95.84
839.96;117.22
899.96;83.88
959.96;137.06
1019.96;59
1079.96;131.82
1139.96;112.82
1199.96;112.87
1259.96;133.84
1319.96;152.78
1379.96;184.82
1439.96;145.5
1499.96;94.47
1559.96;119.2
1619.96;117.54
1679.96;120.38
1739.96;152.61
1799.96;134.62
1859.96;108.08
1919.96;161.19
1979.96;157
2039.96;145.19
2099.96;68.13
2159.96;137.4
2219.96;148
2279.96;179.86
2340;76.95
2400;159.73
2460;142.81
2520;125.25
2580;200.03
2640;210.49
2700;191.93
2760;224.64
2820;123.49
2880;136.4
2940;103.93
3000;115.23
3060;118.39
3120;167.97
3180;167.04
3240;82.85
3300;62.57
3360;168.56
3420;100.17
3480;84.6
3540;196.57
3600;233.82
3660;135.88
3720;138.37
3780;93.29
3840;150
3900;113.9
3960;213.75
4020;140.37
4080;80.15
4140;215.4
4200;165.33
4260;171.83
4320;160.26
4380;154.92
4440;41
4500;134.69
4560;170.32
4620;48.98
4680;151.9
4740;139.18
4800;61.96
4860;191.76
4920;123.21
4980;96.6
5040;150.57
5100;105.89
5160;239.73
5220;139.34
5280;141.95
5340;132.02
5400;138.99
5459.96;111.05
5519.96;133.33
5579.96;192.65
5639.96;165.1
5699.96;111.15
5759.96;190
5819.96;180
5879.96;46.5
5939.96;68.28
5999.96;88.16
6059.96;145.11
6119.96;125.79
6179.96;62.55
6239.96;115.36
6299.96;133.97
6359.96;137.42
6419.96;113.82
6479.96;171.73
6539.96;161.75
6599.96;115.88
6659.96;188.27
6719.96;147.53
6779.96;205.25
6839.96;94.1
6899.96;183.13
6959.96;117.89
7019.96;177.17
7079.96;122.66
7139.96;119.42
7199.96;106.92
7259.96;70.56
7319.96;119.01
7379.96;225.63
7439.96;171.75
7499.96;76.05
7559.96;143.18
7619.96;197.79
7679.96;113.77
7739.96;159.26
7799.96;87.13
7859.96;127.22
7919.96;99.98
7979.96;176.35
8039.96;117.04
8099.96;150.78
8159.96;31.51
8219.96;130.95
8279.96;180.62
8339.96;215.71
8399.96;220.06
8459.96;232.74
8519.96;174.91
8579.96;144.62
8639.96;134.34
8699.96;156.8
8759.96;187.28
8819.96;90.03
8879.96;114.38
8939.96;102.67
8999.96;167.89
9059.96;54.97
9119.96;199.59
9179.96;160.7
9239.96;146.86
9299.96;128.4
9360;114.01
9420;68.95
9480;153.52
9540;153.18
9600;198.92
9660;125.89
9720;124.02
9780;110.07
9840;80.15
9900;190.1
9960;187.27
10020;156.08
10080;155.36
10140;171.18
10200;71.12
10260;51.37
10320;83.69
10380;106.85
10440;146.77
10500;151.76
10560;111.58
10620;75.65
10680;171.99
10740;127.35
10800;157.78
10860;127.9
10920;89.98
10980;117.97
11040;169.56
11100;187.02
11160;148.27
11220;125.33
11280;146.56
11340;176.02
11400;159.54
11460;151.93
11520;83.81
11580;159.64
11640;168.48
11700;114.79
11760;178
11820;112.92
11880;84.36
11940;160.31
12000;118.99
12060;191.63
12120;85.88
12180;63.01
12240;192.79
12300;185.21
12360;158.63
12420;101.26
12480;143.93
12540;174.44
12600;46.27
12660;161.52
12720;162.57
12780;97.37
12840;163.54
12900;189.06
12960;171.16
13020;163.92
13080;157.54
13140;102.85
13200;150.08
13260;137.85
13320;125.61
13380;130.15
13440;109.73
13500;103.51
13560;100.37
13620;142.12
13680;125.5
13740;154.49
13800;115.47
13860;60.32
13920;79.74
13980;73.26
14040;116.32
14100;62.71
14160;97.94
14220;130.19
14280;80.8
14340;117.78
14400;108.03
