decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec
0,0.0444444444444444,1,92,2,99,0,10,10,24,0.5,0.01,94,27,58,12,10,41,-1223.41,7.0762031
1,119.022222222231,1,90,1,92,3,4,10,22.5,0,0.01,8,2,7,1,0,4,-42.54,0.1105251
2,126.622222222232,1,89,1,92,3,4,10,22.3076923076923,0.0149253731343284,0.01,18,2,10,1,0,3,-47.7223076923077,0.1455222
3,139.066666666678,1,90,1,91,2,4,10,22.1428571428571,0.0428571428571429,0.01,23,2,19,1,1,3,-57.2544897959184,0.4586112
4,206.666666666689,1,94,1,95,2,6,10,22,0.0405405405405405,0.01,32,3,20,1,3,4,-43.7427027027027,0.3425637
5,209.111111111134,1,94,1,92,2,3,10,22.5,0.0375,0.01,21,1,18,1,1,2,-43.36375,0.3175577
6,216.711111111135,1,93,1,92,4,3,10,23.125,0.0481927710843374,0.01,32,2,25,1,1,3,-71.3598192771084,0.1606174
7,219.15555555558,1,93,1,91,2,3,10,22.9411764705882,0.0714285714285714,0.01,26,1,23,1,2,2,-61.8687394957983,0.4130764
8,229.200000000026,1,92,1,92,2,4,10,22.2222222222222,0.0823529411764706,0.01,41,2,33,1,4,4,-67.9419607843137,0.4131028
9,236.755555555582,1,92,1,90,4,2,10,22.1052631578947,0.0909090909090909,0.01,38,2,30,1,2,2,-100.13004784689,0.1629905
10,246.800000000028,1,92,1,90,4,2,10,22,0.113636363636364,0.01,36,2,29,1,2,2,-117.656363636364,0.1700417
11,249.244444444473,1,91,1,90,4,2,10,21.9047619047619,0.136363636363636,0.01,39,2,33,1,2,4,-162.983722943723,0.15552
12,259.333333333362,1,91,1,90,3,2,10,21.8181818181818,0.157303370786517,0.01,31,2,27,1,2,2,-151.690071501532,0.3095396
13,276.933333333353,1,92,1,90,4,2,11.7599159722222,25.5650347222222,0.179775280898876,0.0117599159722222,41,3,33,1,2,5,-220.311747262445,0.1735167
14,279.466666666685,1,91,1,88,4,0,11.0943396226415,24.5,0.178947368421053,0.0110943396226415,19,1,17,1,0,2,-141.499348560079,0.0109972
15,297.066666666677,1,91,1,87,5,0,11.7377777063329,25.353599845679,0.189473684210526,0.0117377777063329,36,2,31,1,0,2,-268.583829476308,0.0139991
16,299.600000000009,1,91,1,88,4,1,11.3928653411596,24.5384791963437,0.210526315789474,0.0113928653411596,29,1,25,1,1,2,-214.095968218652,0.2130089
17,319.733333333332,1,91,1,88,3,1,12.4803612329433,26.347429269547,0.21875,0.0124803612329433,26,1,22,1,1,2,-213.138229924597,0.3120812
18,380.044444444414,1,94,1,90,2,3,13.655316091954,28.2860119047618,0.229166666666667,0.013655316091954,45,2,33,1,3,2,-305.616469345237,0.4605449
19,387.511111111077,1,93,1,89,3,2,13.5448852796226,28.0239005785294,0.237623762376238,0.0135448852796226,43,2,34,1,2,4,-374.881676157545,0.2310579
20,400.177777777738,1,93,1,90,4,2,13.8156266178811,28.5522950102877,0.227272727272727,0.0138156266178811,51,2,37,1,2,4,-377.704339081279,0.338575
21,407.644444444401,1,93,1,88,4,0,14.0313293909142,28.9679058393068,0.236363636363636,0.0140313293909142,31,1,27,1,0,2,-320.543127637044,0.0139967
22,417.733333333285,1,93,1,88,4,0,14.2986740048916,29.0441815724361,0.245454545454545,0.0142986740048916,30,1,26,1,0,2,-323.377673900106,0.0160016
23,420.311111111062,1,92,1,88,6,0,14.2042920440365,28.4085840880731,0.254545454545455,0.0142042920440365,48,1,35,1,0,3,-458.453856115493,0.0260352
24,427.822222222169,1,92,1,88,3,0,14.5757426409617,28.722786968954,0.256637168141593,0.0145757426409617,25,1,20,1,0,2,-273.159296121773,0.0140021
25,450.488888888825,1,93,1,88,6,1,15.3680011460603,29.85783079806,0.263157894736842,0.0153680011460603,55,2,40,1,1,2,-566.40337484656,0.1415263
26,470.622222222148,1,93,1,88,6,0,15.7107380401234,30.54865730024,0.252100840336134,0.0157107380401234,49,1,37,1,0,3,-513.66797849597,0.0323566
27,480.711111111032,1,93,1,89,5,1,15.9715101721439,30.6480330330328,0.260504201680672,0.0159715101721439,52,1,41,1,1,2,-560.202062218127,0.1357899
28,498.177777777691,1,94,1,91,2,3,16.2454282407407,31.6127252252251,0.26890756302521,0.0162454282407407,45,2,35,1,3,2,-472.012999490113,0.2805624
29,508.266666666575,1,94,1,89,4,1,16.1117680180179,31.3755482456138,0.266129032258065,0.0161117680180179,44,2,34,1,1,2,-495.267457111607,0.243048
30,520.888888888802,1,94,1,88,4,1,16.2892034194284,31.7430630737579,0.28,0.0162892034194284,45,3,34,1,1,4,-539.542765159722,0.0995131
31,528.31111111103,1,93,1,88,4,1,16.1395639943744,32.6929629629635,0.28,0.0161395639943744,43,1,33,1,1,2,-511.595026807323,0.1980406
32,530.933333333254,1,93,1,88,4,1,16.1568655960652,32.3137311921304,0.285714285714286,0.0161568655960652,42,2,32,1,1,2,-497.517002057924,0.3750706
33,548.355555555491,1,93,1,87,4,1,16.8500000470494,33.7000000940987,0.291338582677165,0.0168500000470494,41,1,32,1,1,2,-532.30732358663,0.2276284
34,568.399999999951,1,94,1,88,3,2,17.4529086717241,34.4902718988833,0.299212598425197,0.0174529086717241,41,2,31,1,2,2,-537.691787313393,0.1890462
35,570.977777777731,1,93,1,87,5,1,17.1156188271606,33.8332000071779,0.310077519379845,0.0171156188271606,47,2,38,1,1,2,-648.085102228707,0.2170794
36,588.444444444411,1,94,1,88,3,1,17.6499735875292,34.8988114117054,0.315384615384615,0.0176499735875292,34,1,28,1,1,2,-505.456381074754,0.2360307
