#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
31.02;0;98;0;31.02;30.98
41.07;0;98;0;41.07;41.02
49.42;8;70;1;49.42;49.38
55.33;6;43;0;55.33;55.29
59.47;8;70;1;59.47;59.42
69.47;8;70;1;69.47;69.42
69.51;9;71;0;69.51;69.47
83.78;2;5;1;83.78;83.73
93.78;2;5;1;93.78;93.73
103.78;2;5;1;103.78;103.73
113.78;2;5;1;113.78;113.73
127.96;8;44;1;127.96;127.91
137.96;8;44;1;137.96;137.91
184;2;87;1;184;183.96
194;2;87;1;194;193.96
199.51;6;91;0;199.51;106.67
208.18;8;89;1;208.18;208.13
218.18;8;89;1;218.18;218.13
259.33;2;3;1;259.33;259.29
289.47;8;41;1;289.47;289.42
309.2;2;63;1;309.2;309.16
351.82;8;27;1;351.82;134.84
488.93;0;46;0;488.93;94.62
878.13;9;82;0;878.13;62.36
1234.18;9;64;0;1234.18;34.13
1237.16;2;11;1;1237.16;37.11
1244.18;9;64;0;1244.18;44.13
1247.16;2;11;1;1247.16;47.11
1254.18;9;64;0;1254.18;54.13
1261.33;8;33;1;1261.33;61.29
1269.02;6;92;0;1269.02;68.98
1271.33;8;33;1;1271.33;71.29
1283.87;0;78;0;1283.87;83.82
1308;2;88;1;1308;107.96
1318;2;88;1;1318;117.96
1332.27;8;1;1;1332.27;132.22
1372.84;2;13;1;1372.84;172.8
1401.02;8;39;1;1401.02;200.98
1433.64;2;67;1;1433.64;233.6
2176.31;0;98;0;33.56;33.47
2186.36;0;98;0;43.6;43.51
2187.87;8;31;1;45.11;45.02
2196.4;0;98;0;53.64;53.56
2197.91;8;31;1;55.16;55.07
2207.96;8;31;1;65.2;65.11
2211.29;9;66;0;68.53;68.44
2221.33;9;66;0;78.58;78.49
2222.22;2;69;1;79.47;79.38
2232.27;2;69;1;89.51;89.42
2235.69;6;36;0;92.93;92.84
2242.31;2;69;1;99.56;99.47
2245.73;6;36;0;102.98;102.89
2260.18;0;76;0;117.42;117.33
2260.84;8;24;1;118.09;118
2270.22;0;76;0;127.47;127.38
2270.89;8;24;1;128.13;128.04
2280.93;8;24;1;138.18;138.09
2284.49;9;97;0;141.73;141.64
2305.87;6;54;0;163.11;163.02
2320.27;2;22;1;177.51;177.42
2326.53;0;85;0;183.78;183.69
2330.31;2;22;1;187.56;187.47
2346.58;8;11;1;203.82;203.73
2351.42;9;38;0;208.67;208.58
2356.62;8;11;1;213.87;213.78
2407.82;2;2;1;265.07;264.98
2417.87;2;2;1;275.11;275.02
2434.58;8;26;1;291.82;291.73
2444.62;8;26;1;301.87;301.78
2476.04;2;51;1;333.29;333.2
2486.09;2;51;1;343.33;343.24
2506.84;8;21;1;364.09;364
