#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
37.87;0;37.87;37.82;-Infinity
47.96;0;47.96;47.91;-Infinity
48.67;1;48.67;48.62;-Infinity
58.04;0;58.04;58;-Infinity
58.76;1;58.76;58.71;-Infinity
68.09;0;68.09;68.04;-Infinity
68.8;1;68.8;68.76;-Infinity
78.13;0;78.13;78.09;-Infinity
78.84;1;78.84;78.8;-Infinity
88.18;0;88.18;88.13;-Infinity
88.89;1;88.89;88.84;-Infinity
108.93;1;108.93;97.38;-Infinity
118.22;0;118.22;80.31;-Infinity
128.98;1;128.98;80.27;-Infinity
139.02;1;139.02;80.22;-Infinity
168.31;0;110.71;110.22;-Infinity
179.2;1;179.2;70.22;-Infinity
188.36;0;188.36;120.22;-Infinity
199.24;1;199.24;70.22;-Infinity
208.4;0;208.4;130.22;-Infinity
209.29;1;163.21;70.22;-Infinity
218.44;0;218.44;130.22;-Infinity
219.33;1;127.17;70.22;-Infinity
238.49;0;238.49;120.22;-Infinity
319.87;1;319.87;-Infinity;-Infinity
340;1;340;120.62;-Infinity
349.29;0;153.45;90.67;-Infinity
360.13;1;360.13;120.71;-Infinity
369.42;0;369.42;81.42;-Infinity
370.22;1;370.22;100.67;-Infinity
380.31;1;380.31;90.62;-Infinity
389.56;0;389.56;-Infinity;-Infinity
390.4;1;390.4;80.58;-Infinity
410.58;1;410.58;70.53;-Infinity
429.82;0;429.82;100.67;-Infinity
460.89;1;460.89;90.62;-Infinity
481.02;1;354.3;90.58;-Infinity
500.18;0;292.82;110.58;-Infinity
501.16;1;501.16;100.62;-Infinity
511.24;1;373;-Infinity;-Infinity
520.27;0;520.27;-Infinity;-Infinity
531.29;1;289.37;120.67;-Infinity
540.31;0;540.31;-Infinity;-Infinity
570.44;0;570.44;231.2;-Infinity
581.38;1;270.34;100.31;-Infinity
600.49;0;600.49;-Infinity;-Infinity
650.62;0;120.7;110.27;-Infinity
661.42;1;661.42;200.49;-Infinity
670.67;0;670.67;119.29;-Infinity
671.47;1;245.23;160.18;-Infinity
700.71;0;550.95;-Infinity;-Infinity
701.56;1;701.56;170.22;-Infinity
741.6;1;741.6;190.22;-Infinity
761.64;1;185.64;180.22;-Infinity
770.8;0;770.8;200.31;-Infinity
790.89;0;525.93;30.09;-Infinity
791.69;1;469.13;130.22;-Infinity
800.93;0;800.93;-Infinity;-Infinity
801.73;1;801.73;-Infinity;-Infinity
820.98;0;820.98;180.36;-Infinity
821.78;1;130.58;130.22;-Infinity
831.02;0;427.82;180.36;-Infinity
841.07;0;841.07;170.36;-Infinity
891.11;0;280.55;90.13;-Infinity
891.82;1;85.42;70;-Infinity
901.16;0;532.52;80.13;-Infinity
901.87;1;233.71;200.27;-Infinity
911.2;0;726.88;80.13;-Infinity
921.24;0;471.96;80.13;-Infinity
921.91;1;921.91;180.27;-Infinity
941.96;1;941.96;180.27;-Infinity
961.29;0;961.29;180.4;-Infinity
1002.04;1;368.44;210.31;-Infinity
1021.33;0;433.81;60;-Infinity
1022.09;1;1022.09;220.31;-Infinity
1032.13;1;294.85;130.22;-Infinity
1041.38;0;1041.38;250.44;-Infinity
1072.18;1;127.54;90.13;-Infinity
1091.42;0;1091.42;50;-Infinity
1092.22;1;1092.22;170.27;-Infinity
1101.47;0;848.03;210.31;-Infinity
1121.51;0;1006.31;220.31;-Infinity
1122.27;1;1122.27;120.18;-Infinity
1142.31;1;808.23;110.13;-Infinity
1152.36;1;1152.36;-Infinity;-Infinity
1171.6;0;1171.6;50.04;-Infinity
1172.4;1;78;78;-Infinity
1181.64;0;1181.64;50.04;-Infinity
1182.44;1;767.72;40.09;-Infinity
1191.69;0;1191.69;20.04;-Infinity
1192.49;1;1157.93;40.09;-Infinity
1202.53;1;1133.41;260.53;-Infinity
1221.73;0;1198.69;300.44;-Infinity
1222.58;1;1222.58;200.44;-Infinity
1241.78;0;1241.78;150.31;-Infinity
1252.62;1;169.74;80.18;-Infinity
